time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002150	__proteinX_rbs	0.000000	0.000000	0.000000
1.002150	__proteinY_rbs	0.000000	0.000000	0.000000
1.002150	__proteinZ_rbs	0.000000	0.000000	0.000000
1.002150	__ribosome	98.000000	0.000000	0.000000
1.002150	__rnase_site	0.000000	0.000000	0.000000
1.002150	__rnase_site_ext	1.000000	0.000000	0.000000
1.002150	p1	0.000000	0.000000	0.000000
1.002150	proteinX	0.000000	2.000000	1.000000
1.002150	rnapol	0.000000	0.000000	0.000000
2.001042	__proteinX_rbs	2.000000	0.000000	0.000000
2.001042	__proteinY_rbs	0.000000	0.000000	0.000000
2.001042	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001042	__ribosome	96.000000	0.000000	0.000000
2.001042	__rnase_site	2.000000	0.000000	0.000000
2.001042	__rnase_site_ext	2.000000	0.000000	0.000000
2.001042	p1	1.000000	0.000000	0.000000
2.001042	proteinX	0.000000	4.000000	1.000000
2.001042	rnapol	0.000000	0.000000	0.000000
3.007286	__proteinX_rbs	1.000000	0.000000	0.000000
3.007286	__proteinY_rbs	0.000000	0.000000	0.000000
3.007286	__proteinZ_rbs	0.000000	0.000000	0.000000
3.007286	__ribosome	91.000000	0.000000	0.000000
3.007286	__rnase_site	2.000000	0.000000	0.000000
3.007286	__rnase_site_ext	3.000000	0.000000	0.000000
3.007286	p1	1.000000	0.000000	0.000000
3.007286	proteinX	0.000000	4.000000	2.000000
3.007286	proteinY	0.000000	1.000000	1.000000
3.007286	rnapol	0.000000	0.000000	0.000000
4.001061	__proteinX_rbs	4.000000	0.000000	0.000000
4.001061	__proteinY_rbs	1.000000	0.000000	0.000000
4.001061	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001061	__ribosome	91.000000	0.000000	0.000000
4.001061	__rnase_site	5.000000	0.000000	0.000000
4.001061	__rnase_site_ext	4.000000	0.000000	0.000000
4.001061	p1	1.000000	0.000000	0.000000
4.001061	proteinX	1.000000	4.000000	2.000000
4.001061	proteinY	0.000000	1.000000	1.000000
4.001061	rnapol	0.000000	0.000000	0.000000
4.999548	__proteinX_rbs	3.000000	0.000000	0.000000
4.999548	__proteinY_rbs	3.000000	0.000000	0.000000
4.999548	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999548	__ribosome	86.000000	0.000000	0.000000
4.999548	__rnase_site	6.000000	0.000000	0.000000
4.999548	__rnase_site_ext	3.000000	0.000000	0.000000
4.999548	p1	1.000000	0.000000	0.000000
4.999548	proteinX	2.000000	4.000000	3.000000
4.999548	proteinY	0.000000	3.000000	0.666667
4.999548	rnapol	0.000000	0.000000	0.000000
6.004461	__proteinX_rbs	2.000000	0.000000	0.000000
6.004461	__proteinY_rbs	2.000000	0.000000	0.000000
6.004461	__proteinZ_rbs	0.000000	0.000000	0.000000
6.004461	__ribosome	82.000000	0.000000	0.000000
6.004461	__rnase_site	4.000000	0.000000	0.000000
6.004461	__rnase_site_ext	2.000000	0.000000	0.000000
6.004461	p1	1.000000	0.000000	0.000000
6.004461	proteinX	5.000000	4.000000	3.250000
6.004461	proteinY	0.000000	4.000000	1.250000
6.004461	rnapol	0.000000	0.000000	0.000000
7.000856	__proteinX_rbs	1.000000	0.000000	0.000000
7.000856	__proteinY_rbs	2.000000	0.000000	0.000000
7.000856	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000856	__ribosome	79.000000	0.000000	0.000000
7.000856	__rnase_site	4.000000	0.000000	0.000000
7.000856	__rnase_site_ext	2.000000	0.000000	0.000000
7.000856	p1	1.000000	0.000000	0.000000
7.000856	proteinX	10.000000	4.000000	3.250000
7.000856	proteinY	0.000000	4.000000	2.000000
7.000856	proteinZ	0.000000	1.000000	0.000000
7.000856	rnapol	0.000000	0.000000	0.000000
7.999822	__proteinX_rbs	2.000000	0.000000	0.000000
7.999822	__proteinY_rbs	2.000000	0.000000	0.000000
7.999822	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999822	__ribosome	78.000000	0.000000	0.000000
7.999822	__rnase_site	5.000000	0.000000	0.000000
7.999822	__rnase_site_ext	3.000000	0.000000	0.000000
7.999822	p1	1.000000	0.000000	0.000000
7.999822	proteinX	13.000000	4.000000	3.250000
7.999822	proteinY	1.000000	3.000000	2.666667
7.999822	proteinZ	0.000000	1.000000	1.000000
7.999822	rnapol	0.000000	0.000000	0.000000
9.000693	__proteinX_rbs	2.000000	0.000000	0.000000
9.000693	__proteinY_rbs	2.000000	0.000000	0.000000
9.000693	__proteinZ_rbs	2.000000	0.000000	0.000000
9.000693	__ribosome	73.000000	0.000000	0.000000
9.000693	__rnase_site	4.000000	0.000000	0.000000
9.000693	__rnase_site_ext	2.000000	0.000000	0.000000
9.000693	p1	1.000000	0.000000	0.000000
9.000693	proteinX	16.000000	4.000000	3.250000
9.000693	proteinY	2.000000	3.000000	3.666667
9.000693	proteinZ	0.000000	3.000000	1.000000
9.000693	rnapol	0.000000	0.000000	0.000000
