Iteration	Sum_of_Squares	Accepted
1	201676.96999999997	yes
2	201074.48000000004	yes
3	196444.84	yes
4	38262.719999999994	yes
5	76242.23999999999	no
6	64488.27999999999	no
7	64359.16000000001	no
8	114571.43999999999	no
9	129347.12000000002	no
10	75913.84	no
11	65614.12	no
12	85572.68000000001	no
13	80824.31999999998	no
14	91739.6	no
15	110963.28	no
16	97767.0	no
17	100849.48	no
18	94139.04	no
19	100028.95999999999	no
20	97098.71999999999	no
21	37672.12	yes
22	48894.47999999999	no
23	163205.24	no
24	140503.91999999998	no
25	131968.15999999997	no
26	133454.75999999998	no
27	131103.0	no
28	160305.6	no
29	134793.16	no
30	146179.59999999998	no
31	133987.91999999998	no
32	142508.28	no
33	295043.16000000003	no
34	323536.04000000004	no
35	308449.92	no
36	319437.48	no
37	328857.68	no
38	544261.44	no
39	550337.36	no
40	577664.68	no
41	464690.4800000001	no
42	288725.56	no
43	261654.27999999997	no
44	252906.55999999997	no
45	249801.71999999997	no
46	250918.08	no
47	225179.24	no
48	302119.12	no
49	430140.0	no
50	440725.63999999996	no
51	463028.04000000004	no
52	450851.68000000005	no
53	500856.0800000001	no
54	480403.95999999996	no
55	489141.63999999996	no
56	483903.07999999996	no
57	192786.2	no
58	187692.65	no
59	201972.36000000002	no
60	196532.52000000002	no
61	185577.40999999997	no
62	188363.68	no
63	186388.03999999998	no
64	83322.12	no
65	80153.24	no
66	209638.87999999998	no
67	225348.01	no
68	291813.64	no
69	279452.72000000003	no
70	297989.92000000004	no
71	302856.19999999995	no
72	268881.72	no
73	287772.32	no
74	169806.12000000002	no
75	184125.63999999998	no
76	185688.71999999997	no
77	115245.68999999999	no
78	64002.46	no
79	157761.52	no
80	199934.31999999998	no
81	107975.75999999998	no
82	105611.31999999999	no
83	106703.8	no
84	107568.87999999998	no
85	103876.24	no
86	81238.32	no
87	119624.95999999999	no
88	155017.56000000003	no
89	151250.4	no
90	164534.47999999998	no
91	159977.08000000002	no
92	165995.56	no
93	188766.03999999998	no
94	179083.00000000003	no
95	231678.27999999997	no
96	237741.72000000003	no
97	253434.72000000003	no
98	264384.36	no
99	274188.88	no
100	254803.04000000004	no
101	228626.01	no
102	223658.09	no
103	224403.39999999997	no
104	203550.11999999997	no
105	50234.64	no
106	68145.31999999999	no
107	61313.07999999998	no
108	64284.43999999999	no
109	55282.079999999994	no
110	55097.359999999986	no
111	59467.5	no
112	77287.77999999998	no
113	69836.48	no
114	83355.25	no
115	91517.68999999999	no
116	49426.43999999999	no
117	45431.27999999999	no
118	236608.91999999998	no
119	277054.49000000005	no
120	246659.58000000002	no
121	329417.24000000005	no
122	314869.92	no
123	344294.72000000003	no
124	307442.57999999996	no
