time	species	protein	transcript	ribo_density
0	__proteinX_rbs	0.0	0.0	0.0
0	__proteinY_rbs	0.0	0.0	0.0
0	__proteinZ_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site	0.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__proteinX_rbs	0.2	0.0	0.0
1	__proteinY_rbs	0.0	0.0	0.0
1	__proteinZ_rbs	0.0	0.0	0.0
1	__ribosome	79.6	0.0	0.0
1	__rnase_site	0.0	0.0	0.0
1	__rnase_site_ext	0.4	0.0	0.0
1	p1	0.4	0.0	0.0
1	proteinX	0.0	0.6	0.4
1	rnapol	2.0	0.0	0.0
2	__proteinX_rbs	0.4	0.0	0.0
2	__proteinY_rbs	0.0	0.0	0.0
2	__proteinZ_rbs	0.0	0.0	0.0
2	__ribosome	78.4	0.0	0.0
2	__rnase_site	0.0	0.0	0.0
2	__rnase_site_ext	0.8	0.0	0.0
2	p1	0.8	0.0	0.0
2	proteinX	0.0	1.4	0.9
2	rnapol	1.8	0.0	0.0
3	__proteinX_rbs	0.6	0.0	0.0
3	__proteinY_rbs	0.0	0.0	0.0
3	__proteinZ_rbs	0.0	0.0	0.0
3	__ribosome	137.0	0.0	0.0
3	__rnase_site	0.0	0.0	0.0
3	__rnase_site_ext	0.8	0.0	0.0
3	p1	0.8	0.0	0.0
3	proteinX	0.0	1.8	1.3666668000000002
3	rnapol	3.2	0.0	0.0
4	__proteinX_rbs	1.0	0.0	0.0
4	__proteinY_rbs	0.2	0.0	0.0
4	__proteinZ_rbs	0.0	0.0	0.0
4	__ribosome	95.0	0.0	0.0
4	__rnase_site	0.0	0.0	0.0
4	__rnase_site_ext	1.2	0.0	0.0
4	p1	1.0	0.0	0.0
4	proteinX	0.0	2.0	2.1
4	proteinY	0.0	0.4	0.4
4	rnapol	1.8	0.0	0.0
5	__proteinX_rbs	1.6	0.0	0.0
5	__proteinY_rbs	0.6	0.0	0.0
5	__proteinZ_rbs	0.0	0.0	0.0
5	__ribosome	92.6	0.0	0.0
5	__rnase_site	0.0	0.0	0.0
5	__rnase_site_ext	2.0	0.0	0.0
5	p1	1.0	0.0	0.0
5	proteinX	0.8	2.6	2.1666666
5	proteinY	0.0	1.2	1.1
5	rnapol	1.2	0.0	0.0
6	__proteinX_rbs	1.4	0.0	0.0
6	__proteinY_rbs	0.8	0.0	0.0
6	__proteinZ_rbs	0.0	0.0	0.0
6	__ribosome	89.8	0.0	0.0
6	__rnase_site	0.0	0.0	0.0
6	__rnase_site_ext	2.0	0.0	0.0
6	p1	1.0	0.0	0.0
6	proteinX	2.2	3.0	2.4166666
6	proteinY	0.0	1.8	1.3333334000000001
6	rnapol	1.0	0.0	0.0
7	__proteinX_rbs	1.2	0.0	0.0
7	__proteinY_rbs	1.8	0.0	0.0
7	__proteinZ_rbs	0.0	0.0	0.0
7	__ribosome	87.0	0.0	0.0
7	__rnase_site	0.0	0.0	0.0
7	__rnase_site_ext	1.8	0.0	0.0
7	p1	1.0	0.0	0.0
7	proteinX	3.6	3.2	2.7833332000000004
7	proteinY	0.0	2.0	1.6666665999999999
7	rnapol	1.0	0.0	0.0
8	__proteinX_rbs	2.0	0.0	0.0
8	__proteinY_rbs	1.6	0.0	0.0
8	__proteinZ_rbs	0.0	0.0	0.0
8	__ribosome	85.0	0.0	0.0
8	__rnase_site	0.0	0.0	0.0
8	__rnase_site_ext	2.4	0.0	0.0
8	p1	0.8	0.0	0.0
8	proteinX	6.0	3.6	2.56
8	proteinY	0.2	2.4	2.4
8	rnapol	1.2	0.0	0.0
9	__proteinX_rbs	1.8	0.0	0.0
9	__proteinY_rbs	1.8	0.0	0.0
9	__proteinZ_rbs	0.0	0.0	0.0
9	__ribosome	83.2	0.0	0.0
9	__rnase_site	0.0	0.0	0.0
9	__rnase_site_ext	2.6	0.0	0.0
9	p1	1.0	0.0	0.0
9	proteinX	8.2	4.4	2.4499998
