time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.000569	__proteinX_rbs	1.0	0.0	0.0
1.000569	__proteinY_rbs	0.0	0.0	0.0
1.000569	__proteinZ_rbs	0.0	0.0	0.0
1.000569	__ribosome	99.0	0.0	0.0
1.000569	__rnase_site	0.0	0.0	0.0
1.000569	__rnase_site_ext	1.0	0.0	0.0
1.000569	p1	0.0	0.0	0.0
1.000569	proteinX	0.0	2.0	0.5
1.000569	rnapol	1.0	0.0	0.0
2.002799	__proteinX_rbs	1.0	0.0	0.0
2.002799	__proteinY_rbs	0.0	0.0	0.0
2.002799	__proteinZ_rbs	0.0	0.0	0.0
2.002799	__ribosome	96.0	0.0	0.0
2.002799	__rnase_site	0.0	0.0	0.0
2.002799	__rnase_site_ext	1.0	0.0	0.0
2.002799	p1	0.0	0.0	0.0
2.002799	proteinX	0.0	3.0	1.333333
2.002799	rnapol	0.0	0.0	0.0
3.0009419999999998	__proteinX_rbs	2.0	0.0	0.0
3.0009419999999998	__proteinY_rbs	0.0	0.0	0.0
3.0009419999999998	__proteinZ_rbs	0.0	0.0	0.0
3.0009419999999998	__ribosome	93.0	0.0	0.0
3.0009419999999998	__rnase_site	0.0	0.0	0.0
3.0009419999999998	__rnase_site_ext	2.0	0.0	0.0
3.0009419999999998	p1	1.0	0.0	0.0
3.0009419999999998	proteinX	0.0	4.0	1.75
3.0009419999999998	rnapol	0.0	0.0	0.0
4.004579	__proteinX_rbs	2.0	0.0	0.0
4.004579	__proteinY_rbs	0.0	0.0	0.0
4.004579	__proteinZ_rbs	0.0	0.0	0.0
4.004579	__ribosome	89.0	0.0	0.0
