Iteration	Sum_of_Squares	Accepted
1	20762.186666666672	yes
2	22975.004444444447	no
3	19337.560000000005	yes
4	18651.480000000003	yes
5	19558.728888888894	yes
6	16521.42222222223	yes
7	23644.786666666667	no
8	16834.648888888893	yes
9	20977.533333333336	no
10	18856.96888888889	no
11	17986.093333333338	no
12	22638.48444444444	no
13	28194.133333333335	no
14	25860.76444444445	no
15	29664.08	no
16	27278.897777777784	no
17	19360.346666666668	no
18	19662.613333333342	no
19	22457.755555555566	no
20	20079.493333333343	no
21	24865.248888888895	no
22	18273.462222222224	no
23	21450.146666666675	no
24	22479.831111111107	no
25	24849.648888888893	no
26	24050.280000000013	no
27	27662.826666666668	no
28	25115.09777777778	no
29	18959.648888888893	no
30	23046.697777777787	no
31	22101.58222222222	no
32	23921.093333333338	no
33	28360.84888888889	no
34	25149.59111111112	no
35	32031.079999999987	no
36	23840.14222222223	no
37	18816.133333333328	no
38	36179.20444444444	no
39	18058.40444444444	no
40	18204.306666666675	yes
41	22417.457777777778	no
42	30235.475555555557	no
43	18985.791111111117	no
44	25040.61333333333	no
45	26437.048888888887	no
46	21654.760000000006	no
47	24399.422222222238	no
48	29636.17777777779	no
49	25218.81333333333	no
50	26718.58222222222	no
51	22403.235555555555	no
52	12544.87555555556	yes
53	17698.755555555555	no
54	35091.95555555555	no
55	16479.671111111118	no
56	18170.746666666666	no
57	35300.671111111114	no
58	23711.346666666665	no
59	22846.324444444443	no
60	20611.91555555555	no
61	30661.386666666665	no
62	28276.502222222218	no
63	23119.484444444446	no
64	30607.248888888884	no
65	16418.844444444443	no
66	55040.035555555594	no
67	19435.75555555556	no
68	46171.0888888889	no
69	18605.880000000005	no
70	25385.782222222224	no
71	23235.897777777776	no
72	20265.360000000004	no
73	21566.29333333334	no
74	20077.23111111112	no
75	17465.320000000003	no
76	19582.111111111113	no
77	21793.15555555555	no
78	20165.25333333334	no
79	26132.328888888893	no
80	13402.675555555556	no
81	27116.182222222225	no
82	20817.902222222212	no
83	18853.4	no
84	23063.40888888888	no
85	22303.177777777782	no
86	21401.657777777786	no
87	31948.017777777775	no
88	18969.86666666667	no
89	34151.97777777777	no
90	15201.133333333335	no
91	22383.928888888884	no
92	16589.27555555556	no
93	26561.111111111113	no
94	27497.600000000002	no
95	29805.231111111112	no
96	47128.51999999999	no
97	27692.413333333338	no
98	34825.83111111112	no
99	38782.044444444444	no
100	25400.800000000003	no
101	56085.835555555546	no
102	43246.60888888889	no
103	19219.631111111114	no
104	22412.937777777788	no
105	23978.311111111117	no
106	22948.51999999999	no
107	22671.128888888892	no
108	61005.155555555575	no
109	13789.577777777777	no
110	36389.346666666665	no
111	20762.755555555555	no
112	18788.07111111111	no
113	22801.59111111111	no
114	18473.42666666667	no
115	26077.09333333333	no
116	16331.573333333332	no
117	24836.688888888893	no
118	24658.551111111105	no
119	17624.497777777786	no
120	17326.911111111112	no
121	30121.679999999993	no
122	23045.79111111111	no
123	15613.142222222225	no
124	44811.27555555555	no
125	29042.275555555556	no
126	17792.50666666666	no
127	19499.386666666673	no
128	26879.591111111127	no
129	19274.964444444453	no
130	19581.817777777782	no
131	16162.528888888888	no
132	21297.600000000002	no
133	35840.897777777776	no
134	53582.448888888895	no
135	25891.764444444445	no
136	16261.191111111117	no
137	19980.76888888889	no
138	17348.59111111112	no
139	25920.568888888887	no
140	30530.973333333335	no
141	22688.746666666673	no
142	19949.604444444452	no
143	21916.45333333333	no
144	29458.204444444447	no
145	19670.386666666673	no
146	25922.635555555542	no
147	27280.008888888893	no
148	20811.546666666673	no
149	20245.28444444445	no
150	23457.857777777783	no
151	30624.817777777782	no
152	15803.680000000002	no
153	40686.63555555555	no
154	20509.528888888897	no
155	27648.54222222222	no
156	13368.32	no
157	24051.72	no
158	18856.50222222222	no
159	39018.74666666666	no
160	41735.888888888876	no
161	19146.928888888895	no
162	23919.755555555563	no
163	15813.99111111111	no
164	30035.9688888889	no
165	18696.382222222222	no
166	20224.87555555556	no
167	26742.560000000005	no
168	19526.288888888896	no
169	22281.311111111114	no
170	27881.83111111111	no
171	50107.293333333306	no
172	17873.742222222227	no
173	28427.880000000012	no
174	20798.306666666667	no
175	27031.431111111116	no
176	25317.24888888889	no
177	38562.33777777779	no
178	22650.942222222224	no
179	18278.204444444447	no
180	29981.733333333337	no
181	24411.64444444445	no
182	18234.688888888893	no
183	25178.01333333334	no
184	43703.27555555554	no
185	22140.675555555557	no
186	28802.31555555555	no
187	28140.493333333332	no
188	21001.559999999998	no
189	20730.35111111111	no
190	19585.142222222225	no
191	21599.893333333337	no
192	20503.01777777778	no
193	20596.275555555556	no
194	19955.99555555556	no
195	23897.324444444443	no
196	18970.10666666666	no
197	14522.90666666667	no
198	68179.10222222221	no
199	32842.87555555555	no
200	25994.768888888888	no
201	13436.520000000004	no
202	24935.222222222226	no
203	21974.764444444452	no
204	25438.36	no
205	16268.960000000003	no
206	17930.26222222222	no
207	21127.653333333335	no
208	16701.199999999997	no
209	25290.093333333334	no
210	24276.551111111112	no
211	42886.17777777775	no
212	24817.34222222223	no
213	36450.35555555556	no
214	18978.684444444447	no
215	20718.422222222234	no
216	15900.182222222229	no
217	23243.635555555556	no
218	15343.524444444443	no
219	30695.360000000008	no
220	24097.18222222223	no
221	11485.346666666668	yes
222	28524.63111111112	no
223	35277.78222222223	no
224	30935.0088888889	no
225	23920.40444444445	no
226	23429.217777777776	no
227	24765.78666666667	no
228	28532.124444444446	no
229	25962.151111111118	no
230	22807.906666666666	no
231	18509.124444444446	no
232	23866.435555555556	no
233	27199.50666666666	no
234	18115.475555555553	no
235	25342.12888888888	no
236	34147.520000000004	no
237	14429.368888888896	no
238	24811.9288888889	no
239	22688.77333333333	no
240	27205.817777777782	no
241	23726.20444444445	no
242	25595.33333333334	no
243	17493.586666666662	no
244	16663.382222222226	no
245	24151.942222222227	no
246	13078.506666666672	no
247	21831.555555555562	no
248	17743.18666666667	no
249	18604.817777777782	no
250	25849.648888888893	no
251	19955.320000000003	no
252	22002.160000000003	no
253	22026.866666666665	no
254	22505.937777777785	no
255	20298.311111111114	no
256	27979.088888888895	no
257	23163.80444444444	no
258	26791.186666666676	no
259	27363.399999999998	no
260	27980.399999999998	no
261	18130.95111111111	no
262	22816.626666666667	no
263	29002.817777777782	no
264	15850.200000000004	no
265	21992.675555555557	no
266	18593.911111111116	no
267	28916.013333333332	no
268	25210.888888888887	no
269	17644.013333333336	no
270	20631.795555555545	no
271	23893.67555555556	no
272	26056.502222222225	no
273	30922.711111111108	no
274	22873.457777777778	no
275	32211.40888888888	no
276	19484.862222222222	no
277	22078.42666666667	no
278	28134.875555555554	no
279	26991.199999999997	no
280	15493.231111111114	no
281	20716.328888888896	no
282	24036.875555555558	no
283	21602.46222222223	no
284	31014.088888888888	no
285	26581.639999999992	no
286	57379.3511111111	no
287	32338.568888888887	no
288	18986.88444444444	no
289	27107.000000000007	no
290	26120.377777777787	no
291	13842.386666666673	no
292	17041.51555555556	no
293	19659.164444444446	no
294	25541.777777777774	no
295	14645.262222222229	no
296	16745.155555555557	no
297	22403.386666666665	no
298	21766.306666666664	no
299	25968.386666666665	no
300	22006.182222222225	no
301	20175.577777777784	no
302	23914.81333333333	no
303	25915.631111111114	no
304	15049.346666666668	no
305	27159.653333333335	no
306	23716.426666666666	no
307	22723.551111111105	no
308	17655.54222222223	no
309	23068.840000000004	no
310	23284.20888888889	no
311	26836.208888888883	no
312	18835.15111111111	no
313	18454.56444444445	no
314	30959.315555555553	no
315	19726.0	no
316	20729.573333333334	no
317	31315.120000000014	no
318	16607.45777777778	no
319	24575.66222222222	no
320	14525.355555555554	no
321	27106.808888888896	no
322	21445.013333333343	no
323	24739.328888888886	no
324	24693.83555555556	no
325	19552.17333333334	no
326	17195.226666666662	no
327	33593.50222222222	no
328	13249.262222222223	no
329	58592.39111111112	no
330	22907.506666666668	no
331	17968.93777777777	no
332	31300.648888888893	no
333	17912.702222222237	no
334	16819.426666666666	no
335	23440.671111111118	no
336	15164.928888888891	no
337	25343.03555555556	no
338	33993.657777777786	no
339	15301.724444444448	no
340	23480.56888888889	no
341	21865.986666666668	no
342	22321.03999999999	no
343	31012.18666666667	no
344	19633.102222222227	no
345	17001.97777777778	no
346	16780.431111111113	no
347	22604.835555555554	no
348	24760.764444444452	no
349	22206.564444444448	no
350	16557.37777777778	no
351	23854.591111111113	no
352	24414.15555555556	no
353	27804.026666666672	no
354	24801.648888888893	no
355	16871.062222222215	no
356	23259.053333333333	no
357	19619.85777777778	no
358	26664.440000000006	no
359	19978.026666666672	no
360	22735.942222222224	no
361	20937.06222222222	no
362	29763.017777777775	no
363	18087.524444444454	no
364	23646.062222222226	no
365	17445.20888888889	no
