Iteration	Sum_of_Squares	Accepted
1	11353.999999999993	yes
2	11628.444444444447	yes
3	19079.444444444456	no
4	14726.999999999995	no
5	11382.444444444436	yes
6	24307.111111111124	no
7	16444.444444444438	no
8	22873.555555555566	no
9	65052.6666666667	no
10	15598.222222222212	no
11	12300.666666666672	no
12	19729.666666666675	no
13	11785.222222222219	yes
14	20630.888888888887	no
15	102070.88888888883	no
16	15285.555555555551	no
17	13490.444444444449	no
18	15338.444444444438	no
19	16765.33333333333	no
20	36338.11111111111	no
21	30562.222222222244	no
22	20610.888888888898	no
23	19830.44444444445	no
24	17349.22222222222	no
25	18125.88888888889	no
26	13798.77777777778	no
27	34496.000000000015	no
28	15806.66666666666	no
29	11718.333333333328	yes
30	16843.444444444445	no
31	20598.333333333347	no
32	17518.111111111117	no
33	16749.666666666664	no
34	25253.66666666667	no
35	11664.666666666672	yes
36	8469.777777777781	yes
37	8472.222222222224	yes
38	10313.666666666657	yes
39	8429.222222222215	yes
40	15929.888888888883	no
41	7914.44444444444	yes
42	9758.888888888887	no
43	14290.666666666664	no
44	51203.444444444416	no
45	15990.888888888892	no
46	14345.666666666657	no
47	5239.999999999998	yes
48	6012.111111111112	no
49	9134.222222222219	no
50	15867.444444444445	no
51	8539.777777777777	no
52	8947.666666666666	no
53	48040.66666666667	no
54	16970.44444444444	no
55	21171.77777777779	no
56	11072.888888888883	no
57	10484.444444444438	no
58	5480.444444444442	yes
59	5995.444444444443	yes
60	10648.444444444442	no
61	10517.111111111113	no
62	11970.55555555555	no
63	16428.22222222222	no
64	21078.333333333343	no
65	6480.1111111111095	yes
66	8096.444444444443	no
67	7346.555555555554	no
68	8690.333333333328	no
69	16054.888888888887	no
70	13192.888888888876	no
71	9947.55555555555	no
72	11766.0	no
73	6375.000000000004	yes
74	12364.999999999998	no
75	4877.444444444443	yes
76	7400.777777777772	no
77	4921.555555555557	yes
78	7928.2222222222235	no
79	7932.7777777777665	no
80	9324.111111111108	no
81	8349.44444444444	no
82	6723.111111111111	no
83	7787.222222222219	no
84	6421.222222222219	no
85	5195.333333333332	yes
86	5128.555555555557	yes
87	19907.333333333332	no
88	17772.77777777779	no
89	10138.888888888883	no
90	14025.777777777763	no
91	6610.999999999998	no
92	10858.333333333323	no
93	9231.666666666664	no
94	8055.222222222224	no
95	8217.888888888887	no
96	24244.55555555556	no
97	12578.33333333334	no
98	8193.999999999998	no
99	10799.777777777774	no
100	6065.8888888888905	no
101	14328.222222222223	no
102	8866.66666666667	no
103	10253.333333333327	no
104	3558.333333333332	yes
105	6798.555555555557	no
106	3792.2222222222217	yes
107	4676.888888888889	yes
108	11946.555555555555	no
109	10526.111111111106	no
110	14431.777777777774	no
111	44957.66666666668	no
112	16241.777777777783	no
113	9611.555555555553	no
114	16076.999999999993	no
115	10141.999999999998	no
116	5544.222222222224	yes
117	15108.333333333334	no
118	5576.666666666665	yes
119	10529.11111111111	no
120	4491.222222222222	yes
121	13282.666666666655	no
122	8411.11111111111	no
123	5314.888888888888	no
124	7156.333333333332	no
125	8804.88888888888	no
126	6301.999999999996	no
127	5054.111111111109	yes
128	4818.888888888887	yes
129	20779.33333333332	no
130	4479.888888888889	yes
131	8115.111111111113	no
132	8805.888888888887	no
133	3678.333333333333	yes
134	4588.666666666664	no
135	7584.222222222222	no
136	12177.333333333321	no
137	10247.777777777781	no
138	11446.0	no
139	12854.111111111115	no
140	4452.111111111112	yes
141	9840.44444444444	no
142	3753.111111111108	yes
143	58925.44444444445	no
144	6943.222222222224	no
145	11806.444444444442	no
146	7952.999999999997	no
147	4518.888888888889	no
148	51720.222222222204	no
149	5220.888888888886	yes
150	15194.777777777766	no
151	8386.222222222214	no
152	4376.888888888887	yes
153	4553.666666666665	yes
154	6552.111111111106	no
155	47214.66666666667	no
156	7359.555555555552	no
157	12158.111111111113	no
158	9598.999999999996	no
159	5379.777777777776	no
160	6842.444444444445	no
161	13547.66666666666	no
162	5050.444444444443	no
163	8388.555555555555	no
164	4532.555555555554	yes
165	3843.999999999998	yes
166	7001.333333333332	no
167	39580.111111111095	no
168	3380.222222222222	yes
169	8561.888888888885	no
170	5274.88888888889	no
171	9418.666666666664	no
172	6641.777777777776	no
173	4756.555555555555	no
174	5852.444444444443	no
175	4421.888888888887	no
176	15522.555555555551	no
177	5676.66666666667	no
178	4136.888888888887	yes
179	6375.5555555555575	no
180	14801.444444444442	no
181	11576.111111111113	no
182	5926.555555555552	no
183	9535.222222222219	no
184	6487.777777777775	no
185	16482.222222222226	no
186	5160.22222222222	no
187	57777.22222222223	no
188	5315.222222222224	no
189	57326.44444444443	no
190	13775.0	no
191	5558.444444444443	no
192	35009.444444444445	no
193	6478.777777777771	no
194	5898.22222222222	no
195	6891.7777777777765	no
196	21202.000000000007	no
197	6112.999999999996	no
198	4444.777777777778	no
199	6262.555555555552	no
200	4880.333333333332	yes
201	14151.444444444447	no
202	8175.444444444448	no
203	5083.666666666666	yes
204	3819.999999999998	yes
205	16378.222222222223	no
206	10490.222222222215	no
207	3445.111111111109	yes
208	11257.444444444445	no
209	2692.8888888888882	yes
210	8235.333333333332	no
211	5097.888888888884	no
212	20433.33333333333	no
213	5829.111111111111	no
214	10122.222222222217	no
215	2857.0	yes
216	8316.999999999996	no
217	9162.333333333327	no
218	8442.666666666664	no
219	3465.0	no
220	7174.444444444445	no
221	11307.000000000002	no
222	8097.666666666662	no
223	7113.777777777774	no
224	9850.111111111113	no
225	3430.666666666667	yes
226	2760.2222222222226	yes
227	12752.444444444445	no
228	12385.666666666664	no
229	7196.333333333326	no
230	7140.444444444445	no
231	5706.222222222224	no
232	9401.333333333332	no
233	5916.888888888886	no
234	2843.5555555555557	yes
235	6562.222222222221	no
236	12765.111111111113	no
237	5872.222222222223	no
238	5698.666666666664	no
239	12004.777777777781	no
240	10012.888888888889	no
241	7795.33333333333	no
242	5941.111111111107	no
243	8568.666666666664	no
244	5763.333333333334	no
245	5028.444444444443	no
246	6374.777777777775	no
247	3852.5555555555566	no
248	8947.111111111113	no
249	4098.666666666668	no
250	3971.5555555555566	no
251	13929.77777777778	no
252	6505.999999999999	no
253	7423.555555555552	no
254	12381.444444444434	no
255	7527.33333333333	no
256	9024.222222222219	no
257	5531.44444444444	no
258	4848.0	no
259	5765.333333333332	no
260	10078.0	no
261	5926.555555555552	no
262	6572.666666666663	no
263	11363.444444444442	no
264	4401.999999999996	no
265	2800.1111111111113	yes
266	6865.222222222219	no
267	7533.888888888889	no
268	4556.333333333333	no
269	4350.888888888883	yes
270	4167.33333333333	yes
271	6185.777777777776	no
272	3541.0	yes
273	5302.444444444446	no
274	3496.333333333333	yes
275	4303.333333333331	no
276	2837.1111111111095	yes
277	5096.999999999999	no
278	8580.888888888883	no
279	2747.7777777777783	yes
280	7213.666666666662	no
281	7403.111111111106	no
282	3899.333333333332	no
283	4084.6666666666697	no
284	10285.66666666666	no
285	6192.777777777774	no
286	4307.11111111111	no
287	5481.666666666667	no
288	5720.111111111111	no
289	4079.3333333333308	no
290	11128.555555555551	no
291	4204.111111111111	no
292	3496.2222222222217	no
293	10512.444444444445	no
294	9324.333333333334	no
295	4300.3333333333285	no
296	2421.7777777777774	yes
297	6143.33333333333	no
298	2892.555555555556	yes
299	9449.111111111106	no
300	6462.999999999997	no
301	14083.666666666668	no
302	3757.8888888888887	no
303	8809.333333333332	no
304	6910.88888888889	no
305	13727.444444444443	no
306	2958.7777777777765	yes
307	40741.44444444443	no
308	3326.7777777777774	no
309	4406.33333333333	no
310	4784.33333333333	no
311	4003.666666666665	no
312	4013.777777777779	no
313	4837.666666666666	no
314	12440.444444444453	no
315	4509.222222222221	yes
316	6973.666666666664	no
317	8375.777777777774	no
318	7732.666666666665	no
319	8057.444444444447	no
320	13039.111111111102	no
321	5907.888888888889	no
322	4917.555555555554	no
323	3085.222222222221	yes
324	5461.333333333332	no
325	4171.666666666665	no
326	12868.444444444442	no
327	6123.333333333332	no
328	5766.888888888888	no
329	2964.8888888888873	yes
330	8799.222222222223	no
331	7850.222222222219	no
332	4614.444444444445	no
333	4807.222222222222	no
334	3515.222222222223	no
335	16201.0	no
336	4520.888888888888	no
337	3514.1111111111118	yes
338	6456.888888888888	no
339	3417.444444444443	yes
340	5980.777777777776	no
341	6300.666666666662	no
342	4263.11111111111	no
343	3650.333333333332	yes
344	4747.11111111111	no
345	4865.9999999999945	no
346	26305.77777777777	no
347	6816.999999999998	no
348	5354.555555555556	yes
349	7428.1111111111095	no
350	4632.666666666664	yes
351	9588.11111111111	no
352	14515.888888888892	no
353	10809.666666666653	no
354	3920.0000000000014	yes
355	4352.444444444442	no
356	4065.4444444444443	no
357	3985.888888888886	yes
358	5396.111111111111	no
359	2775.999999999999	yes
360	6569.777777777772	no
361	9411.666666666664	no
362	7404.111111111109	no
363	8155.333333333331	no
364	3660.5555555555547	no
365	8005.555555555555	no
366	8751.111111111111	no
367	7772.3333333333285	no
368	9437.22222222222	no
369	7275.333333333327	no
370	10683.888888888887	no
371	6817.222222222222	no
372	7905.777777777776	no
373	5077.444444444442	no
374	5716.555555555551	no
375	21605.777777777774	no
376	5028.222222222223	no
377	12458.555555555551	no
378	4234.333333333332	no
379	7032.111111111107	no
380	20618.000000000004	no
381	4677.33333333333	no
382	3675.333333333332	yes
383	4695.888888888888	no
384	6089.555555555551	no
385	2994.8888888888882	yes
386	7908.222222222224	no
387	10228.77777777778	no
388	42182.99999999999	no
389	10332.111111111108	no
390	4052.333333333334	yes
391	4384.222222222219	yes
392	4278.555555555553	yes
393	7302.999999999998	no
394	5609.222222222221	no
395	5302.333333333333	no
396	4045.777777777777	yes
397	5967.111111111108	no
398	6641.111111111107	yes
399	5799.111111111108	yes
400	9259.77777777778	no
401	4892.7777777777765	yes
402	10297.333333333328	no
403	5364.444444444444	no
404	8484.888888888887	no
405	4822.0	yes
406	3969.777777777777	yes
407	4308.444444444443	yes
408	15199.77777777777	no
409	5391.444444444445	no
410	7851.888888888887	no
411	4898.777777777779	no
412	4360.11111111111	no
413	3620.333333333333	yes
414	44191.44444444443	no
415	7169.888888888888	no
416	11358.111111111106	no
417	3686.777777777776	yes
418	11517.777777777776	no
419	12990.777777777781	no
420	11885.999999999995	no
421	7116.666666666663	no
422	4961.666666666664	no
423	8085.66666666667	no
424	4466.999999999998	no
425	4818.222222222221	no
426	6838.111111111113	no
427	7445.888888888887	no
428	7292.7777777777765	no
429	6360.66666666667	no
430	9018.999999999998	no
431	8040.555555555555	no
432	7361.8888888888905	no
433	12563.000000000013	no
434	8942.111111111108	no
435	10504.999999999993	no
436	7550.000000000004	no
437	8570.444444444442	no
438	8315.444444444445	no
439	4381.555555555555	yes
440	6636.666666666662	no
441	10375.555555555551	no
442	10518.333333333325	no
443	4066.444444444445	yes
444	5174.999999999997	no
445	9033.444444444442	no
446	8204.666666666668	no
447	12567.000000000004	no
448	3551.4444444444443	yes
449	6108.888888888889	no
450	4965.666666666668	no
451	3874.1111111111104	yes
452	12315.55555555556	no
453	5532.999999999998	no
454	6452.111111111109	no
455	6270.666666666666	no
456	8877.333333333334	no
457	5629.000000000001	no
458	12610.555555555555	no
459	6874.666666666661	no
460	6993.777777777779	no
461	4711.777777777778	no
462	7203.555555555553	no
463	7098.666666666664	no
464	39263.88888888889	no
465	14688.999999999996	no
466	9148.66666666666	no
467	6682.111111111111	no
468	27963.66666666667	no
469	4831.555555555557	no
470	5871.666666666666	no
471	7739.000000000002	no
472	5691.555555555554	no
473	5581.777777777779	no
474	7613.222222222224	no
475	7102.888888888887	no
476	5557.888888888889	no
477	5054.444444444446	no
478	9233.777777777777	no
479	9246.22222222222	no
480	3852.333333333333	yes
481	8228.111111111106	no
482	9770.111111111113	no
483	9992.99999999999	no
484	6241.11111111111	no
485	2713.8888888888887	yes
486	5592.888888888888	no
487	9574.333333333336	no
488	7857.444444444444	no
489	8316.444444444447	no
490	13590.333333333325	no
491	10536.222222222215	no
492	7266.777777777777	no
493	10773.999999999996	no
494	7095.222222222219	no
495	7966.333333333332	no
496	6000.444444444443	no
497	6291.999999999999	no
498	11930.000000000005	no
499	6817.888888888888	no
500	9796.111111111115	no
