Iteration	Sum_of_Squares	Accepted
1	76988.29599999999	yes
2	202100.33600000007	no
3	212299.85600000006	no
4	109070.77599999995	no
5	133564.816	no
6	68658.816	yes
7	87429.256	no
8	87729.97600000002	no
9	89052.136	no
10	66516.65600000002	yes
11	81867.93599999999	no
12	65874.976	yes
13	108353.01600000003	no
14	52460.616	yes
15	118384.856	no
16	81832.216	no
17	269392.01600000006	no
18	58624.49600000001	no
19	128368.36960000005	no
20	40995.69599999999	yes
21	112996.45599999998	no
22	46479.695999999996	no
23	39511.295999999995	yes
24	31741.015999999992	yes
25	59199.93600000001	no
26	66369.13599999998	no
27	109213.97600000001	no
28	35127.736000000004	no
29	69441.33599999998	no
30	46057.776	no
31	44347.09600000002	no
32	70920.01599999999	no
33	82557.01599999997	no
34	48480.496000000014	no
35	42080.136	no
36	53044.496	no
37	79149.576	no
38	50936.656000000025	no
39	52291.29600000001	no
40	120787.05600000003	no
41	77107.056	no
42	101330.17599999998	no
43	65392.21599999997	no
44	38867.856	no
45	93271.73599999998	no
46	43067.976	no
47	37392.65600000001	no
48	58109.5296	no
49	36413.576	no
50	115935.816	no
51	50639.89599999999	no
52	35158.52960000001	no
53	58810.896	no
54	43448.41600000001	no
55	53808.41600000001	no
56	43369.889599999995	no
57	71482.2896	no
58	114424.89599999998	no
59	43717.975999999995	no
60	37563.056	no
61	39841.57600000001	no
62	45278.896000000015	no
63	43783.17600000001	no
64	46502.25599999999	no
65	48832.696	no
66	38948.17600000001	no
67	39435.73599999999	no
68	66745.85600000001	no
69	30603.816000000006	yes
70	101439.69599999995	no
71	69483.33600000001	no
72	44921.576000000015	no
73	45120.295999999995	no
74	24508.536	yes
75	33398.48960000001	no
76	45294.73599999998	no
77	136270.01600000006	no
78	45278.336	no
79	54546.696	no
80	47255.496	no
81	64446.096	no
82	31379.656000000003	no
83	37510.289600000004	no
84	105915.93599999999	no
85	47823.216	no
86	32099.409600000003	no
87	47440.136000000006	no
88	34703.656	no
89	40679.97600000001	no
90	100804.45600000002	no
91	90106.69600000001	no
92	45733.016	no
93	33716.576	no
94	20100.456000000002	yes
95	25219.175999999985	no
96	82581.696	no
97	40860.576	no
98	294484.176	no
99	24875.296000000002	no
100	129826.45600000002	no
101	17975.775999999994	yes
102	12812.336	yes
103	16688.65600000001	no
104	31162.89600000001	no
105	20671.896000000008	no
106	21929.21599999999	no
107	43752.896	no
108	203649.37600000005	no
109	26257.336	no
110	18248.29599999999	no
111	18347.176000000007	no
112	42136.93600000001	no
113	14117.616000000004	no
114	26651.216000000015	no
115	27519.97599999999	no
116	17082.535999999996	no
117	12668.736	yes
118	33676.736	no
119	14501.455999999998	no
120	14835.015999999996	no
121	27837.256000000005	no
122	20769.77599999999	no
123	31370.616	no
124	15112.736000000003	no
125	45160.056000000004	no
126	563428.6559999998	no
127	32186.29600000001	no
128	20557.495999999996	no
129	47220.736000000004	no
130	31819.97600000001	no
131	37668.65600000001	no
132	27896.056000000004	no
133	19513.336000000003	no
134	27503.216	no
135	35086.17600000001	no
136	19792.416	no
137	21787.615999999995	no
138	18873.655999999988	no
139	22778.736000000004	no
140	38959.376	no
141	364722.7759999999	no
142	15839.576000000001	no
143	38110.456000000006	no
144	19559.816	no
145	22558.776	no
146	18946.656000000003	no
147	94205.05600000001	no
148	293293.176	no
149	44239.096000000005	no
150	38441.65599999999	no
151	19009.736	no
152	22714.056000000004	no
153	47319.09599999998	no
154	21022.936	no
155	21907.816	no
156	15516.095999999994	no
157	21474.775999999998	no
158	16110.456000000002	no
159	41066.495999999985	no
160	34999.296	no
161	26643.096	no
162	22922.735999999997	no
163	36924.009600000005	no
164	52401.69599999999	no
165	21855.935999999994	no
166	7684.136	yes
167	67191.37599999999	no
168	53258.096000000005	no
169	54147.255999999994	no
170	22577.256	no
171	33871.695999999996	no
172	15465.696	no
173	18572.176	no
174	35534.056000000004	no
175	12976.655999999999	no
176	30998.775999999994	no
177	49764.776000000005	no
178	21925.695999999993	no
179	21637.41600000001	no
180	21085.655999999995	no
181	241022.25600000005	no
182	56442.056	no
183	21707.656000000003	no
184	51868.09599999999	no
185	17892.65599999999	no
186	45222.855999999985	no
187	25667.335999999996	no
188	16694.895999999993	no
189	22368.855999999996	no
190	16097.816	no
191	12212.736000000003	no
192	16129.976000000008	no
193	39675.57600000001	no
194	14392.736	no
195	18171.336000000007	no
196	13320.536000000004	no
197	19981.056000000004	no
198	464175.8959999999	no
199	29751.81600000001	no
200	31809.01599999999	no
201	13415.176	no
202	37044.53599999999	no
203	34526.216	no
204	19457.216000000004	no
205	26928.856000000007	no
206	15106.856000000003	no
207	20506.976	no
208	47369.17599999999	no
209	30858.096000000012	no
210	20266.416	no
211	12170.255999999998	no
212	31920.055999999986	no
213	21877.89600000001	no
214	27761.176	no
215	17483.615999999998	no
216	10570.496000000003	no
217	22236.775999999998	no
218	21469.536	no
219	60071.336	no
220	24495.49600000001	no
221	21502.016000000003	no
222	30799.176	no
223	99298.89599999998	no
224	25108.015999999996	no
225	26352.616000000005	no
226	37355.73599999999	no
227	28613.376000000007	no
228	21768.216000000008	no
229	26234.375999999993	no
230	25454.696000000007	no
231	23571.216000000008	no
232	34332.65599999999	no
