Iteration	SSE	Accepted
1	31565.632499999974	yes
2	31741.152499999993	no
3	30671.332500000015	yes
4	28727.952499999996	yes
5	31062.51249999998	no
6	29457.45249999999	no
7	29968.4325	no
8	31764.052500000013	no
9	31209.6925	no
10	31750.272500000014	no
11	31916.172499999986	no
12	25983.432500000003	yes
13	26628.1925	no
14	29017.852500000015	no
15	26328.172500000008	yes
16	26864.792499999996	no
17	28876.752499999995	no
18	28489.2725	no
19	27149.672499999993	no
20	30087.652499999997	no
21	27507.052499999998	no
22	27913.472499999996	no
23	27075.212499999998	no
24	27600.7725	no
25	26486.652500000004	yes
26	26583.972499999993	yes
27	25912.072499999995	yes
28	29189.472499999996	no
29	27795.632500000007	no
30	27563.692499999983	no
31	29653.672499999993	no
32	26279.39250000002	no
33	29179.492499999993	no
34	27794.932500000006	no
35	29014.872499999998	no
36	26170.152499999997	yes
37	26987.272500000006	no
38	26002.57250000001	yes
39	27348.792500000003	no
40	27867.09249999999	no
41	27655.3925	no
42	26569.052500000023	yes
43	25512.49250000002	yes
44	27179.3125	no
45	28127.092499999995	no
46	29012.032500000005	no
47	26830.5925	no
48	26628.612500000003	no
49	28034.992499999993	no
50	27668.71250000001	no
51	26502.952500000007	no
52	28376.432499999988	no
53	27034.512500000004	no
54	27306.212500000023	no
55	28266.752500000002	no
56	26855.772499999985	no
57	26993.49249999998	no
58	25748.1725	yes
59	27069.872500000005	no
60	28519.69250000002	no
61	27085.212499999998	no
62	29867.82500000001	no
63	26665.972500000003	no
64	29106.1325	no
65	28237.4125	no
66	28281.0125	no
67	27321.352500000023	no
68	26360.11250000001	no
69	27801.69249999999	no
70	26817.032499999994	no
71	27149.492500000008	no
72	28669.33250000001	no
73	28871.6725	no
74	26686.91250000002	no
75	30973.232500000016	no
76	26624.03250000001	no
77	27531.652499999997	no
78	27542.5125	no
79	29180.752500000006	no
80	27929.212499999994	no
81	28739.092500000013	no
82	27311.79250000001	no
83	28911.8925	no
84	27028.052499999998	no
85	26252.492500000008	no
