time	species	protein	transcript	ribo_density
0.000000	__protein1_rbs	0.000000	0.000000	0.000000
0.000000	__protein2_rbs	0.000000	0.000000	0.000000
0.000000	__protein3_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p0	1.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.012837	__protein1_rbs	0.000000	0.000000	0.000000
1.012837	__protein2_rbs	0.000000	0.000000	0.000000
1.012837	__protein3_rbs	0.000000	0.000000	0.000000
1.012837	__ribosome	99.000000	0.000000	0.000000
1.012837	__rnase_site_ext	1.000000	0.000000	0.000000
1.012837	p0	1.000000	0.000000	0.000000
1.012837	p1	1.000000	0.000000	0.000000
1.012837	p2	0.000000	0.000000	0.000000
1.012837	protein3	0.000000	1.000000	1.000000
1.012837	rnapol	1.000000	0.000000	0.000000
1.999791	__protein1_rbs	1.000000	0.000000	0.000000
1.999791	__protein2_rbs	0.000000	0.000000	0.000000
1.999791	__protein3_rbs	1.000000	0.000000	0.000000
1.999791	__ribosome	99.000000	0.000000	0.000000
1.999791	__rnase_site_ext	4.000000	0.000000	0.000000
1.999791	p0	0.000000	0.000000	0.000000
1.999791	p1	1.000000	0.000000	0.000000
1.999791	p2	1.000000	0.000000	0.000000
1.999791	protein1	0.000000	1.000000	0.000000
1.999791	protein3	0.000000	2.000000	0.500000
1.999791	rnapol	0.000000	0.000000	0.000000
2.999772	__protein1_rbs	1.000000	0.000000	0.000000
2.999772	__protein2_rbs	0.000000	0.000000	0.000000
2.999772	__protein3_rbs	0.000000	0.000000	0.000000
2.999772	__ribosome	96.000000	0.000000	0.000000
2.999772	__rnase_site_ext	4.000000	0.000000	0.000000
2.999772	p0	1.000000	0.000000	0.000000
2.999772	p1	1.000000	0.000000	0.000000
2.999772	p2	1.000000	0.000000	0.000000
2.999772	protein1	0.000000	2.000000	0.500000
2.999772	protein3	0.000000	2.000000	1.500000
2.999772	rnapol	0.000000	0.000000	0.000000
4.009367	__protein1_rbs	1.000000	0.000000	0.000000
4.009367	__protein2_rbs	0.000000	0.000000	0.000000
4.009367	__protein3_rbs	1.000000	0.000000	0.000000
4.009367	__ribosome	94.000000	0.000000	0.000000
4.009367	__rnase_site_ext	4.000000	0.000000	0.000000
4.009367	p0	1.000000	0.000000	0.000000
4.009367	p1	1.000000	0.000000	0.000000
4.009367	p2	1.000000	0.000000	0.000000
4.009367	protein1	0.000000	2.000000	1.000000
4.009367	protein3	0.000000	2.000000	2.000000
4.009367	rnapol	0.000000	0.000000	0.000000
5.000399	__protein1_rbs	1.000000	0.000000	0.000000
5.000399	__protein2_rbs	0.000000	0.000000	0.000000
5.000399	__protein3_rbs	1.000000	0.000000	0.000000
5.000399	__ribosome	92.000000	0.000000	0.000000
5.000399	__rnase_site_ext	4.000000	0.000000	0.000000
5.000399	p0	1.000000	0.000000	0.000000
5.000399	p1	1.000000	0.000000	0.000000
5.000399	p2	1.000000	0.000000	0.000000
5.000399	protein1	0.000000	2.000000	1.500000
5.000399	protein3	0.000000	2.000000	2.500000
5.000399	rnapol	0.000000	0.000000	0.000000
6.000908	__protein1_rbs	1.000000	0.000000	0.000000
6.000908	__protein2_rbs	0.000000	0.000000	0.000000
6.000908	__protein3_rbs	1.000000	0.000000	0.000000
6.000908	__ribosome	90.000000	0.000000	0.000000
6.000908	__rnase_site_ext	4.000000	0.000000	0.000000
6.000908	p0	1.000000	0.000000	0.000000
6.000908	p1	1.000000	0.000000	0.000000
6.000908	p2	1.000000	0.000000	0.000000
6.000908	protein1	0.000000	2.000000	2.500000
6.000908	protein3	1.000000	2.000000	2.500000
6.000908	rnapol	0.000000	0.000000	0.000000
6.999930	__protein1_rbs	0.000000	0.000000	0.000000
6.999930	__protein2_rbs	0.000000	0.000000	0.000000
6.999930	__protein3_rbs	1.000000	0.000000	0.000000
6.999930	__ribosome	87.000000	0.000000	0.000000
6.999930	__rnase_site_ext	5.000000	0.000000	0.000000
6.999930	p0	0.000000	0.000000	0.000000
6.999930	p1	1.000000	0.000000	0.000000
6.999930	p2	1.000000	0.000000	0.000000
6.999930	protein1	0.000000	2.000000	3.500000
6.999930	protein3	1.000000	2.000000	3.000000
6.999930	rnapol	0.000000	0.000000	0.000000
8.000115	__protein1_rbs	0.000000	0.000000	0.000000
8.000115	__protein2_rbs	0.000000	0.000000	0.000000
8.000115	__protein3_rbs	1.000000	0.000000	0.000000
8.000115	__ribosome	87.000000	0.000000	0.000000
8.000115	__rnase_site_ext	5.000000	0.000000	0.000000
8.000115	p0	1.000000	0.000000	0.000000
8.000115	p1	0.000000	0.000000	0.000000
8.000115	p2	0.000000	0.000000	0.000000
8.000115	protein1	1.000000	2.000000	3.500000
8.000115	protein3	3.000000	2.000000	3.000000
8.000115	rnapol	0.000000	0.000000	0.000000
8.999200	__protein1_rbs	1.000000	0.000000	0.000000
8.999200	__protein2_rbs	0.000000	0.000000	0.000000
8.999200	__protein3_rbs	0.000000	0.000000	0.000000
8.999200	__ribosome	85.000000	0.000000	0.000000
8.999200	__rnase_site_ext	7.000000	0.000000	0.000000
8.999200	p0	0.000000	0.000000	0.000000
8.999200	p1	0.000000	0.000000	0.000000
8.999200	p2	1.000000	0.000000	0.000000
8.999200	protein1	3.000000	3.000000	2.333333
8.999200	protein3	3.000000	3.000000	2.666667
8.999200	rnapol	0.000000	0.000000	0.000000
9.999925	__protein1_rbs	2.000000	0.000000	0.000000
9.999925	__protein2_rbs	0.000000	0.000000	0.000000
9.999925	__protein3_rbs	2.000000	0.000000	0.000000
9.999925	__ribosome	84.000000	0.000000	0.000000
9.999925	__rnase_site_ext	6.000000	0.000000	0.000000
9.999925	p0	1.000000	0.000000	0.000000
9.999925	p1	1.000000	0.000000	0.000000
9.999925	p2	0.000000	0.000000	0.000000
9.999925	protein1	4.000000	4.000000	2.250000
9.999925	protein3	5.000000	3.000000	2.333333
9.999925	rnapol	0.000000	0.000000	0.000000
10.999236	__protein1_rbs	2.000000	0.000000	0.000000
10.999236	__protein2_rbs	0.000000	0.000000	0.000000
10.999236	__protein3_rbs	2.000000	0.000000	0.000000
10.999236	__ribosome	83.000000	0.000000	0.000000
10.999236	__rnase_site_ext	6.000000	0.000000	0.000000
10.999236	p0	1.000000	0.000000	0.000000
10.999236	p1	1.000000	0.000000	0.000000
10.999236	p2	1.000000	0.000000	0.000000
10.999236	protein1	5.000000	4.000000	2.250000
10.999236	protein3	6.000000	4.000000	2.000000
10.999236	rnapol	0.000000	0.000000	0.000000
12.000474	__protein1_rbs	0.000000	0.000000	0.000000
12.000474	__protein2_rbs	0.000000	0.000000	0.000000
12.000474	__protein3_rbs	2.000000	0.000000	0.000000
12.000474	__ribosome	78.000000	0.000000	0.000000
12.000474	__rnase_site_ext	6.000000	0.000000	0.000000
12.000474	p0	1.000000	0.000000	0.000000
12.000474	p1	1.000000	0.000000	0.000000
12.000474	p2	1.000000	0.000000	0.000000
12.000474	protein1	6.000000	3.000000	3.666667
12.000474	protein3	6.000000	4.000000	2.750000
12.000474	rnapol	0.000000	0.000000	0.000000
12.999069	__protein1_rbs	2.000000	0.000000	0.000000
12.999069	__protein2_rbs	0.000000	0.000000	0.000000
12.999069	__protein3_rbs	1.000000	0.000000	0.000000
12.999069	__ribosome	77.000000	0.000000	0.000000
12.999069	__rnase_site_ext	6.000000	0.000000	0.000000
12.999069	p0	1.000000	0.000000	0.000000
12.999069	p1	1.000000	0.000000	0.000000
12.999069	p2	1.000000	0.000000	0.000000
12.999069	protein1	7.000000	3.000000	3.666667
12.999069	protein3	8.000000	4.000000	3.000000
12.999069	rnapol	0.000000	0.000000	0.000000
13.999125	__protein1_rbs	0.000000	0.000000	0.000000
13.999125	__protein2_rbs	0.000000	0.000000	0.000000
13.999125	__protein3_rbs	3.000000	0.000000	0.000000
13.999125	__ribosome	79.000000	0.000000	0.000000
13.999125	__rnase_site_ext	7.000000	0.000000	0.000000
13.999125	p0	0.000000	0.000000	0.000000
13.999125	p1	0.000000	0.000000	0.000000
13.999125	p2	1.000000	0.000000	0.000000
13.999125	protein1	9.000000	2.000000	5.500000
13.999125	protein3	11.000000	4.000000	2.500000
13.999125	rnapol	0.000000	0.000000	0.000000
14.999076	__protein1_rbs	1.000000	0.000000	0.000000
14.999076	__protein2_rbs	0.000000	0.000000	0.000000
14.999076	__protein3_rbs	1.000000	0.000000	0.000000
14.999076	__ribosome	77.000000	0.000000	0.000000
14.999076	__rnase_site_ext	6.000000	0.000000	0.000000
14.999076	p0	1.000000	0.000000	0.000000
14.999076	p1	1.000000	0.000000	0.000000
14.999076	p2	0.000000	0.000000	0.000000
14.999076	protein1	11.000000	2.000000	5.000000
14.999076	protein3	12.000000	4.000000	3.250000
14.999076	rnapol	0.000000	0.000000	0.000000
15.999932	__protein1_rbs	1.000000	0.000000	0.000000
15.999932	__protein2_rbs	0.000000	0.000000	0.000000
15.999932	__protein3_rbs	1.000000	0.000000	0.000000
15.999932	__ribosome	76.000000	0.000000	0.000000
15.999932	__rnase_site_ext	5.000000	0.000000	0.000000
15.999932	p0	1.000000	0.000000	0.000000
15.999932	p1	0.000000	0.000000	0.000000
15.999932	p2	1.000000	0.000000	0.000000
15.999932	protein1	14.000000	3.000000	3.000000
15.999932	protein3	14.000000	5.000000	3.000000
15.999932	rnapol	0.000000	0.000000	0.000000
16.999175	__protein1_rbs	1.000000	0.000000	0.000000
16.999175	__protein2_rbs	0.000000	0.000000	0.000000
16.999175	__protein3_rbs	3.000000	0.000000	0.000000
16.999175	__ribosome	76.000000	0.000000	0.000000
16.999175	__rnase_site_ext	10.000000	0.000000	0.000000
16.999175	p0	0.000000	0.000000	0.000000
16.999175	p1	1.000000	0.000000	0.000000
16.999175	p2	0.000000	0.000000	0.000000
16.999175	protein1	15.000000	3.000000	3.333333
16.999175	protein3	17.000000	5.000000	2.800000
16.999175	rnapol	0.000000	0.000000	0.000000
17.999069	__protein1_rbs	1.000000	0.000000	0.000000
17.999069	__protein2_rbs	0.000000	0.000000	0.000000
17.999069	__protein3_rbs	0.000000	0.000000	0.000000
17.999069	__ribosome	73.000000	0.000000	0.000000
17.999069	__rnase_site_ext	8.000000	0.000000	0.000000
17.999069	p0	1.000000	0.000000	0.000000
17.999069	p1	1.000000	0.000000	0.000000
17.999069	p2	1.000000	0.000000	0.000000
17.999069	protein1	17.000000	3.000000	3.333333
17.999069	protein3	20.000000	6.000000	2.833333
17.999069	rnapol	0.000000	0.000000	0.000000
18.999517	__protein1_rbs	2.000000	0.000000	0.000000
18.999517	__protein2_rbs	0.000000	0.000000	0.000000
18.999517	__protein3_rbs	3.000000	0.000000	0.000000
18.999517	__ribosome	73.000000	0.000000	0.000000
18.999517	__rnase_site_ext	8.000000	0.000000	0.000000
18.999517	p0	1.000000	0.000000	0.000000
18.999517	p1	1.000000	0.000000	0.000000
18.999517	p2	1.000000	0.000000	0.000000
18.999517	protein1	19.000000	4.000000	2.500000
18.999517	protein3	23.000000	6.000000	2.833333
18.999517	rnapol	0.000000	0.000000	0.000000
19.999022	__protein1_rbs	0.000000	0.000000	0.000000
19.999022	__protein2_rbs	0.000000	0.000000	0.000000
19.999022	__protein3_rbs	2.000000	0.000000	0.000000
19.999022	__ribosome	71.000000	0.000000	0.000000
19.999022	__rnase_site_ext	9.000000	0.000000	0.000000
19.999022	p0	1.000000	0.000000	0.000000
19.999022	p1	1.000000	0.000000	0.000000
19.999022	p2	1.000000	0.000000	0.000000
19.999022	protein1	20.000000	4.000000	3.250000
19.999022	protein3	26.000000	6.000000	2.666667
19.999022	rnapol	0.000000	0.000000	0.000000
21.000038	__protein1_rbs	1.000000	0.000000	0.000000
21.000038	__protein2_rbs	0.000000	0.000000	0.000000
21.000038	__protein3_rbs	4.000000	0.000000	0.000000
21.000038	__ribosome	71.000000	0.000000	0.000000
21.000038	__rnase_site_ext	11.000000	0.000000	0.000000
21.000038	p0	1.000000	0.000000	0.000000
21.000038	p1	1.000000	0.000000	0.000000
21.000038	p2	1.000000	0.000000	0.000000
21.000038	protein1	23.000000	4.000000	3.000000
21.000038	protein3	29.000000	7.000000	2.428571
21.000038	rnapol	0.000000	0.000000	0.000000
21.999751	__protein1_rbs	2.000000	0.000000	0.000000
21.999751	__protein2_rbs	0.000000	0.000000	0.000000
21.999751	__protein3_rbs	0.000000	0.000000	0.000000
21.999751	__ribosome	66.000000	0.000000	0.000000
21.999751	__rnase_site_ext	8.000000	0.000000	0.000000
21.999751	p0	0.000000	0.000000	0.000000
21.999751	p1	0.000000	0.000000	0.000000
21.999751	p2	1.000000	0.000000	0.000000
21.999751	protein1	24.000000	4.000000	3.250000
21.999751	protein3	32.000000	7.000000	3.000000
21.999751	rnapol	0.000000	0.000000	0.000000
22.999302	__protein1_rbs	3.000000	0.000000	0.000000
22.999302	__protein2_rbs	0.000000	0.000000	0.000000
22.999302	__protein3_rbs	3.000000	0.000000	0.000000
22.999302	__ribosome	66.000000	0.000000	0.000000
22.999302	__rnase_site_ext	11.000000	0.000000	0.000000
22.999302	p0	0.000000	0.000000	0.000000
22.999302	p1	1.000000	0.000000	0.000000
22.999302	p2	1.000000	0.000000	0.000000
22.999302	protein1	26.000000	4.000000	3.250000
22.999302	protein3	35.000000	7.000000	3.000000
22.999302	rnapol	0.000000	0.000000	0.000000
23.999146	__protein1_rbs	3.000000	0.000000	0.000000
23.999146	__protein2_rbs	0.000000	0.000000	0.000000
23.999146	__protein3_rbs	2.000000	0.000000	0.000000
23.999146	__ribosome	64.000000	0.000000	0.000000
23.999146	__rnase_site_ext	13.000000	0.000000	0.000000
23.999146	p0	1.000000	0.000000	0.000000
23.999146	p1	0.000000	0.000000	0.000000
23.999146	p2	1.000000	0.000000	0.000000
23.999146	protein1	28.000000	5.000000	2.600000
23.999146	protein3	38.000000	7.000000	3.285714
23.999146	rnapol	0.000000	0.000000	0.000000
24.999121	__protein1_rbs	1.000000	0.000000	0.000000
24.999121	__protein2_rbs	0.000000	0.000000	0.000000
24.999121	__protein3_rbs	4.000000	0.000000	0.000000
24.999121	__ribosome	64.000000	0.000000	0.000000
24.999121	__rnase_site_ext	13.000000	0.000000	0.000000
24.999121	p0	0.000000	0.000000	0.000000
24.999121	p1	1.000000	0.000000	0.000000
24.999121	p2	1.000000	0.000000	0.000000
24.999121	protein1	32.000000	6.000000	2.333333
24.999121	protein3	42.000000	7.000000	3.142857
24.999121	rnapol	0.000000	0.000000	0.000000
25.999246	__protein1_rbs	2.000000	0.000000	0.000000
25.999246	__protein2_rbs	0.000000	0.000000	0.000000
25.999246	__protein3_rbs	5.000000	0.000000	0.000000
25.999246	__ribosome	65.000000	0.000000	0.000000
25.999246	__rnase_site_ext	14.000000	0.000000	0.000000
25.999246	p0	1.000000	0.000000	0.000000
25.999246	p1	1.000000	0.000000	0.000000
25.999246	p2	0.000000	0.000000	0.000000
25.999246	protein1	35.000000	6.000000	2.333333
25.999246	protein3	46.000000	7.000000	3.000000
25.999246	rnapol	0.000000	0.000000	0.000000
27.000352	__protein1_rbs	2.000000	0.000000	0.000000
27.000352	__protein2_rbs	0.000000	0.000000	0.000000
27.000352	__protein3_rbs	3.000000	0.000000	0.000000
27.000352	__ribosome	62.000000	0.000000	0.000000
27.000352	__rnase_site_ext	14.000000	0.000000	0.000000
27.000352	p0	1.000000	0.000000	0.000000
27.000352	p1	1.000000	0.000000	0.000000
27.000352	p2	1.000000	0.000000	0.000000
27.000352	protein1	37.000000	7.000000	2.285714
27.000352	protein3	50.000000	8.000000	2.750000
27.000352	rnapol	0.000000	0.000000	0.000000
28.001711	__protein1_rbs	4.000000	0.000000	0.000000
28.001711	__protein2_rbs	0.000000	0.000000	0.000000
28.001711	__protein3_rbs	4.000000	0.000000	0.000000
28.001711	__ribosome	65.000000	0.000000	0.000000
28.001711	__rnase_site_ext	11.000000	0.000000	0.000000
28.001711	p0	1.000000	0.000000	0.000000
28.001711	p1	1.000000	0.000000	0.000000
28.001711	p2	1.000000	0.000000	0.000000
28.001711	protein1	39.000000	6.000000	2.500000
28.001711	protein3	57.000000	8.000000	2.500000
28.001711	rnapol	0.000000	0.000000	0.000000
28.999002	__protein1_rbs	1.000000	0.000000	0.000000
28.999002	__protein2_rbs	0.000000	0.000000	0.000000
28.999002	__protein3_rbs	7.000000	0.000000	0.000000
28.999002	__ribosome	66.000000	0.000000	0.000000
28.999002	__rnase_site_ext	14.000000	0.000000	0.000000
28.999002	p0	1.000000	0.000000	0.000000
