Iteration	SSE	Accepted
1	15309.592499999999	yes
2	17667.815000000002	no
3	14616.322500000002	yes
4	13654.925	yes
5	15467.5425	no
6	15474.312499999996	no
7	16224.102500000005	no
8	18875.964999999993	no
9	10679.250000000004	yes
10	10343.430000000004	yes
11	9928.255000000001	yes
12	9183.897500000001	yes
13	14129.677499999998	no
14	11988.222500000002	no
15	11506.0325	no
16	12783.0975	no
17	13614.6825	no
18	12471.81	no
19	12207.8125	no
20	15397.222499999996	no
21	11911.6025	no
22	15254.857499999998	no
23	13017.93	no
24	11226.6475	no
25	14321.57	no
26	12947.387500000003	no
27	10118.249999999996	no
28	17441.78	no
29	10534.882500000002	no
30	11240.27	no
31	13981.297499999993	no
32	14972.817500000008	no
33	15622.0	no
34	12055.1025	no
35	9789.997500000001	no
36	10385.794999999998	no
37	13918.1975	no
38	11487.73	no
39	10235.022500000001	no
40	14962.975	no
41	12140.74	no
42	12301.407500000001	no
43	11788.529999999999	no
44	14120.330000000004	no
45	14798.93	no
46	12648.302499999998	no
47	13150.1675	no
48	12410.550000000003	no
49	12811.307500000003	no
50	15482.602500000003	no
51	12817.087500000003	no
52	13794.179999999998	no
53	7787.229999999999	yes
54	10487.277500000002	no
55	10399.650000000001	no
56	10058.8325	no
57	12390.414999999997	no
58	11541.119999999995	no
59	11597.967499999999	no
60	8719.865000000002	no
61	5259.165000000001	yes
62	5671.717500000001	yes
63	6272.1	yes
64	542.6474999999997	yes
65	490.9700000000004	yes
66	516.7725000000003	yes
67	554.8525000000001	yes
68	733.88	yes
69	998.5100000000001	no
70	808.9150000000002	yes
71	745.3775	yes
72	966.1225	yes
73	818.7025000000003	yes
74	696.4400000000004	yes
75	763.4175000000004	yes
76	808.7425000000005	yes
77	1873.0249999999992	no
78	1187.5325000000003	no
79	882.32	yes
80	562.7250000000005	yes
81	655.47	yes
82	669.3025	yes
83	535.2050000000003	yes
84	553.7899999999997	yes
85	807.1675000000005	yes
86	1647.8049999999996	no
87	683.9325000000001	yes
88	942.6825000000002	no
89	520.2324999999998	yes
90	852.6325000000005	yes
91	1061.205	yes
92	939.2625000000005	yes
93	547.3300000000005	yes
94	830.2675000000008	no
95	725.8499999999996	yes
96	579.9825000000004	yes
97	2149.2225000000003	no
98	546.1325000000002	yes
99	389.37250000000006	yes
100	656.2050000000003	yes
101	633.0350000000003	yes
102	942.1974999999998	no
103	511.49500000000023	yes
104	646.0025	yes
105	586.3250000000002	yes
106	521.1900000000002	yes
107	682.7775000000001	yes
108	751.365	yes
109	644.69	yes
110	506.91250000000025	yes
111	803.6674999999998	no
112	761.2850000000002	no
113	630.5950000000003	yes
114	453.1850000000002	yes
115	864.6150000000002	no
116	559.3100000000004	yes
117	667.1200000000006	no
118	705.7100000000004	yes
119	605.8925	yes
120	507.5974999999999	yes
121	718.0774999999999	no
122	594.2575000000002	yes
123	1045.0025	no
124	724.0825	yes
125	884.99	yes
126	845.1799999999998	yes
127	559.6250000000001	yes
128	773.7650000000006	yes
129	626.0500000000006	yes
130	563.5550000000003	yes
131	520.7875000000005	yes
132	557.1750000000001	yes
133	531.4125000000004	yes
134	750.4850000000002	yes
135	501.5775000000003	yes
136	699.7925000000004	yes
137	534.2650000000003	yes
138	512.9400000000004	yes
139	534.585	yes
140	990.1250000000003	yes
141	432.86750000000035	yes
142	839.2500000000002	yes
143	559.9075000000006	yes
144	832.1125000000001	yes
145	536.275	yes
146	872.625	yes
147	444.8850000000002	yes
148	1549.6275000000003	no
149	667.1799999999996	yes
150	945.5275000000001	yes
151	703.0375	yes
152	789.4349999999998	yes
153	760.7950000000004	yes
154	532.1175000000003	yes
155	697.6650000000001	yes
156	950.8724999999996	yes
157	730.405	yes
158	727.1375000000003	yes
159	538.0650000000002	yes
160	795.82	yes
161	881.2350000000005	yes
162	521.9850000000001	yes
163	556.7775	yes
164	662.74	yes
165	632.5149999999999	yes
166	1080.9824999999996	no
167	572.4575000000003	yes
168	558.6575000000004	yes
169	438.63249999999994	yes
170	584.9800000000002	yes
171	851.8750000000002	yes
172	662.4525000000001	yes
173	976.2725000000002	no
174	538.6525000000001	yes
175	654.995	yes
176	785.9900000000004	no
177	996.1674999999999	no
178	793.9224999999999	yes
179	643.4625	yes
180	1073.7450000000003	yes
181	622.0225	yes
182	574.6075	yes
183	620.9950000000001	yes
184	654.3625	yes
185	755.05	yes
186	825.45	yes
187	1272.5699999999995	no
188	2063.8675000000003	yes
189	2187.0924999999993	yes
190	2432.1974999999998	no
191	1951.3649999999998	yes
192	2111.4575	no
193	1484.2624999999996	yes
194	2089.0224999999996	yes
195	3112.24	yes
196	2821.615	yes
197	2758.86	yes
198	1993.099999999999	yes
199	3219.8525	no
200	2399.8125	yes
201	3043.362500000001	no
202	1780.8549999999993	yes
203	1903.3824999999997	no
204	1638.0049999999999	yes
205	1695.6875	yes
206	601.1400000000002	yes
207	1617.2424999999998	no
208	1019.6575000000003	no
209	1130.4875000000004	yes
210	1074.5499999999997	yes
211	1197.7325000000005	yes
212	1265.8125	yes
213	1470.1924999999997	yes
214	867.7400000000002	yes
215	1332.9249999999997	yes
216	1602.9774999999995	yes
217	2624.6525000000015	no
218	1864.8574999999996	no
219	1847.3299999999988	yes
220	1380.9125000000001	yes
221	1530.8324999999998	no
222	1495.5724999999995	yes
223	1664.6349999999995	yes
224	1550.72	yes
225	1548.5275000000001	yes
226	1757.85	yes
227	1039.5575000000003	yes
228	1684.8325000000004	yes
229	1725.7775	yes
230	1555.3750000000002	yes
231	1494.5424999999998	yes
232	3233.7150000000006	no
233	1193.3400000000004	yes
234	1146.9275	yes
235	2928.3599999999997	no
236	1242.765	yes
237	1148.6525000000001	yes
238	1631.77	no
239	1598.0724999999998	no
240	905.1500000000001	yes
241	1365.2224999999994	yes
242	1439.0775	yes
243	1045.5275000000004	yes
244	1329.7675000000002	yes
245	1286.4050000000002	yes
246	1417.8075000000001	yes
247	1462.7374999999993	yes
248	1280.7574999999997	yes
249	1317.8300000000004	yes
250	1934.5899999999997	no
251	1310.0724999999998	yes
252	1498.5749999999998	no
253	1276.5800000000002	yes
254	1265.3899999999999	yes
255	1585.625	yes
256	1625.1625	yes
257	774.8400000000003	yes
258	761.9374999999998	yes
259	1391.3649999999998	yes
260	756.8100000000004	yes
261	1958.2324999999996	no
262	973.7375000000002	no
263	1045.015	no
264	1427.3124999999995	no
265	1383.0099999999995	yes
266	1038.5674999999999	yes
267	1355.7699999999998	no
268	903.2624999999999	yes
269	1489.8574999999992	no
270	657.7399999999998	yes
271	1414.7750000000003	no
272	974.84	yes
273	2087.7975	no
274	1343.3700000000001	no
275	1143.2900000000002	yes
276	1020.7300000000002	yes
277	1064.58	yes
278	665.1225000000002	yes
279	774.5825	yes
280	453.39500000000004	yes
281	742.8150000000002	no
282	904.0225000000004	no
283	703.1475000000002	yes
284	792.9875	yes
285	791.8925000000008	yes
286	731.9674999999997	yes
287	990.5475000000002	yes
288	1036.0575	yes
289	1201.73	no
290	1063.8175000000003	yes
291	691.98	yes
292	780.2450000000003	no
293	806.5900000000003	yes
294	778.7325	yes
295	853.5200000000004	yes
296	816.6725000000001	yes
297	828.1075000000003	yes
298	721.8825000000002	yes
299	982.6200000000003	yes
300	1463.6875	no
301	1024.7025000000008	yes
302	1022.2425000000001	yes
303	778.7825	yes
304	919.8025000000002	yes
305	968.1125000000004	yes
306	1024.5	yes
307	709.3874999999999	yes
308	667.2575000000005	yes
309	1147.6950000000002	yes
310	825.0025000000005	yes
311	1058.2600000000002	yes
312	7554.282499999999	no
313	1641.7599999999993	yes
314	1364.9400000000003	yes
315	1135.565	yes
316	1337.2575000000004	yes
317	2083.3550000000005	no
318	1023.8800000000006	yes
319	1069.1500000000005	yes
320	1272.185	yes
321	1307.1775000000002	yes
322	1125.4400000000005	yes
323	1129.4875000000002	yes
324	1170.3699999999997	yes
325	1263.735	yes
326	1873.1075	no
327	1794.2224999999996	no
328	1720.8175	no
329	2086.6949999999997	no
330	1804.6924999999997	no
331	1494.9999999999998	yes
332	1623.2299999999998	yes
333	1674.5375	yes
334	2646.2549999999997	yes
335	1290.9599999999998	yes
336	1141.4549999999997	yes
337	1786.0899999999997	no
338	2004.3974999999998	no
339	2414.28	no
340	1637.3049999999996	no
341	1498.2025	no
342	1198.9850000000001	yes
343	1100.4625000000003	yes
344	911.8875000000005	yes
345	1073.7300000000002	yes
346	983.4475000000002	yes
347	1220.1575	yes
348	1062.9175000000002	yes
349	958.3325000000002	yes
350	1396.5499999999997	yes
351	1722.37	no
352	1332.8325	yes
353	1689.635000000001	yes
354	1116.4100000000003	yes
355	818.3450000000004	yes
356	1150.285	no
357	1228.3974999999998	yes
358	1075.9725000000003	yes
359	1712.2549999999997	no
360	1363.7749999999994	yes
361	1249.1550000000004	yes
362	1772.0699999999997	no
363	1369.4099999999999	no
364	1380.8200000000004	yes
365	1442.2075000000002	yes
366	2138.6799999999994	yes
367	2404.3450000000007	yes
368	2566.1825	no
369	2691.545	yes
370	2747.2575000000006	yes
371	2608.45	yes
372	1617.0625	yes
373	1459.9500000000003	yes
374	1733.0599999999995	yes
375	1510.3624999999997	yes
376	1503.8000000000002	yes
377	1298.4999999999995	yes
378	1468.4524999999996	yes
379	1772.6724999999994	no
380	2901.26	no
381	2497.099999999999	no
382	1507.7825	yes
383	1368.8725	yes
384	1560.6775	no
385	1926.3249999999998	no
386	1195.7024999999999	yes
387	1389.4250000000004	yes
388	1605.2050000000002	yes
389	1597.1800000000003	yes
390	1784.73	yes
391	1384.6674999999998	yes
392	1501.245	no
393	2534.6124999999993	no
394	1958.557499999999	yes
395	1458.4249999999997	yes
396	1592.44	yes
397	2072.8524999999995	yes
398	1834.0425	yes
399	1983.9099999999992	yes
400	2038.275	yes
401	2164.0724999999993	yes
402	2105.0274999999992	yes
403	2940.3700000000003	yes
404	1977.6074999999992	yes
405	2578.7825000000003	no
406	3114.3725000000004	no
407	1467.3649999999998	yes
