Iteration	SSE	Accepted
1	19878.19500000001	yes
2	24084.787500000006	no
3	21053.557499999995	no
4	18667.570000000007	yes
5	24071.129999999997	no
6	15735.252500000004	yes
7	16579.665000000005	no
8	17933.432499999995	no
9	16121.690000000008	no
10	14778.705000000002	yes
11	16354.379999999997	no
12	15079.079999999996	no
13	16496.92	no
14	18342.907499999998	no
15	15959.612500000001	no
16	19044.31749999999	no
17	17131.4775	no
18	15665.0275	yes
19	17067.42	no
20	16523.265000000003	no
21	16348.934999999998	no
22	14297.4925	yes
23	17500.155000000013	no
24	15999.442499999992	no
25	18167.102499999994	no
26	19177.15750000001	no
27	15784.859999999999	no
28	18030.602499999986	no
29	17530.7475	no
30	20883.877500000002	no
31	15483.169999999998	no
32	17347.139999999992	no
33	14547.802500000007	yes
34	17382.480000000003	no
35	18747.7875	no
36	16109.742500000002	no
37	16421.9575	no
38	17670.974999999995	no
39	17395.37	no
40	16066.492500000002	no
41	17940.7575	no
42	17472.892500000005	no
43	16588.170000000002	no
44	16932.322500000002	no
45	20111.55999999999	no
46	19197.315000000002	no
47	14941.705000000002	no
48	9231.4025	yes
49	9167.762499999999	yes
50	9193.060000000001	yes
51	8746.509999999998	yes
52	8861.962500000001	yes
53	10370.875	no
54	8834.550000000003	yes
55	8964.965	no
56	9420.6375	no
57	9007.8875	no
58	9064.21	yes
59	8761.18	yes
60	8589.9925	yes
61	9121.842499999999	no
62	8708.957499999997	yes
63	8916.445000000002	yes
64	8634.435	yes
65	8779.282500000005	no
66	9298.112499999997	no
67	8765.609999999997	yes
68	8755.2925	yes
69	8885.707500000002	yes
70	9244.64	no
71	9186.050000000003	no
72	9125.392499999998	yes
73	9120.52	yes
74	9285.124999999996	yes
75	9606.362499999996	no
76	8968.344999999994	yes
77	9532.29	no
78	9222.252499999999	yes
79	9082.124999999996	yes
80	9471.1525	no
81	9071.732500000004	yes
82	8898.1725	yes
83	8677.302499999998	yes
84	8831.077500000001	no
85	8638.36	yes
86	8422.379999999997	yes
87	8681.042500000001	yes
88	8887.000000000004	yes
89	9128.169999999996	yes
90	8776.662500000002	yes
91	9329.637499999997	no
92	9311.705000000002	yes
93	9778.365000000002	no
94	8796.650000000005	yes
95	8449.149999999998	yes
96	8566.890000000001	yes
97	8992.625000000004	yes
98	9080.135	yes
99	9053.602499999999	yes
100	9417.7025	no
101	8671.940000000002	yes
102	9707.379999999997	no
103	8384.0875	yes
104	8395.949999999997	yes
105	8859.85	yes
106	9105.695	yes
107	8782.452500000001	yes
108	9369.720000000001	no
109	8435.710000000003	yes
110	8362.197499999998	yes
111	8597.060000000001	yes
112	8456.427499999998	yes
113	8571.965000000002	yes
114	8665.274999999998	no
115	8537.592500000002	yes
116	8489.245	yes
117	8544.257500000003	yes
118	8597.097500000002	yes
119	8491.117499999998	yes
120	8486.4775	yes
121	8437.6975	yes
122	7433.91	yes
123	7880.892499999998	yes
124	7181.094999999996	yes
125	7319.2824999999975	yes
126	7719.177499999998	yes
127	7630.614999999998	yes
128	8246.552499999996	no
129	7837.244999999999	yes
130	8780.660000000003	yes
131	8041.485000000001	yes
132	7941.289999999999	yes
133	7843.187499999996	yes
134	7518.8475	yes
