time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002210	__proteinX_rbs	0.000000	0.000000	0.000000
1.002210	__proteinY_rbs	1.000000	0.000000	0.000000
1.002210	__proteinZ_rbs	0.000000	0.000000	0.000000
1.002210	__ribosome	97.000000	0.000000	0.000000
1.002210	__rnase_site	0.000000	0.000000	0.000000
1.002210	__rnase_site_ext	3.000000	0.000000	0.000000
1.002210	p1	1.000000	0.000000	0.000000
1.002210	p2	1.000000	0.000000	0.000000
1.002210	p3	1.000000	0.000000	0.000000
1.002210	proteinX	0.000000	2.000000	1.000000
1.002210	proteinY	0.000000	1.000000	0.000000
1.002210	proteinZ	0.000000	1.000000	1.000000
1.002210	rnapol	0.000000	0.000000	0.000000
1.999238	__proteinX_rbs	0.000000	0.000000	0.000000
1.999238	__proteinY_rbs	0.000000	0.000000	0.000000
1.999238	__proteinZ_rbs	1.000000	0.000000	0.000000
1.999238	__ribosome	93.000000	0.000000	0.000000
1.999238	__rnase_site	0.000000	0.000000	0.000000
1.999238	__rnase_site_ext	3.000000	0.000000	0.000000
1.999238	p1	1.000000	0.000000	0.000000
1.999238	p2	1.000000	0.000000	0.000000
1.999238	p3	1.000000	0.000000	0.000000
1.999238	proteinX	0.000000	2.000000	2.000000
1.999238	proteinY	0.000000	1.000000	1.000000
1.999238	proteinZ	0.000000	1.000000	2.000000
1.999238	rnapol	0.000000	0.000000	0.000000
2.999066	__proteinX_rbs	0.000000	0.000000	0.000000
2.999066	__proteinY_rbs	1.000000	0.000000	0.000000
2.999066	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999066	__ribosome	89.000000	0.000000	0.000000
2.999066	__rnase_site	0.000000	0.000000	0.000000
2.999066	__rnase_site_ext	2.000000	0.000000	0.000000
2.999066	p1	1.000000	0.000000	0.000000
2.999066	p2	1.000000	0.000000	0.000000
2.999066	p3	1.000000	0.000000	0.000000
2.999066	proteinX	0.000000	2.000000	3.500000
2.999066	proteinY	0.000000	1.000000	1.000000
2.999066	proteinZ	0.000000	1.000000	3.000000
2.999066	rnapol	0.000000	0.000000	0.000000
3.999436	__proteinX_rbs	2.000000	0.000000	0.000000
3.999436	__proteinY_rbs	0.000000	0.000000	0.000000
3.999436	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999436	__ribosome	85.000000	0.000000	0.000000
3.999436	__rnase_site	0.000000	0.000000	0.000000
3.999436	__rnase_site_ext	4.000000	0.000000	0.000000
3.999436	p1	1.000000	0.000000	0.000000
3.999436	p2	0.000000	0.000000	0.000000
3.999436	p3	0.000000	0.000000	0.000000
3.999436	proteinX	0.000000	3.000000	2.666667
3.999436	proteinY	0.000000	1.000000	2.000000
3.999436	proteinZ	0.000000	1.000000	5.000000
3.999436	rnapol	0.000000	0.000000	0.000000
5.000713	__proteinX_rbs	3.000000	0.000000	0.000000
5.000713	__proteinY_rbs	2.000000	0.000000	0.000000
5.000713	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000713	__ribosome	84.000000	0.000000	0.000000
5.000713	__rnase_site	0.000000	0.000000	0.000000
5.000713	__rnase_site_ext	5.000000	0.000000	0.000000
5.000713	p1	1.000000	0.000000	0.000000
5.000713	p2	1.000000	0.000000	0.000000
5.000713	p3	1.000000	0.000000	0.000000
5.000713	proteinX	2.000000	3.000000	2.000000
5.000713	proteinY	0.000000	3.000000	1.333333
5.000713	proteinZ	1.000000	2.000000	3.000000
5.000713	rnapol	0.000000	0.000000	0.000000
6.000044	__proteinX_rbs	3.000000	0.000000	0.000000
6.000044	__proteinY_rbs	1.000000	0.000000	0.000000
6.000044	__proteinZ_rbs	1.000000	0.000000	0.000000
6.000044	__ribosome	79.000000	0.000000	0.000000
6.000044	__rnase_site	0.000000	0.000000	0.000000
6.000044	__rnase_site_ext	5.000000	0.000000	0.000000
6.000044	p1	1.000000	0.000000	0.000000
6.000044	p2	1.000000	0.000000	0.000000
6.000044	p3	1.000000	0.000000	0.000000
6.000044	proteinX	6.000000	3.000000	1.666667
6.000044	proteinY	0.000000	3.000000	2.666667
6.000044	proteinZ	1.000000	2.000000	4.000000
6.000044	rnapol	0.000000	0.000000	0.000000
7.002090	__proteinX_rbs	1.000000	0.000000	0.000000
7.002090	__proteinY_rbs	2.000000	0.000000	0.000000
7.002090	__proteinZ_rbs	2.000000	0.000000	0.000000
7.002090	__ribosome	76.000000	0.000000	0.000000
7.002090	__rnase_site	0.000000	0.000000	0.000000
7.002090	__rnase_site_ext	4.000000	0.000000	0.000000
7.002090	p1	1.000000	0.000000	0.000000
7.002090	p2	0.000000	0.000000	0.000000
7.002090	p3	1.000000	0.000000	0.000000
7.002090	proteinX	7.000000	3.000000	2.333333
7.002090	proteinY	1.000000	3.000000	3.000000
7.002090	proteinZ	2.000000	2.000000	4.000000
7.002090	rnapol	0.000000	0.000000	0.000000
7.999838	__proteinX_rbs	3.000000	0.000000	0.000000
