time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000909	__proteinX_rbs	0.000000	0.000000	0.000000
1.000909	__proteinY_rbs	0.000000	0.000000	0.000000
1.000909	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000909	__ribosome	98.000000	0.000000	0.000000
1.000909	__rnase_site	0.000000	0.000000	0.000000
1.000909	__rnase_site_ext	1.000000	0.000000	0.000000
1.000909	p1	0.000000	0.000000	0.000000
1.000909	proteinX	0.000000	2.000000	1.000000
1.000909	rnapol	0.000000	0.000000	0.000000
1.999900	__proteinX_rbs	2.000000	0.000000	0.000000
1.999900	__proteinY_rbs	0.000000	0.000000	0.000000
1.999900	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999900	__ribosome	96.000000	0.000000	0.000000
1.999900	__rnase_site	0.000000	0.000000	0.000000
1.999900	__rnase_site_ext	2.000000	0.000000	0.000000
1.999900	p1	1.000000	0.000000	0.000000
1.999900	proteinX	0.000000	4.000000	1.000000
1.999900	rnapol	0.000000	0.000000	0.000000
3.006200	__proteinX_rbs	1.000000	0.000000	0.000000
3.006200	__proteinY_rbs	0.000000	0.000000	0.000000
3.006200	__proteinZ_rbs	0.000000	0.000000	0.000000
3.006200	__ribosome	91.000000	0.000000	0.000000
3.006200	__rnase_site	0.000000	0.000000	0.000000
3.006200	__rnase_site_ext	3.000000	0.000000	0.000000
3.006200	p1	1.000000	0.000000	0.000000
3.006200	proteinX	0.000000	4.000000	2.000000
3.006200	proteinY	0.000000	1.000000	1.000000
3.006200	rnapol	0.000000	0.000000	0.000000
4.000043	__proteinX_rbs	4.000000	0.000000	0.000000
4.000043	__proteinY_rbs	1.000000	0.000000	0.000000
4.000043	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000043	__ribosome	91.000000	0.000000	0.000000
4.000043	__rnase_site	1.000000	0.000000	0.000000
4.000043	__rnase_site_ext	4.000000	0.000000	0.000000
4.000043	p1	1.000000	0.000000	0.000000
4.000043	proteinX	1.000000	4.000000	2.000000
4.000043	proteinY	0.000000	1.000000	1.000000
4.000043	rnapol	0.000000	0.000000	0.000000
5.001650	__proteinX_rbs	3.000000	0.000000	0.000000
5.001650	__proteinY_rbs	3.000000	0.000000	0.000000
5.001650	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001650	__ribosome	86.000000	0.000000	0.000000
5.001650	__rnase_site	3.000000	0.000000	0.000000
5.001650	__rnase_site_ext	3.000000	0.000000	0.000000
5.001650	p1	1.000000	0.000000	0.000000
5.001650	proteinX	2.000000	4.000000	3.000000
5.001650	proteinY	0.000000	3.000000	0.666667
5.001650	rnapol	0.000000	0.000000	0.000000
6.000148	__proteinX_rbs	2.000000	0.000000	0.000000
6.000148	__proteinY_rbs	2.000000	0.000000	0.000000
6.000148	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000148	__ribosome	82.000000	0.000000	0.000000
6.000148	__rnase_site	2.000000	0.000000	0.000000
6.000148	__rnase_site_ext	2.000000	0.000000	0.000000
6.000148	p1	1.000000	0.000000	0.000000
6.000148	proteinX	5.000000	4.000000	3.250000
6.000148	proteinY	0.000000	4.000000	1.250000
6.000148	rnapol	0.000000	0.000000	0.000000
7.001256	__proteinX_rbs	3.000000	0.000000	0.000000
7.001256	__proteinY_rbs	2.000000	0.000000	0.000000
7.001256	__proteinZ_rbs	1.000000	0.000000	0.000000
7.001256	__ribosome	81.000000	0.000000	0.000000
7.001256	__rnase_site	3.000000	0.000000	0.000000
7.001256	__rnase_site_ext	3.000000	0.000000	0.000000
7.001256	p1	1.000000	0.000000	0.000000
7.001256	proteinX	10.000000	4.000000	2.500000
7.001256	proteinY	0.000000	4.000000	2.250000
7.001256	proteinZ	0.000000	1.000000	0.000000
7.001256	rnapol	0.000000	0.000000	0.000000
7.999008	__proteinX_rbs	3.000000	0.000000	0.000000
7.999008	__proteinY_rbs	2.000000	0.000000	0.000000
7.999008	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999008	__ribosome	77.000000	0.000000	0.000000
7.999008	__rnase_site	2.000000	0.000000	0.000000
7.999008	__rnase_site_ext	3.000000	0.000000	0.000000
7.999008	p1	1.000000	0.000000	0.000000
7.999008	proteinX	14.000000	4.000000	2.000000
7.999008	proteinY	1.000000	4.000000	3.500000
7.999008	proteinZ	0.000000	1.000000	1.000000
7.999008	rnapol	0.000000	0.000000	0.000000
8.999798	__proteinX_rbs	1.000000	0.000000	0.000000
8.999798	__proteinY_rbs	2.000000	0.000000	0.000000
8.999798	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999798	__ribosome	71.000000	0.000000	0.000000
8.999798	__rnase_site	3.000000	0.000000	0.000000
8.999798	__rnase_site_ext	1.000000	0.000000	0.000000
8.999798	p1	1.000000	0.000000	0.000000
8.999798	proteinX	17.000000	4.000000	2.250000
8.999798	proteinY	2.000000	4.000000	4.000000
8.999798	proteinZ	0.000000	3.000000	1.333333
8.999798	rnapol	0.000000	0.000000	0.000000
