time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002755	__proteinX_rbs	0.000000	0.000000	0.000000
1.002755	__proteinY_rbs	1.000000	0.000000	0.000000
1.002755	__proteinZ_rbs	1.000000	0.000000	0.000000
1.002755	__ribosome	99.000000	0.000000	0.000000
1.002755	__rnase_site	3.000000	0.000000	0.000000
1.002755	__rnase_site_ext	4.000000	0.000000	0.000000
1.002755	p1	1.000000	0.000000	0.000000
1.002755	p2	1.000000	0.000000	0.000000
1.002755	p3	1.000000	0.000000	0.000000
1.002755	proteinX	0.000000	1.000000	1.000000
1.002755	proteinY	0.000000	1.000000	0.000000
1.002755	proteinZ	0.000000	1.000000	0.000000
1.002755	rnapol	0.000000	0.000000	0.000000
2.000831	__proteinX_rbs	0.000000	0.000000	0.000000
2.000831	__proteinY_rbs	0.000000	0.000000	0.000000
2.000831	__proteinZ_rbs	2.000000	0.000000	0.000000
2.000831	__ribosome	96.000000	0.000000	0.000000
2.000831	__rnase_site	2.000000	0.000000	0.000000
2.000831	__rnase_site_ext	3.000000	0.000000	0.000000
2.000831	p1	1.000000	0.000000	0.000000
2.000831	p2	1.000000	0.000000	0.000000
2.000831	p3	1.000000	0.000000	0.000000
2.000831	proteinX	0.000000	1.000000	2.000000
2.000831	proteinY	0.000000	1.000000	1.000000
2.000831	proteinZ	0.000000	2.000000	0.500000
2.000831	rnapol	0.000000	0.000000	0.000000
2.999681	__proteinX_rbs	1.000000	0.000000	0.000000
2.999681	__proteinY_rbs	0.000000	0.000000	0.000000
2.999681	__proteinZ_rbs	1.000000	0.000000	0.000000
2.999681	__ribosome	91.000000	0.000000	0.000000
2.999681	__rnase_site	2.000000	0.000000	0.000000
2.999681	__rnase_site_ext	4.000000	0.000000	0.000000
2.999681	p1	1.000000	0.000000	0.000000
2.999681	p2	1.000000	0.000000	0.000000
2.999681	p3	1.000000	0.000000	0.000000
2.999681	proteinX	0.000000	1.000000	3.000000
2.999681	proteinY	0.000000	1.000000	3.000000
2.999681	proteinZ	0.000000	2.000000	1.500000
2.999681	rnapol	0.000000	0.000000	0.000000
3.999759	__proteinX_rbs	2.000000	0.000000	0.000000
3.999759	__proteinY_rbs	1.000000	0.000000	0.000000
3.999759	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999759	__ribosome	87.000000	0.000000	0.000000
3.999759	__rnase_site	3.000000	0.000000	0.000000
3.999759	__rnase_site_ext	5.000000	0.000000	0.000000
3.999759	p1	1.000000	0.000000	0.000000
3.999759	p2	1.000000	0.000000	0.000000
3.999759	p3	0.000000	0.000000	0.000000
3.999759	proteinX	0.000000	2.000000	2.000000
3.999759	proteinY	0.000000	1.000000	3.000000
3.999759	proteinZ	0.000000	2.000000	3.000000
3.999759	rnapol	0.000000	0.000000	0.000000
4.999056	__proteinX_rbs	1.000000	0.000000	0.000000
4.999056	__proteinY_rbs	1.000000	0.000000	0.000000
4.999056	__proteinZ_rbs	2.000000	0.000000	0.000000
4.999056	__ribosome	84.000000	0.000000	0.000000
4.999056	__rnase_site	6.000000	0.000000	0.000000
4.999056	__rnase_site_ext	6.000000	0.000000	0.000000
4.999056	p1	1.000000	0.000000	0.000000
4.999056	p2	1.000000	0.000000	0.000000
4.999056	p3	1.000000	0.000000	0.000000
4.999056	proteinX	2.000000	2.000000	2.500000
4.999056	proteinY	0.000000	1.000000	3.000000
4.999056	proteinZ	0.000000	4.000000	2.000000
4.999056	rnapol	0.000000	0.000000	0.000000
5.999458	__proteinX_rbs	1.000000	0.000000	0.000000
5.999458	__proteinY_rbs	1.000000	0.000000	0.000000
5.999458	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999458	__ribosome	79.000000	0.000000	0.000000
5.999458	__rnase_site	5.000000	0.000000	0.000000
5.999458	__rnase_site_ext	6.000000	0.000000	0.000000
5.999458	p1	1.000000	0.000000	0.000000
5.999458	p2	1.000000	0.000000	0.000000
5.999458	p3	1.000000	0.000000	0.000000
5.999458	proteinX	3.000000	2.000000	3.000000
5.999458	proteinY	0.000000	1.000000	4.000000
5.999458	proteinZ	1.000000	4.000000	2.750000
5.999458	rnapol	0.000000	0.000000	0.000000
6.999494	__proteinX_rbs	0.000000	0.000000	0.000000
6.999494	__proteinY_rbs	1.000000	0.000000	0.000000
6.999494	__proteinZ_rbs	3.000000	0.000000	0.000000
6.999494	__ribosome	78.000000	0.000000	0.000000
6.999494	__rnase_site	5.000000	0.000000	0.000000
6.999494	__rnase_site_ext	5.000000	0.000000	0.000000
6.999494	p1	1.000000	0.000000	0.000000
6.999494	p2	1.000000	0.000000	0.000000
6.999494	p3	1.000000	0.000000	0.000000
6.999494	proteinX	4.000000	2.000000	3.500000
6.999494	proteinY	2.000000	1.000000	2.000000
6.999494	proteinZ	2.000000	4.000000	3.250000
6.999494	rnapol	0.000000	0.000000	0.000000
8.002512	__proteinX_rbs	2.000000	0.000000	0.000000
