time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004363	__proteinX_rbs	0.000000	0.000000	0.000000
1.004363	__proteinY_rbs	0.000000	0.000000	0.000000
1.004363	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004363	__ribosome	98.000000	0.000000	0.000000
1.004363	__rnase_site	0.000000	0.000000	0.000000
1.004363	__rnase_site_ext	1.000000	0.000000	0.000000
1.004363	p1	0.000000	0.000000	0.000000
1.004363	proteinX	0.000000	2.000000	1.000000
1.004363	rnapol	0.000000	0.000000	0.000000
2.001733	__proteinX_rbs	2.000000	0.000000	0.000000
2.001733	__proteinY_rbs	0.000000	0.000000	0.000000
2.001733	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001733	__ribosome	96.000000	0.000000	0.000000
2.001733	__rnase_site	0.000000	0.000000	0.000000
2.001733	__rnase_site_ext	2.000000	0.000000	0.000000
2.001733	p1	1.000000	0.000000	0.000000
2.001733	proteinX	0.000000	4.000000	1.000000
2.001733	rnapol	0.000000	0.000000	0.000000
3.001510	__proteinX_rbs	1.000000	0.000000	0.000000
3.001510	__proteinY_rbs	0.000000	0.000000	0.000000
3.001510	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001510	__ribosome	91.000000	0.000000	0.000000
3.001510	__rnase_site	0.000000	0.000000	0.000000
3.001510	__rnase_site_ext	3.000000	0.000000	0.000000
3.001510	p1	1.000000	0.000000	0.000000
3.001510	proteinX	0.000000	4.000000	2.000000
3.001510	proteinY	0.000000	1.000000	1.000000
3.001510	rnapol	0.000000	0.000000	0.000000
4.002968	__proteinX_rbs	4.000000	0.000000	0.000000
4.002968	__proteinY_rbs	1.000000	0.000000	0.000000
4.002968	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002968	__ribosome	91.000000	0.000000	0.000000
4.002968	__rnase_site	1.000000	0.000000	0.000000
4.002968	__rnase_site_ext	4.000000	0.000000	0.000000
4.002968	p1	1.000000	0.000000	0.000000
4.002968	proteinX	1.000000	4.000000	2.000000
4.002968	proteinY	0.000000	1.000000	1.000000
4.002968	rnapol	0.000000	0.000000	0.000000
4.999145	__proteinX_rbs	3.000000	0.000000	0.000000
4.999145	__proteinY_rbs	3.000000	0.000000	0.000000
4.999145	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999145	__ribosome	86.000000	0.000000	0.000000
4.999145	__rnase_site	3.000000	0.000000	0.000000
4.999145	__rnase_site_ext	3.000000	0.000000	0.000000
4.999145	p1	1.000000	0.000000	0.000000
4.999145	proteinX	2.000000	4.000000	3.000000
4.999145	proteinY	0.000000	3.000000	0.666667
4.999145	rnapol	0.000000	0.000000	0.000000
6.000634	__proteinX_rbs	2.000000	0.000000	0.000000
6.000634	__proteinY_rbs	2.000000	0.000000	0.000000
6.000634	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000634	__ribosome	82.000000	0.000000	0.000000
6.000634	__rnase_site	2.000000	0.000000	0.000000
6.000634	__rnase_site_ext	2.000000	0.000000	0.000000
6.000634	p1	1.000000	0.000000	0.000000
6.000634	proteinX	5.000000	4.000000	3.250000
6.000634	proteinY	0.000000	4.000000	1.250000
6.000634	rnapol	0.000000	0.000000	0.000000
7.000348	__proteinX_rbs	3.000000	0.000000	0.000000
7.000348	__proteinY_rbs	2.000000	0.000000	0.000000
7.000348	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000348	__ribosome	81.000000	0.000000	0.000000
7.000348	__rnase_site	3.000000	0.000000	0.000000
7.000348	__rnase_site_ext	3.000000	0.000000	0.000000
7.000348	p1	1.000000	0.000000	0.000000
7.000348	proteinX	10.000000	4.000000	2.500000
7.000348	proteinY	0.000000	4.000000	2.250000
7.000348	proteinZ	0.000000	1.000000	0.000000
7.000348	rnapol	0.000000	0.000000	0.000000
7.999650	__proteinX_rbs	3.000000	0.000000	0.000000
7.999650	__proteinY_rbs	2.000000	0.000000	0.000000
7.999650	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999650	__ribosome	77.000000	0.000000	0.000000
7.999650	__rnase_site	2.000000	0.000000	0.000000
7.999650	__rnase_site_ext	3.000000	0.000000	0.000000
7.999650	p1	1.000000	0.000000	0.000000
7.999650	proteinX	14.000000	4.000000	2.000000
7.999650	proteinY	1.000000	4.000000	3.500000
7.999650	proteinZ	0.000000	1.000000	1.000000
7.999650	rnapol	0.000000	0.000000	0.000000
9.001314	__proteinX_rbs	1.000000	0.000000	0.000000
9.001314	__proteinY_rbs	2.000000	0.000000	0.000000
9.001314	__proteinZ_rbs	1.000000	0.000000	0.000000
9.001314	__ribosome	71.000000	0.000000	0.000000
9.001314	__rnase_site	2.000000	0.000000	0.000000
9.001314	__rnase_site_ext	1.000000	0.000000	0.000000
9.001314	p1	1.000000	0.000000	0.000000
9.001314	proteinX	17.000000	4.000000	2.250000
9.001314	proteinY	2.000000	4.000000	4.000000
9.001314	proteinZ	0.000000	3.000000	1.333333
9.001314	rnapol	0.000000	0.000000	0.000000
