time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000902	__proteinX_rbs	0.000000	0.000000	0.000000
1.000902	__proteinY_rbs	0.000000	0.000000	0.000000
1.000902	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000902	__ribosome	98.000000	0.000000	0.000000
1.000902	__rnase_site	0.000000	0.000000	0.000000
1.000902	__rnase_site_ext	1.000000	0.000000	0.000000
1.000902	p1	0.000000	0.000000	0.000000
1.000902	proteinX	0.000000	2.000000	1.000000
1.000902	rnapol	0.000000	0.000000	0.000000
2.000950	__proteinX_rbs	2.000000	0.000000	0.000000
2.000950	__proteinY_rbs	0.000000	0.000000	0.000000
2.000950	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000950	__ribosome	96.000000	0.000000	0.000000
2.000950	__rnase_site	0.000000	0.000000	0.000000
2.000950	__rnase_site_ext	2.000000	0.000000	0.000000
2.000950	p1	1.000000	0.000000	0.000000
2.000950	proteinX	0.000000	4.000000	1.000000
2.000950	rnapol	0.000000	0.000000	0.000000
2.999325	__proteinX_rbs	1.000000	0.000000	0.000000
2.999325	__proteinY_rbs	0.000000	0.000000	0.000000
2.999325	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999325	__ribosome	91.000000	0.000000	0.000000
2.999325	__rnase_site	0.000000	0.000000	0.000000
2.999325	__rnase_site_ext	3.000000	0.000000	0.000000
2.999325	p1	1.000000	0.000000	0.000000
2.999325	proteinX	0.000000	4.000000	2.000000
2.999325	proteinY	0.000000	1.000000	1.000000
2.999325	rnapol	0.000000	0.000000	0.000000
3.999312	__proteinX_rbs	4.000000	0.000000	0.000000
3.999312	__proteinY_rbs	1.000000	0.000000	0.000000
3.999312	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999312	__ribosome	91.000000	0.000000	0.000000
3.999312	__rnase_site	0.000000	0.000000	0.000000
3.999312	__rnase_site_ext	4.000000	0.000000	0.000000
3.999312	p1	1.000000	0.000000	0.000000
3.999312	proteinX	1.000000	4.000000	2.000000
3.999312	proteinY	0.000000	1.000000	1.000000
3.999312	rnapol	0.000000	0.000000	0.000000
5.006150	__proteinX_rbs	3.000000	0.000000	0.000000
5.006150	__proteinY_rbs	3.000000	0.000000	0.000000
5.006150	__proteinZ_rbs	0.000000	0.000000	0.000000
5.006150	__ribosome	86.000000	0.000000	0.000000
5.006150	__rnase_site	0.000000	0.000000	0.000000
5.006150	__rnase_site_ext	3.000000	0.000000	0.000000
5.006150	p1	1.000000	0.000000	0.000000
5.006150	proteinX	2.000000	4.000000	3.000000
5.006150	proteinY	0.000000	3.000000	0.666667
5.006150	rnapol	0.000000	0.000000	0.000000
5.999356	__proteinX_rbs	2.000000	0.000000	0.000000
5.999356	__proteinY_rbs	2.000000	0.000000	0.000000
5.999356	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999356	__ribosome	82.000000	0.000000	0.000000
5.999356	__rnase_site	0.000000	0.000000	0.000000
5.999356	__rnase_site_ext	2.000000	0.000000	0.000000
5.999356	p1	1.000000	0.000000	0.000000
5.999356	proteinX	5.000000	4.000000	3.250000
5.999356	proteinY	0.000000	4.000000	1.250000
5.999356	rnapol	0.000000	0.000000	0.000000
6.999798	__proteinX_rbs	3.000000	0.000000	0.000000
6.999798	__proteinY_rbs	2.000000	0.000000	0.000000
6.999798	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999798	__ribosome	81.000000	0.000000	0.000000
6.999798	__rnase_site	0.000000	0.000000	0.000000
6.999798	__rnase_site_ext	3.000000	0.000000	0.000000
6.999798	p1	1.000000	0.000000	0.000000
6.999798	proteinX	10.000000	4.000000	2.500000
6.999798	proteinY	0.000000	4.000000	2.250000
6.999798	proteinZ	0.000000	1.000000	0.000000
6.999798	rnapol	0.000000	0.000000	0.000000
7.999247	__proteinX_rbs	3.000000	0.000000	0.000000
7.999247	__proteinY_rbs	2.000000	0.000000	0.000000
7.999247	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999247	__ribosome	77.000000	0.000000	0.000000
7.999247	__rnase_site	0.000000	0.000000	0.000000
7.999247	__rnase_site_ext	3.000000	0.000000	0.000000
7.999247	p1	1.000000	0.000000	0.000000
7.999247	proteinX	14.000000	4.000000	2.000000
7.999247	proteinY	1.000000	4.000000	3.500000
7.999247	proteinZ	0.000000	1.000000	1.000000
7.999247	rnapol	0.000000	0.000000	0.000000
8.999573	__proteinX_rbs	1.000000	0.000000	0.000000
8.999573	__proteinY_rbs	2.000000	0.000000	0.000000
8.999573	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999573	__ribosome	71.000000	0.000000	0.000000
8.999573	__rnase_site	0.000000	0.000000	0.000000
8.999573	__rnase_site_ext	1.000000	0.000000	0.000000
8.999573	p1	1.000000	0.000000	0.000000
8.999573	proteinX	17.000000	4.000000	2.250000
8.999573	proteinY	2.000000	4.000000	4.000000
8.999573	proteinZ	0.000000	3.000000	1.333333
8.999573	rnapol	0.000000	0.000000	0.000000
