time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999370	__proteinX_rbs	0.000000	0.000000	0.000000
0.999370	__proteinY_rbs	0.000000	0.000000	0.000000
0.999370	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999370	__ribosome	98.000000	0.000000	0.000000
0.999370	__rnase_site	0.000000	0.000000	0.000000
0.999370	__rnase_site_ext	1.000000	0.000000	0.000000
0.999370	p1	0.000000	0.000000	0.000000
0.999370	proteinX	0.000000	2.000000	1.000000
0.999370	rnapol	0.000000	0.000000	0.000000
1.999751	__proteinX_rbs	2.000000	0.000000	0.000000
1.999751	__proteinY_rbs	0.000000	0.000000	0.000000
1.999751	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999751	__ribosome	96.000000	0.000000	0.000000
1.999751	__rnase_site	2.000000	0.000000	0.000000
1.999751	__rnase_site_ext	2.000000	0.000000	0.000000
1.999751	p1	1.000000	0.000000	0.000000
1.999751	proteinX	0.000000	4.000000	1.000000
1.999751	rnapol	0.000000	0.000000	0.000000
2.999751	__proteinX_rbs	1.000000	0.000000	0.000000
2.999751	__proteinY_rbs	1.000000	0.000000	0.000000
2.999751	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999751	__ribosome	92.000000	0.000000	0.000000
2.999751	__rnase_site	4.000000	0.000000	0.000000
2.999751	__rnase_site_ext	3.000000	0.000000	0.000000
2.999751	p1	1.000000	0.000000	0.000000
2.999751	proteinX	0.000000	4.000000	2.000000
2.999751	proteinY	0.000000	1.000000	0.000000
2.999751	rnapol	0.000000	0.000000	0.000000
3.999090	__proteinX_rbs	4.000000	0.000000	0.000000
3.999090	__proteinY_rbs	1.000000	0.000000	0.000000
3.999090	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999090	__ribosome	91.000000	0.000000	0.000000
3.999090	__rnase_site	5.000000	0.000000	0.000000
3.999090	__rnase_site_ext	4.000000	0.000000	0.000000
3.999090	p1	1.000000	0.000000	0.000000
3.999090	proteinX	1.000000	4.000000	2.000000
3.999090	proteinY	0.000000	1.000000	1.000000
3.999090	rnapol	0.000000	0.000000	0.000000
5.000316	__proteinX_rbs	3.000000	0.000000	0.000000
5.000316	__proteinY_rbs	3.000000	0.000000	0.000000
5.000316	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000316	__ribosome	86.000000	0.000000	0.000000
5.000316	__rnase_site	6.000000	0.000000	0.000000
5.000316	__rnase_site_ext	3.000000	0.000000	0.000000
5.000316	p1	1.000000	0.000000	0.000000
5.000316	proteinX	2.000000	4.000000	3.000000
5.000316	proteinY	0.000000	3.000000	0.666667
5.000316	rnapol	0.000000	0.000000	0.000000
6.000408	__proteinX_rbs	2.000000	0.000000	0.000000
6.000408	__proteinY_rbs	2.000000	0.000000	0.000000
6.000408	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000408	__ribosome	82.000000	0.000000	0.000000
6.000408	__rnase_site	4.000000	0.000000	0.000000
6.000408	__rnase_site_ext	2.000000	0.000000	0.000000
6.000408	p1	1.000000	0.000000	0.000000
6.000408	proteinX	5.000000	4.000000	3.250000
6.000408	proteinY	0.000000	4.000000	1.250000
6.000408	rnapol	0.000000	0.000000	0.000000
6.999857	__proteinX_rbs	3.000000	0.000000	0.000000
6.999857	__proteinY_rbs	2.000000	0.000000	0.000000
6.999857	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999857	__ribosome	81.000000	0.000000	0.000000
6.999857	__rnase_site	5.000000	0.000000	0.000000
6.999857	__rnase_site_ext	3.000000	0.000000	0.000000
6.999857	p1	1.000000	0.000000	0.000000
6.999857	proteinX	10.000000	4.000000	2.500000
6.999857	proteinY	0.000000	4.000000	2.250000
6.999857	proteinZ	0.000000	1.000000	0.000000
6.999857	rnapol	0.000000	0.000000	0.000000
8.000462	__proteinX_rbs	3.000000	0.000000	0.000000
8.000462	__proteinY_rbs	2.000000	0.000000	0.000000
8.000462	__proteinZ_rbs	1.000000	0.000000	0.000000
8.000462	__ribosome	77.000000	0.000000	0.000000
8.000462	__rnase_site	5.000000	0.000000	0.000000
8.000462	__rnase_site_ext	3.000000	0.000000	0.000000
8.000462	p1	1.000000	0.000000	0.000000
8.000462	proteinX	14.000000	4.000000	2.000000
8.000462	proteinY	1.000000	4.000000	3.500000
8.000462	proteinZ	0.000000	1.000000	1.000000
8.000462	rnapol	0.000000	0.000000	0.000000
8.999403	__proteinX_rbs	1.000000	0.000000	0.000000
8.999403	__proteinY_rbs	2.000000	0.000000	0.000000
8.999403	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999403	__ribosome	71.000000	0.000000	0.000000
8.999403	__rnase_site	3.000000	0.000000	0.000000
8.999403	__rnase_site_ext	1.000000	0.000000	0.000000
8.999403	p1	1.000000	0.000000	0.000000
8.999403	proteinX	17.000000	4.000000	2.250000
8.999403	proteinY	2.000000	4.000000	4.000000
8.999403	proteinZ	0.000000	3.000000	1.333333
8.999403	rnapol	0.000000	0.000000	0.000000
