time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999660	__proteinX_rbs	1.000000	0.000000	0.000000
0.999660	__proteinY_rbs	0.000000	0.000000	0.000000
0.999660	__proteinZ_rbs	1.000000	0.000000	0.000000
0.999660	__ribosome	99.000000	0.000000	0.000000
0.999660	__rnase_site	0.000000	0.000000	0.000000
0.999660	__rnase_site_ext	4.000000	0.000000	0.000000
0.999660	p1	1.000000	0.000000	0.000000
0.999660	p3	1.000000	0.000000	0.000000
0.999660	proteinX	0.000000	2.000000	0.500000
0.999660	proteinZ	0.000000	1.000000	0.000000
0.999660	rnapol	0.000000	0.000000	0.000000
2.001424	__proteinX_rbs	0.000000	0.000000	0.000000
2.001424	__proteinY_rbs	0.000000	0.000000	0.000000
2.001424	__proteinZ_rbs	2.000000	0.000000	0.000000
2.001424	__ribosome	96.000000	0.000000	0.000000
2.001424	__rnase_site	0.000000	0.000000	0.000000
2.001424	__rnase_site_ext	3.000000	0.000000	0.000000
2.001424	p1	1.000000	0.000000	0.000000
2.001424	p3	1.000000	0.000000	0.000000
2.001424	proteinX	0.000000	2.000000	1.500000
2.001424	proteinZ	0.000000	2.000000	0.500000
2.001424	rnapol	0.000000	0.000000	0.000000
2.999671	__proteinX_rbs	0.000000	0.000000	0.000000
2.999671	__proteinY_rbs	0.000000	0.000000	0.000000
2.999671	__proteinZ_rbs	1.000000	0.000000	0.000000
2.999671	__ribosome	91.000000	0.000000	0.000000
2.999671	__rnase_site	0.000000	0.000000	0.000000
2.999671	__rnase_site_ext	2.000000	0.000000	0.000000
2.999671	p1	1.000000	0.000000	0.000000
2.999671	p3	1.000000	0.000000	0.000000
2.999671	proteinX	0.000000	2.000000	3.000000
2.999671	proteinZ	0.000000	2.000000	1.500000
2.999671	rnapol	0.000000	0.000000	0.000000
4.001961	__proteinX_rbs	1.000000	0.000000	0.000000
4.001961	__proteinY_rbs	0.000000	0.000000	0.000000
4.001961	__proteinZ_rbs	2.000000	0.000000	0.000000
4.001961	__ribosome	87.000000	0.000000	0.000000
4.001961	__rnase_site	0.000000	0.000000	0.000000
4.001961	__rnase_site_ext	5.000000	0.000000	0.000000
4.001961	p1	1.000000	0.000000	0.000000
4.001961	p3	1.000000	0.000000	0.000000
4.001961	proteinX	0.000000	2.000000	4.000000
4.001961	proteinZ	0.000000	2.000000	2.500000
4.001961	rnapol	0.000000	0.000000	0.000000
4.999568	__proteinX_rbs	2.000000	0.000000	0.000000
4.999568	__proteinY_rbs	2.000000	0.000000	0.000000
4.999568	__proteinZ_rbs	2.000000	0.000000	0.000000
4.999568	__ribosome	84.000000	0.000000	0.000000
4.999568	__rnase_site	0.000000	0.000000	0.000000
4.999568	__rnase_site_ext	5.000000	0.000000	0.000000
4.999568	p1	1.000000	0.000000	0.000000
4.999568	p3	0.000000	0.000000	0.000000
4.999568	proteinX	1.000000	2.000000	4.500000
4.999568	proteinY	0.000000	2.000000	0.000000
4.999568	proteinZ	0.000000	3.000000	2.333333
4.999568	rnapol	0.000000	0.000000	0.000000
6.001712	__proteinX_rbs	0.000000	0.000000	0.000000
6.001712	__proteinY_rbs	1.000000	0.000000	0.000000
6.001712	__proteinZ_rbs	1.000000	0.000000	0.000000
6.001712	__ribosome	79.000000	0.000000	0.000000
6.001712	__rnase_site	0.000000	0.000000	0.000000
6.001712	__rnase_site_ext	3.000000	0.000000	0.000000
6.001712	p1	1.000000	0.000000	0.000000
6.001712	p3	1.000000	0.000000	0.000000
6.001712	proteinX	4.000000	2.000000	4.500000
6.001712	proteinY	0.000000	2.000000	1.500000
6.001712	proteinZ	1.000000	3.000000	3.000000
6.001712	rnapol	0.000000	0.000000	0.000000
6.999015	__proteinX_rbs	1.000000	0.000000	0.000000
6.999015	__proteinY_rbs	2.000000	0.000000	0.000000
6.999015	__proteinZ_rbs	2.000000	0.000000	0.000000
6.999015	__ribosome	80.000000	0.000000	0.000000
6.999015	__rnase_site	0.000000	0.000000	0.000000
6.999015	__rnase_site_ext	5.000000	0.000000	0.000000
6.999015	p1	1.000000	0.000000	0.000000
6.999015	p3	1.000000	0.000000	0.000000
6.999015	proteinX	6.000000	2.000000	4.000000
6.999015	proteinY	0.000000	2.000000	1.500000
6.999015	proteinZ	3.000000	3.000000	3.000000
6.999015	rnapol	0.000000	0.000000	0.000000
8.000219	__proteinX_rbs	1.000000	0.000000	0.000000
8.000219	__proteinY_rbs	1.000000	0.000000	0.000000
8.000219	__proteinZ_rbs	2.000000	0.000000	0.000000
8.000219	__ribosome	81.000000	0.000000	0.000000
8.000219	__rnase_site	0.000000	0.000000	0.000000
8.000219	__rnase_site_ext	5.000000	0.000000	0.000000
8.000219	p1	1.000000	0.000000	0.000000
8.000219	p3	0.000000	0.000000	0.000000
8.000219	proteinX	10.000000	2.000000	3.000000
8.000219	proteinY	0.000000	2.000000	2.500000
8.000219	proteinZ	5.000000	3.000000	2.666667
