time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999453	__proteinX_rbs	1.000000	0.000000	0.000000
0.999453	__proteinY_rbs	1.000000	0.000000	0.000000
0.999453	__proteinZ_rbs	1.000000	0.000000	0.000000
0.999453	__ribosome	99.000000	0.000000	0.000000
0.999453	__rnase_site	2.000000	0.000000	0.000000
0.999453	__rnase_site_ext	4.000000	0.000000	0.000000
0.999453	p1	1.000000	0.000000	0.000000
0.999453	p2	1.000000	0.000000	0.000000
0.999453	p3	1.000000	0.000000	0.000000
0.999453	proteinX	0.000000	1.000000	0.000000
0.999453	proteinY	0.000000	2.000000	0.500000
0.999453	proteinZ	0.000000	1.000000	0.000000
0.999453	rnapol	0.000000	0.000000	0.000000
2.000190	__proteinX_rbs	0.000000	0.000000	0.000000
2.000190	__proteinY_rbs	2.000000	0.000000	0.000000
2.000190	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000190	__ribosome	95.000000	0.000000	0.000000
2.000190	__rnase_site	3.000000	0.000000	0.000000
2.000190	__rnase_site_ext	3.000000	0.000000	0.000000
2.000190	p1	1.000000	0.000000	0.000000
2.000190	p2	1.000000	0.000000	0.000000
2.000190	p3	1.000000	0.000000	0.000000
2.000190	proteinX	0.000000	1.000000	1.000000
2.000190	proteinY	0.000000	2.000000	1.500000
2.000190	proteinZ	0.000000	1.000000	1.000000
2.000190	rnapol	0.000000	0.000000	0.000000
3.000733	__proteinX_rbs	0.000000	0.000000	0.000000
3.000733	__proteinY_rbs	1.000000	0.000000	0.000000
3.000733	__proteinZ_rbs	1.000000	0.000000	0.000000
3.000733	__ribosome	91.000000	0.000000	0.000000
3.000733	__rnase_site	1.000000	0.000000	0.000000
3.000733	__rnase_site_ext	2.000000	0.000000	0.000000
3.000733	p1	1.000000	0.000000	0.000000
3.000733	p2	1.000000	0.000000	0.000000
3.000733	p3	1.000000	0.000000	0.000000
3.000733	proteinX	0.000000	1.000000	3.000000
3.000733	proteinY	0.000000	2.000000	2.500000
3.000733	proteinZ	0.000000	1.000000	1.000000
3.000733	rnapol	0.000000	0.000000	0.000000
4.000756	__proteinX_rbs	0.000000	0.000000	0.000000
4.000756	__proteinY_rbs	4.000000	0.000000	0.000000
4.000756	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000756	__ribosome	88.000000	0.000000	0.000000
4.000756	__rnase_site	5.000000	0.000000	0.000000
4.000756	__rnase_site_ext	4.000000	0.000000	0.000000
4.000756	p1	1.000000	0.000000	0.000000
4.000756	p2	1.000000	0.000000	0.000000
4.000756	p3	1.000000	0.000000	0.000000
4.000756	proteinX	0.000000	1.000000	4.000000
4.000756	proteinY	0.000000	4.000000	1.500000
4.000756	proteinZ	0.000000	1.000000	2.000000
4.000756	rnapol	0.000000	0.000000	0.000000
4.999165	__proteinX_rbs	1.000000	0.000000	0.000000
4.999165	__proteinY_rbs	3.000000	0.000000	0.000000
4.999165	__proteinZ_rbs	1.000000	0.000000	0.000000
4.999165	__ribosome	85.000000	0.000000	0.000000
4.999165	__rnase_site	6.000000	0.000000	0.000000
4.999165	__rnase_site_ext	4.000000	0.000000	0.000000
4.999165	p1	1.000000	0.000000	0.000000
4.999165	p2	1.000000	0.000000	0.000000
4.999165	p3	1.000000	0.000000	0.000000
4.999165	proteinX	1.000000	1.000000	4.000000
4.999165	proteinY	1.000000	4.000000	2.000000
4.999165	proteinZ	0.000000	2.000000	1.500000
4.999165	rnapol	0.000000	0.000000	0.000000
6.001035	__proteinX_rbs	1.000000	0.000000	0.000000
6.001035	__proteinY_rbs	1.000000	0.000000	0.000000
6.001035	__proteinZ_rbs	1.000000	0.000000	0.000000
6.001035	__ribosome	81.000000	0.000000	0.000000
6.001035	__rnase_site	4.000000	0.000000	0.000000
6.001035	__rnase_site_ext	4.000000	0.000000	0.000000
6.001035	p1	1.000000	0.000000	0.000000
6.001035	p2	1.000000	0.000000	0.000000
6.001035	p3	1.000000	0.000000	0.000000
6.001035	proteinX	2.000000	1.000000	3.000000
6.001035	proteinY	3.000000	4.000000	2.750000
6.001035	proteinZ	0.000000	3.000000	1.666667
6.001035	rnapol	0.000000	0.000000	0.000000
7.000241	__proteinX_rbs	1.000000	0.000000	0.000000
7.000241	__proteinY_rbs	2.000000	0.000000	0.000000
7.000241	__proteinZ_rbs	1.000000	0.000000	0.000000
7.000241	__ribosome	78.000000	0.000000	0.000000
7.000241	__rnase_site	5.000000	0.000000	0.000000
7.000241	__rnase_site_ext	4.000000	0.000000	0.000000
7.000241	p1	1.000000	0.000000	0.000000
7.000241	p2	1.000000	0.000000	0.000000
7.000241	p3	1.000000	0.000000	0.000000
7.000241	proteinX	3.000000	1.000000	3.000000
7.000241	proteinY	4.000000	4.000000	3.250000
7.000241	proteinZ	1.000000	3.000000	2.000000
7.000241	rnapol	0.000000	0.000000	0.000000
7.999739	__proteinX_rbs	1.000000	0.000000	0.000000
