time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999303	__proteinX_rbs	0.000000	0.000000	0.000000
0.999303	__proteinY_rbs	0.000000	0.000000	0.000000
0.999303	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999303	__ribosome	98.000000	0.000000	0.000000
0.999303	__rnase_site	0.000000	0.000000	0.000000
0.999303	__rnase_site_ext	1.000000	0.000000	0.000000
0.999303	p1	0.000000	0.000000	0.000000
0.999303	proteinX	0.000000	2.000000	1.000000
0.999303	rnapol	0.000000	0.000000	0.000000
2.000637	__proteinX_rbs	2.000000	0.000000	0.000000
2.000637	__proteinY_rbs	0.000000	0.000000	0.000000
2.000637	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000637	__ribosome	96.000000	0.000000	0.000000
2.000637	__rnase_site	0.000000	0.000000	0.000000
2.000637	__rnase_site_ext	2.000000	0.000000	0.000000
2.000637	p1	1.000000	0.000000	0.000000
2.000637	proteinX	0.000000	4.000000	1.000000
2.000637	rnapol	0.000000	0.000000	0.000000
3.003124	__proteinX_rbs	1.000000	0.000000	0.000000
3.003124	__proteinY_rbs	1.000000	0.000000	0.000000
3.003124	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003124	__ribosome	92.000000	0.000000	0.000000
3.003124	__rnase_site	0.000000	0.000000	0.000000
3.003124	__rnase_site_ext	3.000000	0.000000	0.000000
3.003124	p1	1.000000	0.000000	0.000000
3.003124	proteinX	0.000000	4.000000	2.000000
3.003124	proteinY	0.000000	1.000000	0.000000
3.003124	rnapol	0.000000	0.000000	0.000000
4.000286	__proteinX_rbs	4.000000	0.000000	0.000000
4.000286	__proteinY_rbs	1.000000	0.000000	0.000000
4.000286	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000286	__ribosome	91.000000	0.000000	0.000000
4.000286	__rnase_site	0.000000	0.000000	0.000000
4.000286	__rnase_site_ext	4.000000	0.000000	0.000000
4.000286	p1	1.000000	0.000000	0.000000
4.000286	proteinX	1.000000	4.000000	2.000000
4.000286	proteinY	0.000000	1.000000	1.000000
4.000286	rnapol	0.000000	0.000000	0.000000
5.004368	__proteinX_rbs	3.000000	0.000000	0.000000
5.004368	__proteinY_rbs	3.000000	0.000000	0.000000
5.004368	__proteinZ_rbs	0.000000	0.000000	0.000000
5.004368	__ribosome	86.000000	0.000000	0.000000
5.004368	__rnase_site	0.000000	0.000000	0.000000
5.004368	__rnase_site_ext	3.000000	0.000000	0.000000
5.004368	p1	1.000000	0.000000	0.000000
5.004368	proteinX	2.000000	4.000000	3.000000
5.004368	proteinY	0.000000	3.000000	0.666667
5.004368	rnapol	0.000000	0.000000	0.000000
5.999429	__proteinX_rbs	3.000000	0.000000	0.000000
5.999429	__proteinY_rbs	1.000000	0.000000	0.000000
5.999429	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999429	__ribosome	82.000000	0.000000	0.000000
5.999429	__rnase_site	0.000000	0.000000	0.000000
5.999429	__rnase_site_ext	3.000000	0.000000	0.000000
5.999429	p1	1.000000	0.000000	0.000000
5.999429	proteinX	5.000000	4.000000	3.000000
5.999429	proteinY	0.000000	4.000000	1.500000
5.999429	rnapol	0.000000	0.000000	0.000000
6.999967	__proteinX_rbs	1.000000	0.000000	0.000000
6.999967	__proteinY_rbs	3.000000	0.000000	0.000000
6.999967	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999967	__ribosome	78.000000	0.000000	0.000000
6.999967	__rnase_site	1.000000	0.000000	0.000000
6.999967	__rnase_site_ext	2.000000	0.000000	0.000000
6.999967	p1	1.000000	0.000000	0.000000
6.999967	proteinX	9.000000	4.000000	3.250000
6.999967	proteinY	0.000000	4.000000	2.250000
6.999967	proteinZ	0.000000	1.000000	0.000000
6.999967	rnapol	0.000000	0.000000	0.000000
8.002366	__proteinX_rbs	2.000000	0.000000	0.000000
8.002366	__proteinY_rbs	2.000000	0.000000	0.000000
8.002366	__proteinZ_rbs	0.000000	0.000000	0.000000
8.002366	__ribosome	76.000000	0.000000	0.000000
8.002366	__rnase_site	0.000000	0.000000	0.000000
8.002366	__rnase_site_ext	3.000000	0.000000	0.000000
8.002366	p1	1.000000	0.000000	0.000000
8.002366	proteinX	13.000000	4.000000	3.000000
8.002366	proteinY	1.000000	4.000000	2.750000
8.002366	proteinZ	0.000000	1.000000	1.000000
8.002366	rnapol	0.000000	0.000000	0.000000
8.999012	__proteinX_rbs	3.000000	0.000000	0.000000
8.999012	__proteinY_rbs	2.000000	0.000000	0.000000
8.999012	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999012	__ribosome	74.000000	0.000000	0.000000
8.999012	__rnase_site	1.000000	0.000000	0.000000
8.999012	__rnase_site_ext	3.000000	0.000000	0.000000
8.999012	p1	1.000000	0.000000	0.000000
8.999012	proteinX	17.000000	4.000000	2.500000
8.999012	proteinY	2.000000	4.000000	3.250000
8.999012	proteinZ	0.000000	3.000000	1.000000
8.999012	rnapol	0.000000	0.000000	0.000000
