time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.003679	__proteinX_rbs	1.000000	0.000000	0.000000
1.003679	__proteinY_rbs	0.000000	0.000000	0.000000
1.003679	__proteinZ_rbs	2.000000	0.000000	0.000000
1.003679	__ribosome	98.000000	0.000000	0.000000
1.003679	__rnase_site	0.000000	0.000000	0.000000
1.003679	__rnase_site_ext	3.000000	0.000000	0.000000
1.003679	p1	1.000000	0.000000	0.000000
1.003679	p3	1.000000	0.000000	0.000000
1.003679	proteinX	0.000000	2.000000	1.000000
1.003679	proteinZ	0.000000	2.000000	0.000000
1.003679	rnapol	0.000000	0.000000	0.000000
2.002632	__proteinX_rbs	1.000000	0.000000	0.000000
2.002632	__proteinY_rbs	0.000000	0.000000	0.000000
2.002632	__proteinZ_rbs	1.000000	0.000000	0.000000
2.002632	__ribosome	95.000000	0.000000	0.000000
2.002632	__rnase_site	0.000000	0.000000	0.000000
2.002632	__rnase_site_ext	3.000000	0.000000	0.000000
2.002632	p1	1.000000	0.000000	0.000000
2.002632	p3	1.000000	0.000000	0.000000
2.002632	proteinX	0.000000	2.000000	2.000000
2.002632	proteinZ	0.000000	2.000000	0.500000
2.002632	rnapol	0.000000	0.000000	0.000000
2.999622	__proteinX_rbs	0.000000	0.000000	0.000000
2.999622	__proteinY_rbs	0.000000	0.000000	0.000000
2.999622	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999622	__ribosome	89.000000	0.000000	0.000000
2.999622	__rnase_site	0.000000	0.000000	0.000000
2.999622	__rnase_site_ext	3.000000	0.000000	0.000000
2.999622	p1	1.000000	0.000000	0.000000
2.999622	p3	1.000000	0.000000	0.000000
2.999622	proteinX	0.000000	2.000000	4.000000
2.999622	proteinZ	0.000000	2.000000	1.500000
2.999622	rnapol	0.000000	0.000000	0.000000
4.001119	__proteinX_rbs	1.000000	0.000000	0.000000
4.001119	__proteinY_rbs	1.000000	0.000000	0.000000
4.001119	__proteinZ_rbs	2.000000	0.000000	0.000000
4.001119	__ribosome	87.000000	0.000000	0.000000
4.001119	__rnase_site	0.000000	0.000000	0.000000
4.001119	__rnase_site_ext	5.000000	0.000000	0.000000
4.001119	p1	1.000000	0.000000	0.000000
4.001119	p3	0.000000	0.000000	0.000000
4.001119	proteinX	1.000000	3.000000	3.000000
4.001119	proteinY	0.000000	1.000000	0.000000
4.001119	proteinZ	0.000000	2.000000	2.000000
4.001119	rnapol	0.000000	0.000000	0.000000
5.000998	__proteinX_rbs	1.000000	0.000000	0.000000
5.000998	__proteinY_rbs	1.000000	0.000000	0.000000
5.000998	__proteinZ_rbs	1.000000	0.000000	0.000000
5.000998	__ribosome	82.000000	0.000000	0.000000
5.000998	__rnase_site	0.000000	0.000000	0.000000
5.000998	__rnase_site_ext	3.000000	0.000000	0.000000
5.000998	p1	1.000000	0.000000	0.000000
5.000998	p3	1.000000	0.000000	0.000000
5.000998	proteinX	4.000000	3.000000	3.000000
5.000998	proteinY	0.000000	2.000000	1.000000
5.000998	proteinZ	0.000000	3.000000	2.333333
5.000998	rnapol	0.000000	0.000000	0.000000
6.003509	__proteinX_rbs	2.000000	0.000000	0.000000
6.003509	__proteinY_rbs	1.000000	0.000000	0.000000
6.003509	__proteinZ_rbs	0.000000	0.000000	0.000000
6.003509	__ribosome	75.000000	0.000000	0.000000
6.003509	__rnase_site	0.000000	0.000000	0.000000
6.003509	__rnase_site_ext	3.000000	0.000000	0.000000
6.003509	p1	1.000000	0.000000	0.000000
6.003509	p3	1.000000	0.000000	0.000000
6.003509	proteinX	6.000000	3.000000	3.333333
6.003509	proteinY	0.000000	2.000000	2.000000
6.003509	proteinZ	0.000000	3.000000	3.666667
6.003509	rnapol	0.000000	0.000000	0.000000
6.999840	__proteinX_rbs	3.000000	0.000000	0.000000
6.999840	__proteinY_rbs	1.000000	0.000000	0.000000
6.999840	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999840	__ribosome	72.000000	0.000000	0.000000
6.999840	__rnase_site	0.000000	0.000000	0.000000
6.999840	__rnase_site_ext	5.000000	0.000000	0.000000
6.999840	p1	1.000000	0.000000	0.000000
6.999840	p3	1.000000	0.000000	0.000000
6.999840	proteinX	9.000000	3.000000	3.000000
6.999840	proteinY	0.000000	3.000000	2.333333
6.999840	proteinZ	1.000000	3.000000	4.000000
6.999840	rnapol	0.000000	0.000000	0.000000
7.999892	__proteinX_rbs	1.000000	0.000000	0.000000
7.999892	__proteinY_rbs	1.000000	0.000000	0.000000
7.999892	__proteinZ_rbs	4.000000	0.000000	0.000000
7.999892	__ribosome	71.000000	0.000000	0.000000
7.999892	__rnase_site	0.000000	0.000000	0.000000
7.999892	__rnase_site_ext	5.000000	0.000000	0.000000
7.999892	p1	1.000000	0.000000	0.000000
7.999892	p3	1.000000	0.000000	0.000000
7.999892	proteinX	11.000000	3.000000	3.333333
7.999892	proteinY	1.000000	3.000000	3.000000
