time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.007642	__proteinX_rbs	1.000000	0.000000	0.000000
1.007642	__proteinY_rbs	1.000000	0.000000	0.000000
1.007642	__proteinZ_rbs	2.000000	0.000000	0.000000
1.007642	__ribosome	100.000000	0.000000	0.000000
1.007642	__rnase_site	0.000000	0.000000	0.000000
1.007642	__rnase_site_ext	5.000000	0.000000	0.000000
1.007642	p1	1.000000	0.000000	0.000000
1.007642	p2	1.000000	0.000000	0.000000
1.007642	p3	1.000000	0.000000	0.000000
1.007642	proteinX	0.000000	1.000000	0.000000
1.007642	proteinY	0.000000	1.000000	0.000000
1.007642	proteinZ	0.000000	2.000000	0.000000
1.007642	rnapol	0.000000	0.000000	0.000000
2.002082	__proteinX_rbs	0.000000	0.000000	0.000000
2.002082	__proteinY_rbs	0.000000	0.000000	0.000000
2.002082	__proteinZ_rbs	2.000000	0.000000	0.000000
2.002082	__ribosome	96.000000	0.000000	0.000000
2.002082	__rnase_site	0.000000	0.000000	0.000000
2.002082	__rnase_site_ext	3.000000	0.000000	0.000000
2.002082	p1	1.000000	0.000000	0.000000
2.002082	p2	1.000000	0.000000	0.000000
2.002082	p3	1.000000	0.000000	0.000000
2.002082	proteinX	0.000000	1.000000	1.000000
2.002082	proteinY	0.000000	1.000000	2.000000
2.002082	proteinZ	0.000000	2.000000	0.500000
2.002082	rnapol	0.000000	0.000000	0.000000
3.001097	__proteinX_rbs	0.000000	0.000000	0.000000
3.001097	__proteinY_rbs	1.000000	0.000000	0.000000
3.001097	__proteinZ_rbs	1.000000	0.000000	0.000000
3.001097	__ribosome	93.000000	0.000000	0.000000
3.001097	__rnase_site	0.000000	0.000000	0.000000
3.001097	__rnase_site_ext	5.000000	0.000000	0.000000
3.001097	p1	1.000000	0.000000	0.000000
3.001097	p2	1.000000	0.000000	0.000000
3.001097	p3	1.000000	0.000000	0.000000
3.001097	proteinX	0.000000	1.000000	2.000000
3.001097	proteinY	0.000000	1.000000	2.000000
3.001097	proteinZ	0.000000	2.000000	1.500000
3.001097	rnapol	0.000000	0.000000	0.000000
4.000825	__proteinX_rbs	0.000000	0.000000	0.000000
4.000825	__proteinY_rbs	0.000000	0.000000	0.000000
4.000825	__proteinZ_rbs	1.000000	0.000000	0.000000
4.000825	__ribosome	85.000000	0.000000	0.000000
4.000825	__rnase_site	0.000000	0.000000	0.000000
4.000825	__rnase_site_ext	4.000000	0.000000	0.000000
4.000825	p1	0.000000	0.000000	0.000000
4.000825	p2	1.000000	0.000000	0.000000
4.000825	p3	1.000000	0.000000	0.000000
4.000825	proteinX	0.000000	1.000000	4.000000
4.000825	proteinY	0.000000	2.000000	2.500000
4.000825	proteinZ	0.000000	2.000000	3.000000
4.000825	rnapol	0.000000	0.000000	0.000000
5.000103	__proteinX_rbs	1.000000	0.000000	0.000000
5.000103	__proteinY_rbs	0.000000	0.000000	0.000000
5.000103	__proteinZ_rbs	1.000000	0.000000	0.000000
5.000103	__ribosome	79.000000	0.000000	0.000000
5.000103	__rnase_site	0.000000	0.000000	0.000000
5.000103	__rnase_site_ext	6.000000	0.000000	0.000000
5.000103	p1	1.000000	0.000000	0.000000
5.000103	p2	0.000000	0.000000	0.000000
5.000103	p3	1.000000	0.000000	0.000000
5.000103	proteinX	0.000000	2.000000	2.500000
5.000103	proteinY	0.000000	2.000000	3.500000
5.000103	proteinZ	0.000000	3.000000	3.000000
5.000103	rnapol	0.000000	0.000000	0.000000
5.999506	__proteinX_rbs	1.000000	0.000000	0.000000
5.999506	__proteinY_rbs	1.000000	0.000000	0.000000
5.999506	__proteinZ_rbs	3.000000	0.000000	0.000000
5.999506	__ribosome	77.000000	0.000000	0.000000
5.999506	__rnase_site	0.000000	0.000000	0.000000
5.999506	__rnase_site_ext	7.000000	0.000000	0.000000
5.999506	p1	1.000000	0.000000	0.000000
5.999506	p2	1.000000	0.000000	0.000000
5.999506	p3	1.000000	0.000000	0.000000
5.999506	proteinX	1.000000	2.000000	3.000000
5.999506	proteinY	1.000000	2.000000	4.000000
5.999506	proteinZ	1.000000	3.000000	3.000000
5.999506	rnapol	0.000000	0.000000	0.000000
6.999423	__proteinX_rbs	1.000000	0.000000	0.000000
6.999423	__proteinY_rbs	2.000000	0.000000	0.000000
6.999423	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999423	__ribosome	77.000000	0.000000	0.000000
6.999423	__rnase_site	0.000000	0.000000	0.000000
6.999423	__rnase_site_ext	7.000000	0.000000	0.000000
6.999423	p1	1.000000	0.000000	0.000000
6.999423	p2	1.000000	0.000000	0.000000
6.999423	p3	0.000000	0.000000	0.000000
6.999423	proteinX	4.000000	2.000000	2.500000
6.999423	proteinY	1.000000	2.000000	4.500000
6.999423	proteinZ	3.000000	2.000000	4.500000
6.999423	rnapol	0.000000	0.000000	0.000000
7.999784	__proteinX_rbs	1.000000	0.000000	0.000000
