time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.008937	__proteinX_rbs	2.000000	0.000000	0.000000
1.008937	__proteinY_rbs	0.000000	0.000000	0.000000
1.008937	__proteinZ_rbs	0.000000	0.000000	0.000000
1.008937	__ribosome	98.000000	0.000000	0.000000
1.008937	__rnase_site	0.000000	0.000000	0.000000
1.008937	__rnase_site_ext	2.000000	0.000000	0.000000
1.008937	p1	1.000000	0.000000	0.000000
1.008937	p2	1.000000	0.000000	0.000000
1.008937	proteinX	0.000000	2.000000	0.000000
1.008937	proteinY	0.000000	2.000000	1.000000
1.008937	rnapol	0.000000	0.000000	0.000000
2.001774	__proteinX_rbs	1.000000	0.000000	0.000000
2.001774	__proteinY_rbs	1.000000	0.000000	0.000000
2.001774	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001774	__ribosome	94.000000	0.000000	0.000000
2.001774	__rnase_site	0.000000	0.000000	0.000000
2.001774	__rnase_site_ext	3.000000	0.000000	0.000000
2.001774	p1	1.000000	0.000000	0.000000
2.001774	p2	1.000000	0.000000	0.000000
2.001774	proteinX	0.000000	2.000000	1.500000
2.001774	proteinY	0.000000	2.000000	1.500000
2.001774	rnapol	0.000000	0.000000	0.000000
3.000093	__proteinX_rbs	0.000000	0.000000	0.000000
3.000093	__proteinY_rbs	0.000000	0.000000	0.000000
3.000093	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000093	__ribosome	88.000000	0.000000	0.000000
3.000093	__rnase_site	0.000000	0.000000	0.000000
3.000093	__rnase_site_ext	1.000000	0.000000	0.000000
3.000093	p1	1.000000	0.000000	0.000000
3.000093	p2	0.000000	0.000000	0.000000
3.000093	proteinX	0.000000	2.000000	3.500000
3.000093	proteinY	0.000000	2.000000	2.500000
3.000093	rnapol	0.000000	0.000000	0.000000
4.000714	__proteinX_rbs	1.000000	0.000000	0.000000
4.000714	__proteinY_rbs	3.000000	0.000000	0.000000
4.000714	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000714	__ribosome	86.000000	0.000000	0.000000
4.000714	__rnase_site	0.000000	0.000000	0.000000
4.000714	__rnase_site_ext	3.000000	0.000000	0.000000
4.000714	p1	1.000000	0.000000	0.000000
4.000714	p2	0.000000	0.000000	0.000000
4.000714	proteinX	0.000000	2.000000	4.500000
4.000714	proteinY	0.000000	3.000000	1.666667
4.000714	rnapol	0.000000	0.000000	0.000000
5.003007	__proteinX_rbs	1.000000	0.000000	0.000000
5.003007	__proteinY_rbs	0.000000	0.000000	0.000000
5.003007	__proteinZ_rbs	0.000000	0.000000	0.000000
5.003007	__ribosome	81.000000	0.000000	0.000000
5.003007	__rnase_site	0.000000	0.000000	0.000000
5.003007	__rnase_site_ext	2.000000	0.000000	0.000000
5.003007	p1	1.000000	0.000000	0.000000
5.003007	p2	1.000000	0.000000	0.000000
5.003007	proteinX	1.000000	2.000000	4.500000
5.003007	proteinY	1.000000	4.000000	2.000000
5.003007	proteinZ	0.000000	2.000000	1.000000
5.003007	rnapol	0.000000	0.000000	0.000000
6.001120	__proteinX_rbs	1.000000	0.000000	0.000000
6.001120	__proteinY_rbs	3.000000	0.000000	0.000000
6.001120	__proteinZ_rbs	1.000000	0.000000	0.000000
6.001120	__ribosome	79.000000	0.000000	0.000000
6.001120	__rnase_site	0.000000	0.000000	0.000000
6.001120	__rnase_site_ext	3.000000	0.000000	0.000000
6.001120	p1	1.000000	0.000000	0.000000
6.001120	p2	1.000000	0.000000	0.000000
6.001120	proteinX	6.000000	2.000000	3.500000
6.001120	proteinY	2.000000	4.000000	2.500000
6.001120	proteinZ	0.000000	2.000000	2.000000
6.001120	rnapol	0.000000	0.000000	0.000000
7.000687	__proteinX_rbs	1.000000	0.000000	0.000000
7.000687	__proteinY_rbs	1.000000	0.000000	0.000000
7.000687	__proteinZ_rbs	2.000000	0.000000	0.000000
7.000687	__ribosome	73.000000	0.000000	0.000000
7.000687	__rnase_site	0.000000	0.000000	0.000000
7.000687	__rnase_site_ext	2.000000	0.000000	0.000000
7.000687	p1	1.000000	0.000000	0.000000
7.000687	p2	1.000000	0.000000	0.000000
7.000687	proteinX	8.000000	2.000000	3.500000
7.000687	proteinY	3.000000	4.000000	3.500000
7.000687	proteinZ	0.000000	2.000000	3.000000
7.000687	rnapol	0.000000	0.000000	0.000000
7.999362	__proteinX_rbs	1.000000	0.000000	0.000000
7.999362	__proteinY_rbs	2.000000	0.000000	0.000000
7.999362	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999362	__ribosome	68.000000	0.000000	0.000000
7.999362	__rnase_site	0.000000	0.000000	0.000000
7.999362	__rnase_site_ext	2.000000	0.000000	0.000000
7.999362	p1	0.000000	0.000000	0.000000
7.999362	p2	1.000000	0.000000	0.000000
7.999362	proteinX	9.000000	2.000000	4.000000
7.999362	proteinY	5.000000	4.000000	4.000000
7.999362	proteinZ	0.000000	3.000000	2.666667
7.999362	rnapol	0.000000	0.000000	0.000000
