time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.007044	__proteinX_rbs	0.000000	0.000000	0.000000
1.007044	__proteinY_rbs	0.000000	0.000000	0.000000
1.007044	__proteinZ_rbs	0.000000	0.000000	0.000000
1.007044	__ribosome	98.000000	0.000000	0.000000
1.007044	__rnase_site	0.000000	0.000000	0.000000
1.007044	__rnase_site_ext	1.000000	0.000000	0.000000
1.007044	p1	0.000000	0.000000	0.000000
1.007044	proteinX	0.000000	2.000000	1.000000
1.007044	rnapol	0.000000	0.000000	0.000000
1.999915	__proteinX_rbs	2.000000	0.000000	0.000000
1.999915	__proteinY_rbs	0.000000	0.000000	0.000000
1.999915	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999915	__ribosome	96.000000	0.000000	0.000000
1.999915	__rnase_site	0.000000	0.000000	0.000000
1.999915	__rnase_site_ext	2.000000	0.000000	0.000000
1.999915	p1	1.000000	0.000000	0.000000
1.999915	proteinX	0.000000	4.000000	1.000000
1.999915	rnapol	0.000000	0.000000	0.000000
3.003612	__proteinX_rbs	1.000000	0.000000	0.000000
3.003612	__proteinY_rbs	0.000000	0.000000	0.000000
3.003612	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003612	__ribosome	91.000000	0.000000	0.000000
3.003612	__rnase_site	0.000000	0.000000	0.000000
3.003612	__rnase_site_ext	2.000000	0.000000	0.000000
3.003612	p1	1.000000	0.000000	0.000000
3.003612	proteinX	0.000000	4.000000	2.250000
3.003612	rnapol	0.000000	0.000000	0.000000
3.999923	__proteinX_rbs	3.000000	0.000000	0.000000
3.999923	__proteinY_rbs	1.000000	0.000000	0.000000
3.999923	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999923	__ribosome	89.000000	0.000000	0.000000
3.999923	__rnase_site	0.000000	0.000000	0.000000
3.999923	__rnase_site_ext	3.000000	0.000000	0.000000
3.999923	p1	1.000000	0.000000	0.000000
3.999923	proteinX	0.000000	4.000000	2.750000
3.999923	proteinY	0.000000	1.000000	0.000000
3.999923	rnapol	0.000000	0.000000	0.000000
5.006799	__proteinX_rbs	1.000000	0.000000	0.000000
5.006799	__proteinY_rbs	1.000000	0.000000	0.000000
5.006799	__proteinZ_rbs	0.000000	0.000000	0.000000
5.006799	__ribosome	84.000000	0.000000	0.000000
5.006799	__rnase_site	0.000000	0.000000	0.000000
5.006799	__rnase_site_ext	3.000000	0.000000	0.000000
5.006799	p1	1.000000	0.000000	0.000000
5.006799	proteinX	1.000000	4.000000	3.500000
5.006799	proteinY	0.000000	2.000000	1.000000
5.006799	rnapol	0.000000	0.000000	0.000000
6.001407	__proteinX_rbs	1.000000	0.000000	0.000000
6.001407	__proteinY_rbs	0.000000	0.000000	0.000000
6.001407	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001407	__ribosome	80.000000	0.000000	0.000000
6.001407	__rnase_site	0.000000	0.000000	0.000000
6.001407	__rnase_site_ext	2.000000	0.000000	0.000000
6.001407	p1	1.000000	0.000000	0.000000
6.001407	proteinX	3.000000	4.000000	4.000000
6.001407	proteinY	0.000000	2.000000	2.000000
6.001407	rnapol	0.000000	0.000000	0.000000
7.002350	__proteinX_rbs	3.000000	0.000000	0.000000
7.002350	__proteinY_rbs	2.000000	0.000000	0.000000
7.002350	__proteinZ_rbs	1.000000	0.000000	0.000000
7.002350	__ribosome	79.000000	0.000000	0.000000
7.002350	__rnase_site	0.000000	0.000000	0.000000
7.002350	__rnase_site_ext	3.000000	0.000000	0.000000
7.002350	p1	1.000000	0.000000	0.000000
7.002350	proteinX	7.000000	4.000000	3.250000
7.002350	proteinY	0.000000	4.000000	2.000000
7.002350	proteinZ	0.000000	1.000000	0.000000
7.002350	rnapol	0.000000	0.000000	0.000000
7.999426	__proteinX_rbs	3.000000	0.000000	0.000000
7.999426	__proteinY_rbs	2.000000	0.000000	0.000000
7.999426	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999426	__ribosome	74.000000	0.000000	0.000000
7.999426	__rnase_site	0.000000	0.000000	0.000000
7.999426	__rnase_site_ext	4.000000	0.000000	0.000000
7.999426	p1	1.000000	0.000000	0.000000
7.999426	proteinX	10.000000	4.000000	3.250000
7.999426	proteinY	0.000000	4.000000	2.750000
7.999426	proteinZ	0.000000	1.000000	2.000000
7.999426	rnapol	0.000000	0.000000	0.000000
8.999568	__proteinX_rbs	3.000000	0.000000	0.000000
8.999568	__proteinY_rbs	2.000000	0.000000	0.000000
8.999568	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999568	__ribosome	70.000000	0.000000	0.000000
8.999568	__rnase_site	0.000000	0.000000	0.000000
8.999568	__rnase_site_ext	3.000000	0.000000	0.000000
8.999568	p1	1.000000	0.000000	0.000000
8.999568	proteinX	13.000000	4.000000	3.250000
8.999568	proteinY	1.000000	4.000000	3.500000
8.999568	proteinZ	0.000000	2.000000	1.500000
8.999568	rnapol	0.000000	0.000000	0.000000
9.999317	__proteinX_rbs	3.000000	0.000000	0.000000
