time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p3	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.0219559999999999	__proteinX_rbs	1.0	0.0	0.0
1.0219559999999999	__proteinY_rbs	0.0	0.0	0.0
1.0219559999999999	__proteinZ_rbs	0.0	0.0	0.0
1.0219559999999999	__ribosome	99.0	0.0	0.0
1.0219559999999999	__rnase_site	0.0	0.0	0.0
1.0219559999999999	__rnase_site_ext	3.0	0.0	0.0
1.0219559999999999	p1	0.0	0.0	0.0
1.0219559999999999	p3	1.0	0.0	0.0
1.0219559999999999	proteinX	0.0	2.0	0.5
1.0219559999999999	rnapol	1.0	0.0	0.0
2.002113	__proteinX_rbs	1.0	0.0	0.0
2.002113	__proteinY_rbs	0.0	0.0	0.0
2.002113	__proteinZ_rbs	0.0	0.0	0.0
2.002113	__ribosome	96.0	0.0	0.0
2.002113	__rnase_site	0.0	0.0	0.0
2.002113	__rnase_site_ext	5.0	0.0	0.0
2.002113	p1	1.0	0.0	0.0
2.002113	p3	0.0	0.0	0.0
2.002113	proteinX	0.0	3.0	1.333333
2.002113	rnapol	0.0	0.0	0.0
3.001215	__proteinX_rbs	3.0	0.0	0.0
3.001215	__proteinY_rbs	0.0	0.0	0.0
3.001215	__proteinZ_rbs	0.0	0.0	0.0
3.001215	__ribosome	92.0	0.0	0.0
3.001215	__rnase_site	0.0	0.0	0.0
3.001215	__rnase_site_ext	7.0	0.0	0.0
3.001215	p1	1.0	0.0	0.0
3.001215	p3	1.0	0.0	0.0
3.001215	proteinX	0.0	4.0	2.0
3.001215	rnapol	0.0	0.0	0.0
