time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000452	__proteinX_rbs	1.000000	0.000000	0.000000
1.000452	__proteinY_rbs	0.000000	0.000000	0.000000
1.000452	__proteinZ_rbs	1.000000	0.000000	0.000000
1.000452	__ribosome	100.000000	0.000000	0.000000
1.000452	__rnase_site	1.000000	0.000000	0.000000
1.000452	__rnase_site_ext	2.000000	0.000000	0.000000
1.000452	p1	0.000000	0.000000	0.000000
1.000452	p3	0.000000	0.000000	0.000000
1.000452	proteinX	0.000000	1.000000	0.000000
1.000452	proteinZ	0.000000	1.000000	0.000000
1.000452	rnapol	0.000000	0.000000	0.000000
2.004787	__proteinX_rbs	2.000000	0.000000	0.000000
2.004787	__proteinY_rbs	0.000000	0.000000	0.000000
2.004787	__proteinZ_rbs	1.000000	0.000000	0.000000
2.004787	__ribosome	98.000000	0.000000	0.000000
2.004787	__rnase_site	2.000000	0.000000	0.000000
2.004787	__rnase_site_ext	3.000000	0.000000	0.000000
2.004787	p1	1.000000	0.000000	0.000000
2.004787	p3	1.000000	0.000000	0.000000
2.004787	proteinX	0.000000	3.000000	0.666667
2.004787	proteinZ	0.000000	1.000000	0.000000
2.004787	rnapol	0.000000	0.000000	0.000000
2.999341	__proteinX_rbs	2.000000	0.000000	0.000000
2.999341	__proteinY_rbs	0.000000	0.000000	0.000000
2.999341	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999341	__ribosome	94.000000	0.000000	0.000000
2.999341	__rnase_site	2.000000	0.000000	0.000000
2.999341	__rnase_site_ext	3.000000	0.000000	0.000000
2.999341	p1	1.000000	0.000000	0.000000
2.999341	p3	1.000000	0.000000	0.000000
2.999341	proteinX	0.000000	3.000000	1.666667
2.999341	proteinZ	0.000000	1.000000	1.000000
2.999341	rnapol	0.000000	0.000000	0.000000
4.001017	__proteinX_rbs	0.000000	0.000000	0.000000
4.001017	__proteinY_rbs	0.000000	0.000000	0.000000
4.001017	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001017	__ribosome	88.000000	0.000000	0.000000
4.001017	__rnase_site	1.000000	0.000000	0.000000
4.001017	__rnase_site_ext	2.000000	0.000000	0.000000
4.001017	p1	1.000000	0.000000	0.000000
4.001017	p3	1.000000	0.000000	0.000000
4.001017	proteinX	0.000000	3.000000	3.333333
4.001017	proteinZ	0.000000	1.000000	2.000000
4.001017	rnapol	0.000000	0.000000	0.000000
5.001220	__proteinX_rbs	4.000000	0.000000	0.000000
5.001220	__proteinY_rbs	1.000000	0.000000	0.000000
5.001220	__proteinZ_rbs	1.000000	0.000000	0.000000
5.001220	__ribosome	86.000000	0.000000	0.000000
5.001220	__rnase_site	7.000000	0.000000	0.000000
5.001220	__rnase_site_ext	5.000000	0.000000	0.000000
5.001220	p1	1.000000	0.000000	0.000000
5.001220	p3	1.000000	0.000000	0.000000
5.001220	proteinX	1.000000	4.000000	2.750000
5.001220	proteinY	0.000000	1.000000	0.000000
5.001220	proteinZ	0.000000	1.000000	3.000000
5.001220	rnapol	0.000000	0.000000	0.000000
5.999077	__proteinX_rbs	1.000000	0.000000	0.000000
5.999077	__proteinY_rbs	2.000000	0.000000	0.000000
5.999077	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999077	__ribosome	82.000000	0.000000	0.000000
5.999077	__rnase_site	4.000000	0.000000	0.000000
5.999077	__rnase_site_ext	3.000000	0.000000	0.000000
5.999077	p1	1.000000	0.000000	0.000000
5.999077	p3	1.000000	0.000000	0.000000
5.999077	proteinX	4.000000	4.000000	3.000000
5.999077	proteinY	0.000000	3.000000	1.000000
5.999077	proteinZ	0.000000	1.000000	3.000000
5.999077	rnapol	0.000000	0.000000	0.000000
7.001219	__proteinX_rbs	2.000000	0.000000	0.000000
7.001219	__proteinY_rbs	2.000000	0.000000	0.000000
7.001219	__proteinZ_rbs	1.000000	0.000000	0.000000
7.001219	__ribosome	79.000000	0.000000	0.000000
7.001219	__rnase_site	5.000000	0.000000	0.000000
7.001219	__rnase_site_ext	4.000000	0.000000	0.000000
7.001219	p1	1.000000	0.000000	0.000000
7.001219	p3	1.000000	0.000000	0.000000
7.001219	proteinX	8.000000	4.000000	3.000000
7.001219	proteinY	0.000000	3.000000	1.666667
7.001219	proteinZ	0.000000	1.000000	4.000000
7.001219	rnapol	0.000000	0.000000	0.000000
8.000260	__proteinX_rbs	2.000000	0.000000	0.000000
8.000260	__proteinY_rbs	3.000000	0.000000	0.000000
8.000260	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000260	__ribosome	76.000000	0.000000	0.000000
8.000260	__rnase_site	6.000000	0.000000	0.000000
8.000260	__rnase_site_ext	3.000000	0.000000	0.000000
8.000260	p1	1.000000	0.000000	0.000000
8.000260	p3	0.000000	0.000000	0.000000
8.000260	proteinX	11.000000	4.000000	3.250000
8.000260	proteinY	0.000000	4.000000	1.750000
8.000260	proteinZ	1.000000	1.000000	4.000000
