Iteration	Sum_of_Squares	Accepted
1	34261.0	yes
2	34261.0	yes
3	34261.0	yes
4	34261.0	yes
5	33750.0	yes
6	34622.0	no
7	93089.0	no
8	111128.0	no
9	111128.0	no
10	111128.0	no
11	93993.0	no
12	93993.0	no
13	111128.0	no
14	104311.0	no
15	104311.0	no
16	135266.0	no
17	117045.0	no
18	117045.0	no
19	143315.0	no
20	127305.0	no
21	85675.0	no
22	102419.0	no
23	79854.0	no
24	83559.0	no
25	25764.0	yes
26	25764.0	yes
27	75700.0	no
28	75700.0	no
29	69688.0	no
30	91108.0	no
31	95374.0	no
32	69251.0	no
33	69251.0	no
34	69251.0	no
35	71035.0	no
36	77592.0	no
37	77592.0	no
38	77592.0	no
39	63898.0	no
40	111212.0	no
41	111212.0	no
42	111212.0	no
43	73022.0	no
44	73022.0	no
45	73022.0	no
46	72246.0	no
47	72246.0	no
48	431324.0	no
49	343189.0	no
50	615245.0	no
51	77221.0	no
52	81840.0	no
53	32100.0	no
54	32100.0	no
55	54930.0	no
56	54930.0	no
57	83934.0	no
58	79392.0	no
59	54797.0	no
60	54797.0	no
61	54797.0	no
62	23054.0	yes
63	23054.0	yes
64	23054.0	yes
65	64070.0	no
66	85967.0	no
67	132399.0	no
68	166221.0	no
69	179502.0	no
70	176275.0	no
71	145533.0	no
72	146781.0	no
73	193266.0	no
74	121937.0	no
75	121937.0	no
76	147768.0	no
77	315251.0	no
78	315251.0	no
79	248498.0	no
80	279857.0	no
81	292276.0	no
82	469432.0	no
83	391086.0	no
84	455354.0	no
85	319711.0	no
86	341805.0	no
87	341805.0	no
88	341805.0	no
89	341805.0	no
90	214625.0	no
91	205258.0	no
92	144932.0	no
93	222067.0	no
94	131700.0	no
95	176888.0	no
96	176888.0	no
97	301428.0	no
98	277405.0	no
99	271083.0	no
100	175017.0	no
101	175017.0	no
102	175017.0	no
103	225745.0	no
104	240562.0	no
105	161158.0	no
106	177833.0	no
107	264193.0	no
108	254523.0	no
109	312623.0	no
110	91681.0	no
111	41026.0	no
112	92347.0	no
113	233468.0	no
114	196710.0	no
115	238296.0	no
116	191432.0	no
117	191432.0	no
118	191432.0	no
119	261854.0	no
120	219050.0	no
121	156582.0	no
122	187426.0	no
123	237304.0	no
124	238389.0	no
125	238389.0	no
126	277309.0	no
127	251982.0	no
128	164012.0	no
129	228283.0	no
130	230363.0	no
131	243276.0	no
132	184486.0	no
133	160188.0	no
134	125605.0	no
135	125605.0	no
136	111368.0	no
137	111368.0	no
138	108457.0	no
139	95855.0	no
140	160480.0	no
141	161029.0	no
142	154165.0	no
143	174141.0	no
144	174141.0	no
145	106617.0	no
146	77066.0	no
147	73933.0	no
148	56418.0	no
149	164007.0	no
150	154513.0	no
151	62075.0	no
152	17713.0	yes
153	62702.0	no
154	58996.0	no
155	252489.0	no
156	194169.0	no
157	116929.0	no
158	113903.0	no
159	168048.0	no
160	148457.0	no
161	136741.0	no
162	156911.0	no
163	139108.0	no
164	114094.0	no
165	49725.0	no
166	49725.0	no
167	41563.0	no
168	27255.0	no
169	27255.0	no
170	94865.0	no
171	120754.0	no
172	155414.0	no
173	155414.0	no
174	150899.0	no
175	272994.0	no
176	556977.0	no
177	302871.0	no
178	243748.0	no
179	375056.0	no
180	366975.0	no
181	92950.0	no
182	48803.0	no
183	48803.0	no
184	75378.0	no
185	89057.0	no
186	60069.0	no
187	154358.0	no
188	154358.0	no
189	154358.0	no
190	292193.0	no
191	377589.0	no
192	299825.0	no
193	299825.0	no
194	200921.0	no
195	200921.0	no
196	325016.0	no
197	325016.0	no
198	154102.0	no
199	154102.0	no
200	112775.0	no
201	159595.0	no
202	159595.0	no
203	147455.0	no
204	177365.0	no
205	177365.0	no
206	227855.0	no
207	242009.0	no
208	218509.0	no
209	285684.0	no
210	106599.0	no
211	106599.0	no
212	144527.0	no
213	106599.0	no
214	106599.0	no
215	106599.0	no
216	126107.0	no
217	126107.0	no
218	93619.0	no
219	35480.0	no
220	58304.0	no
221	58304.0	no
222	96847.0	no
223	96847.0	no
224	39174.0	no
225	53645.0	no
226	44929.0	no
227	56611.0	no
228	56611.0	no
229	56611.0	no
230	48125.0	no
231	72149.0	no
232	60869.0	no
233	249028.0	no
234	389019.0	no
235	296148.0	no
236	296148.0	no
237	360868.0	no
238	360868.0	no
239	421443.0	no
240	384978.0	no
241	389996.0	no
242	255240.0	no
243	261897.0	no
244	261897.0	no
245	246016.0	no
246	149787.0	no
247	143283.0	no
248	137705.0	no
249	137705.0	no
250	150191.0	no
251	138019.0	no
252	120810.0	no
253	177680.0	no
254	151384.0	no
255	151384.0	no
256	151384.0	no
257	138981.0	no
258	160193.0	no
259	153483.0	no
260	103706.0	no
261	153483.0	no
262	72955.0	no
263	65028.0	no
264	67755.0	no
265	10833.0	yes
266	69338.0	no
267	69338.0	no
268	69338.0	no
269	67296.0	no
270	67296.0	no
271	69338.0	no
272	69338.0	no
273	69791.0	no
274	69791.0	no
275	71391.0	no
276	71391.0	no
277	71391.0	no
278	89790.0	no
279	86579.0	no
280	127319.0	no
281	86579.0	no
282	83691.0	no
283	72128.0	no
284	66866.0	no
285	148010.0	no
286	125086.0	no
287	75474.0	no
288	75474.0	no
289	90667.0	no
290	101280.0	no
291	101280.0	no
292	53105.0	no
293	7577.0	yes
294	17014.0	no
295	17014.0	no
296	17014.0	no
297	17014.0	no
298	16782.0	no
299	125762.0	no
300	125762.0	no
301	79714.0	no
302	130263.0	no
303	43698.0	no
304	41123.0	no
305	41123.0	no
306	41123.0	no
307	20486.0	no
