Iteration	Sum_of_Squares	Accepted
1	39484.0	yes
2	39484.0	yes
3	39484.0	yes
4	8981.0	yes
5	8981.0	yes
6	61727.0	no
7	61727.0	no
8	8981.0	yes
9	8981.0	yes
10	5018.0	yes
11	5018.0	yes
12	5018.0	yes
13	11639.0	no
14	46702.0	no
15	46370.0	no
16	46370.0	no
17	46370.0	no
18	46370.0	no
19	48336.0	no
20	96379.0	no
21	96379.0	no
22	183005.0	no
23	96379.0	no
24	76772.0	no
25	83111.0	no
26	74674.0	no
27	65547.0	no
28	83111.0	no
29	56069.0	no
30	60857.0	no
31	56069.0	no
32	56069.0	no
33	69634.0	no
34	69634.0	no
35	80256.0	no
36	60878.0	no
37	77900.0	no
38	143277.0	no
39	143277.0	no
40	144419.0	no
41	144419.0	no
42	144419.0	no
43	157719.0	no
44	144419.0	no
45	96987.0	no
46	196849.0	no
47	22056.0	no
48	30998.0	no
49	30998.0	no
50	28045.0	no
51	48546.0	no
52	36561.0	no
53	46703.0	no
54	46703.0	no
55	50665.0	no
56	50665.0	no
57	79316.0	no
58	79316.0	no
59	63419.0	no
60	79452.0	no
61	79452.0	no
62	49610.0	no
63	49610.0	no
64	44726.0	no
65	44554.0	no
66	329918.0	no
67	234721.0	no
68	176999.0	no
69	154949.0	no
70	387621.0	no
71	387621.0	no
72	195722.0	no
73	212343.0	no
74	217020.0	no
75	93192.0	no
76	36461.0	no
77	36461.0	no
78	93192.0	no
79	93192.0	no
80	204532.0	no
81	144656.0	no
82	210619.0	no
83	167669.0	no
84	210619.0	no
85	210619.0	no
86	210619.0	no
87	189970.0	no
88	161688.0	no
89	155551.0	no
90	155551.0	no
91	169058.0	no
92	153156.0	no
93	147845.0	no
94	147845.0	no
95	155437.0	no
96	138711.0	no
97	127717.0	no
98	138711.0	no
99	138711.0	no
100	121342.0	no
101	146014.0	no
102	151829.0	no
103	151829.0	no
104	151829.0	no
105	151974.0	no
106	133204.0	no
107	67564.0	no
108	67564.0	no
109	67564.0	no
110	80669.0	no
111	80669.0	no
112	26551.0	no
113	55652.0	no
114	55652.0	no
115	69448.0	no
116	74611.0	no
117	74974.0	no
118	74974.0	no
119	71382.0	no
120	71382.0	no
121	37437.0	no
122	37437.0	no
123	37437.0	no
124	39198.0	no
125	32149.0	no
126	25882.0	no
127	25882.0	no
128	25882.0	no
129	38766.0	no
130	52765.0	no
131	52765.0	no
132	52765.0	no
133	52765.0	no
134	3319.0	yes
135	3319.0	yes
136	36208.0	no
137	64217.0	no
138	91632.0	no
139	91632.0	no
140	91632.0	no
141	65893.0	no
142	365254.0	no
143	305197.0	no
144	305197.0	no
145	173596.0	no
146	165331.0	no
147	119801.0	no
148	119801.0	no
149	89213.0	no
150	89213.0	no
151	50296.0	no
152	56960.0	no
153	54808.0	no
154	48056.0	no
155	48056.0	no
156	43168.0	no
157	52305.0	no
158	78301.0	no
159	54852.0	no
160	31357.0	no
161	77100.0	no
162	77100.0	no
163	121771.0	no
164	104532.0	no
165	121771.0	no
166	92152.0	no
167	109821.0	no
168	111694.0	no
169	113706.0	no
170	113706.0	no
171	102137.0	no
172	103549.0	no
173	91843.0	no
174	59851.0	no
175	59851.0	no
176	92084.0	no
177	92084.0	no
178	99248.0	no
179	99248.0	no
180	142573.0	no
181	73708.0	no
182	67151.0	no
183	61734.0	no
184	61734.0	no
185	61734.0	no
186	55073.0	no
187	55073.0	no
188	73645.0	no
189	118369.0	no
190	74061.0	no
191	74061.0	no
192	118079.0	no
193	118079.0	no
194	118079.0	no
195	97542.0	no
196	97542.0	no
197	63447.0	no
198	63447.0	no
199	53046.0	no
200	75658.0	no
201	63447.0	no
202	91599.0	no
203	91599.0	no
204	71267.0	no
205	138523.0	no
206	97935.0	no
207	143585.0	no
208	128402.0	no
209	128402.0	no
210	186869.0	no
211	236793.0	no
212	212837.0	no
213	409970.0	no
214	437742.0	no
215	437742.0	no
216	422351.0	no
217	368221.0	no
218	416903.0	no
219	457037.0	no
220	457037.0	no
221	414563.0	no
222	468725.0	no
223	468725.0	no
224	377119.0	no
225	346154.0	no
226	400440.0	no
227	400440.0	no
228	425308.0	no
229	59081.0	no
230	59081.0	no
231	59081.0	no
232	59081.0	no
233	87782.0	no
234	87782.0	no
235	435594.0	no
236	560766.0	no
237	560766.0	no
238	133014.0	no
239	81382.0	no
240	62029.0	no
241	62029.0	no
242	62522.0	no
243	230413.0	no
244	215919.0	no
245	368363.0	no
246	326404.0	no
247	326404.0	no
248	321903.0	no
249	321903.0	no
250	321903.0	no
251	503641.0	no
252	503641.0	no
253	503641.0	no
254	503641.0	no
255	503641.0	no
256	503641.0	no
257	263369.0	no
258	503641.0	no
259	197891.0	no
260	92276.0	no
261	72113.0	no
262	59970.0	no
263	61650.0	no
264	61650.0	no
265	30870.0	no
266	30849.0	no
267	54935.0	no
268	48777.0	no
269	54706.0	no
270	42157.0	no
271	44229.0	no
272	40067.0	no
273	31920.0	no
274	48959.0	no
275	48959.0	no
276	86119.0	no
277	86119.0	no
278	51899.0	no
279	98554.0	no
280	98554.0	no
281	98554.0	no
282	98554.0	no
283	72043.0	no
284	36339.0	no
285	70267.0	no
286	70267.0	no
287	70267.0	no
288	70267.0	no
289	55971.0	no
290	85665.0	no
291	85665.0	no
292	85665.0	no
293	85665.0	no
294	85665.0	no
295	85665.0	no
296	85665.0	no
297	85665.0	no
298	85665.0	no
299	99865.0	no
300	99865.0	no
301	99865.0	no
302	99865.0	no
303	116512.0	no
304	186974.0	no
305	101397.0	no
306	478410.0	no
307	344309.0	no
308	395362.0	no
309	470423.0	no
310	496089.0	no
311	511110.0	no
312	473231.0	no
313	463354.0	no
314	77699.0	no
315	77699.0	no
316	82442.0	no
317	104760.0	no
318	16609.0	no
319	82344.0	no
320	111047.0	no
321	111047.0	no
322	82344.0	no
323	82344.0	no
324	88586.0	no
325	93730.0	no
326	64843.0	no
327	89417.0	no
328	64843.0	no
329	109968.0	no
330	51927.0	no
331	92878.0	no
332	92878.0	no
333	92878.0	no
334	92878.0	no
335	89635.0	no
336	74029.0	no
337	74029.0	no
338	78890.0	no
339	94473.0	no
340	94473.0	no
341	94473.0	no
342	72130.0	no
343	72130.0	no
344	116921.0	no
345	72130.0	no
346	28608.0	no
347	28608.0	no
348	28608.0	no
349	28608.0	no
350	77053.0	no
351	61733.0	no
352	61733.0	no
353	58504.0	no
354	103173.0	no
355	103173.0	no
356	103173.0	no
357	97109.0	no
358	112975.0	no
359	112975.0	no
360	105675.0	no
361	74234.0	no
362	18470.0	no
363	34420.0	no
364	68854.0	no
365	184499.0	no
366	167432.0	no
367	167432.0	no
368	158044.0	no
369	141666.0	no
370	283467.0	no
371	378740.0	no
372	460854.0	no
373	609484.0	no
374	619643.0	no
375	619643.0	no
376	567376.0	no
377	592738.0	no
378	592738.0	no
379	592738.0	no
380	411410.0	no
381	286120.0	no
382	434631.0	no
383	434631.0	no
384	330629.0	no
385	439114.0	no
386	319958.0	no
387	299182.0	no
388	212285.0	no
389	170382.0	no
390	155587.0	no
391	94436.0	no
392	23158.0	no
393	105079.0	no
394	80914.0	no
395	80914.0	no
396	81559.0	no
397	81559.0	no
398	66395.0	no
399	65937.0	no
400	65937.0	no
401	45261.0	no
402	94346.0	no
403	85345.0	no
404	81770.0	no
405	95973.0	no
406	77188.0	no
407	78955.0	no
408	83899.0	no
409	98575.0	no
410	98575.0	no
411	98575.0	no
412	98575.0	no
413	84600.0	no
414	84600.0	no
415	42756.0	no
416	14453.0	no
417	53669.0	no
418	14453.0	no
419	35158.0	no
420	29028.0	no
421	17218.0	no
422	18470.0	no
423	32274.0	no
424	32274.0	no
425	17082.0	no
426	17082.0	no
427	59698.0	no
428	42196.0	no
429	42196.0	no
430	39268.0	no
431	39268.0	no
432	45339.0	no
433	49893.0	no
434	129910.0	no
435	135465.0	no
436	88972.0	no
437	26711.0	no
438	73060.0	no
439	76211.0	no
440	56237.0	no
441	56237.0	no
442	75752.0	no
443	63681.0	no
444	63681.0	no
445	63681.0	no
446	119567.0	no
447	119567.0	no
448	119567.0	no
449	83079.0	no
450	160763.0	no
451	101005.0	no
452	101005.0	no
453	99682.0	no
454	99682.0	no
455	118444.0	no
456	59443.0	no
457	59443.0	no
458	44581.0	no
459	44581.0	no
460	25340.0	no
461	25340.0	no
462	65026.0	no
463	37580.0	no
464	37580.0	no
465	402834.0	no
466	402834.0	no
467	451478.0	no
468	340144.0	no
469	340144.0	no
470	356438.0	no
471	238554.0	no
472	238554.0	no
473	194284.0	no
474	212462.0	no
475	105595.0	no
476	105595.0	no
477	118486.0	no
478	167068.0	no
479	148774.0	no
480	190786.0	no
481	190786.0	no
482	135303.0	no
483	135303.0	no
484	178541.0	no
485	170795.0	no
486	197941.0	no
487	223416.0	no
488	174547.0	no
489	214652.0	no
490	223892.0	no
491	223892.0	no
492	180878.0	no
493	115675.0	no
494	195268.0	no
495	208060.0	no
496	208060.0	no
497	289475.0	no
498	290452.0	no
499	317997.0	no
500	296357.0	no
501	290555.0	no
502	271159.0	no
503	286257.0	no
504	284637.0	no
505	150111.0	no
506	150111.0	no
507	150111.0	no
508	161423.0	no
509	227318.0	no
510	383425.0	no
511	559974.0	no
512	582939.0	no
513	582939.0	no
514	582939.0	no
515	57868.0	no
516	36557.0	no
517	36557.0	no
518	154514.0	no
519	152235.0	no
520	127061.0	no
521	169933.0	no
522	169933.0	no
523	169933.0	no
524	147500.0	no
525	147500.0	no
526	166744.0	no
527	192265.0	no
528	112417.0	no
529	84407.0	no
530	84407.0	no
531	84407.0	no
532	84407.0	no
533	110576.0	no
534	114960.0	no
535	123056.0	no
536	123056.0	no
537	104916.0	no
538	104916.0	no
539	104916.0	no
540	98794.0	no
541	98794.0	no
542	16287.0	no
543	16287.0	no
544	16287.0	no
545	50619.0	no
546	75669.0	no
547	43592.0	no
548	43592.0	no
549	43592.0	no
550	74123.0	no
551	74123.0	no
552	74123.0	no
553	74123.0	no
554	98691.0	no
555	146249.0	no
556	146249.0	no
557	118910.0	no
558	118910.0	no
559	34111.0	no
560	34111.0	no
561	52618.0	no
562	34111.0	no
563	93499.0	no
564	152990.0	no
565	112881.0	no
566	131839.0	no
567	131839.0	no
568	214224.0	no
569	220528.0	no
570	190151.0	no
571	55662.0	no
572	92471.0	no
573	105717.0	no
574	105717.0	no
575	105717.0	no
576	109540.0	no
577	109540.0	no
578	82558.0	no
579	76488.0	no
580	137017.0	no
581	104184.0	no
582	106457.0	no
583	106457.0	no
584	106457.0	no
585	73957.0	no
586	73957.0	no
587	74950.0	no
588	46349.0	no
589	46349.0	no
590	118249.0	no
591	99466.0	no
592	99466.0	no
593	59693.0	no
594	137010.0	no
595	209550.0	no
596	156746.0	no
597	199521.0	no
598	199521.0	no
599	209180.0	no
600	144973.0	no
601	132418.0	no
602	89570.0	no
