time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.006822	__proteinX_rbs	1.000000	0.000000	0.000000
1.006822	__proteinY_rbs	0.000000	0.000000	0.000000
1.006822	__proteinZ_rbs	0.000000	0.000000	0.000000
1.006822	__ribosome	100.000000	0.000000	0.000000
1.006822	__rnase_site	1.000000	0.000000	0.000000
1.006822	__rnase_site_ext	3.000000	0.000000	0.000000
1.006822	p1	0.000000	0.000000	0.000000
1.006822	p2	0.000000	0.000000	0.000000
1.006822	proteinX	0.000000	1.000000	0.000000
1.006822	rnapol	1.000000	0.000000	0.000000
2.006352	__proteinX_rbs	0.000000	0.000000	0.000000
2.006352	__proteinY_rbs	0.000000	0.000000	0.000000
2.006352	__proteinZ_rbs	0.000000	0.000000	0.000000
2.006352	__ribosome	97.000000	0.000000	0.000000
2.006352	__rnase_site	1.000000	0.000000	0.000000
2.006352	__rnase_site_ext	4.000000	0.000000	0.000000
2.006352	p1	1.000000	0.000000	0.000000
2.006352	p2	0.000000	0.000000	0.000000
2.006352	proteinX	0.000000	2.000000	1.500000
2.006352	rnapol	1.000000	0.000000	0.000000
2.999616	__proteinX_rbs	1.000000	0.000000	0.000000
2.999616	__proteinY_rbs	0.000000	0.000000	0.000000
2.999616	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999616	__ribosome	95.000000	0.000000	0.000000
2.999616	__rnase_site	2.000000	0.000000	0.000000
2.999616	__rnase_site_ext	7.000000	0.000000	0.000000
2.999616	p1	1.000000	0.000000	0.000000
2.999616	p2	0.000000	0.000000	0.000000
2.999616	proteinX	0.000000	2.000000	2.500000
2.999616	rnapol	1.000000	0.000000	0.000000
3.999844	__proteinX_rbs	2.000000	0.000000	0.000000
3.999844	__proteinY_rbs	0.000000	0.000000	0.000000
3.999844	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999844	__ribosome	93.000000	0.000000	0.000000
3.999844	__rnase_site	3.000000	0.000000	0.000000
3.999844	__rnase_site_ext	9.000000	0.000000	0.000000
3.999844	p1	1.000000	0.000000	0.000000
3.999844	p2	0.000000	0.000000	0.000000
3.999844	proteinX	0.000000	2.000000	3.500000
3.999844	rnapol	1.000000	0.000000	0.000000
4.999326	__proteinX_rbs	1.000000	0.000000	0.000000
4.999326	__proteinY_rbs	0.000000	0.000000	0.000000
4.999326	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999326	__ribosome	93.000000	0.000000	0.000000
4.999326	__rnase_site	1.000000	0.000000	0.000000
4.999326	__rnase_site_ext	8.000000	0.000000	0.000000
4.999326	p1	1.000000	0.000000	0.000000
4.999326	p2	0.000000	0.000000	0.000000
4.999326	proteinX	3.000000	3.000000	2.333333
4.999326	rnapol	2.000000	0.000000	0.000000
6.002250	__proteinX_rbs	2.000000	0.000000	0.000000
6.002250	__proteinY_rbs	0.000000	0.000000	0.000000
6.002250	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002250	__ribosome	92.000000	0.000000	0.000000
6.002250	__rnase_site	2.000000	0.000000	0.000000
6.002250	__rnase_site_ext	11.000000	0.000000	0.000000
6.002250	p1	1.000000	0.000000	0.000000
6.002250	p2	1.000000	0.000000	0.000000
6.002250	proteinX	4.000000	4.000000	2.000000
6.002250	rnapol	1.000000	0.000000	0.000000
7.002414	__proteinX_rbs	1.000000	0.000000	0.000000
7.002414	__proteinY_rbs	1.000000	0.000000	0.000000
7.002414	__proteinZ_rbs	0.000000	0.000000	0.000000
7.002414	__ribosome	92.000000	0.000000	0.000000
7.002414	__rnase_site	3.000000	0.000000	0.000000
7.002414	__rnase_site_ext	14.000000	0.000000	0.000000
7.002414	p1	1.000000	0.000000	0.000000
7.002414	p2	0.000000	0.000000	0.000000
7.002414	proteinX	7.000000	4.000000	2.000000
7.002414	proteinY	0.000000	1.000000	0.000000
7.002414	rnapol	1.000000	0.000000	0.000000
7.999193	__proteinX_rbs	4.000000	0.000000	0.000000
7.999193	__proteinY_rbs	0.000000	0.000000	0.000000
7.999193	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999193	__ribosome	89.000000	0.000000	0.000000
7.999193	__rnase_site	4.000000	0.000000	0.000000
7.999193	__rnase_site_ext	15.000000	0.000000	0.000000
7.999193	p1	1.000000	0.000000	0.000000
7.999193	p2	1.000000	0.000000	0.000000
7.999193	proteinX	8.000000	4.000000	2.250000
7.999193	proteinY	0.000000	1.000000	2.000000
7.999193	rnapol	2.000000	0.000000	0.000000
9.001131	__proteinX_rbs	3.000000	0.000000	0.000000
9.001131	__proteinY_rbs	0.000000	0.000000	0.000000
9.001131	__proteinZ_rbs	0.000000	0.000000	0.000000
9.001131	__ribosome	85.000000	0.000000	0.000000
9.001131	__rnase_site	3.000000	0.000000	0.000000
9.001131	__rnase_site_ext	15.000000	0.000000	0.000000
9.001131	p1	0.000000	0.000000	0.000000
9.001131	p2	0.000000	0.000000	0.000000
9.001131	proteinX	10.000000	4.000000	3.000000
