time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.011168	__proteinX_rbs	0.0	0.0	0.0
1.011168	__proteinY_rbs	0.0	0.0	0.0
1.011168	__proteinZ_rbs	0.0	0.0	0.0
1.011168	__ribosome	98.0	0.0	0.0
1.011168	__rnase_site	0.0	0.0	0.0
1.011168	__rnase_site_ext	1.0	0.0	0.0
1.011168	p1	1.0	0.0	0.0
1.011168	proteinX	0.0	2.0	1.0
1.011168	rnapol	1.0	0.0	0.0
1.9990419999999998	__proteinX_rbs	2.0	0.0	0.0
1.9990419999999998	__proteinY_rbs	0.0	0.0	0.0
1.9990419999999998	__proteinZ_rbs	0.0	0.0	0.0
1.9990419999999998	__ribosome	96.0	0.0	0.0
1.9990419999999998	__rnase_site	0.0	0.0	0.0
1.9990419999999998	__rnase_site_ext	2.0	0.0	0.0
1.9990419999999998	p1	1.0	0.0	0.0
1.9990419999999998	proteinX	0.0	4.0	1.0
1.9990419999999998	rnapol	0.0	0.0	0.0
3.003012	__proteinX_rbs	1.0	0.0	0.0
3.003012	__proteinY_rbs	1.0	0.0	0.0
3.003012	__proteinZ_rbs	0.0	0.0	0.0
3.003012	__ribosome	92.0	0.0	0.0
3.003012	__rnase_site	0.0	0.0	0.0
3.003012	__rnase_site_ext	2.0	0.0	0.0
3.003012	p1	1.0	0.0	0.0
3.003012	proteinX	0.0	4.0	2.0
3.003012	proteinY	0.0	1.0	0.0
3.003012	rnapol	0.0	0.0	0.0
4.002419000000001	__proteinX_rbs	4.0	0.0	0.0
4.002419000000001	__proteinY_rbs	1.0	0.0	0.0
