time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999230	__proteinX_rbs	1.000000	0.000000	0.000000
0.999230	__proteinY_rbs	0.000000	0.000000	0.000000
0.999230	__proteinZ_rbs	1.000000	0.000000	0.000000
0.999230	__ribosome	99.000000	0.000000	0.000000
0.999230	__rnase_site	1.000000	0.000000	0.000000
0.999230	__rnase_site_ext	3.000000	0.000000	0.000000
0.999230	p1	1.000000	0.000000	0.000000
0.999230	p3	0.000000	0.000000	0.000000
0.999230	proteinX	0.000000	2.000000	0.500000
0.999230	proteinZ	0.000000	1.000000	0.000000
0.999230	rnapol	0.000000	0.000000	0.000000
2.001882	__proteinX_rbs	0.000000	0.000000	0.000000
2.001882	__proteinY_rbs	0.000000	0.000000	0.000000
2.001882	__proteinZ_rbs	2.000000	0.000000	0.000000
2.001882	__ribosome	96.000000	0.000000	0.000000
2.001882	__rnase_site	2.000000	0.000000	0.000000
2.001882	__rnase_site_ext	2.000000	0.000000	0.000000
2.001882	p1	1.000000	0.000000	0.000000
2.001882	p3	1.000000	0.000000	0.000000
2.001882	proteinX	0.000000	2.000000	1.500000
2.001882	proteinZ	0.000000	2.000000	0.500000
2.001882	rnapol	0.000000	0.000000	0.000000
3.000106	__proteinX_rbs	1.000000	0.000000	0.000000
3.000106	__proteinY_rbs	0.000000	0.000000	0.000000
3.000106	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000106	__ribosome	93.000000	0.000000	0.000000
3.000106	__rnase_site	2.000000	0.000000	0.000000
3.000106	__rnase_site_ext	4.000000	0.000000	0.000000
3.000106	p1	1.000000	0.000000	0.000000
3.000106	p3	1.000000	0.000000	0.000000
3.000106	proteinX	0.000000	2.000000	2.000000
3.000106	proteinZ	0.000000	2.000000	1.500000
3.000106	rnapol	0.000000	0.000000	0.000000
4.001496	__proteinX_rbs	1.000000	0.000000	0.000000
4.001496	__proteinY_rbs	0.000000	0.000000	0.000000
4.001496	__proteinZ_rbs	3.000000	0.000000	0.000000
4.001496	__ribosome	87.000000	0.000000	0.000000
4.001496	__rnase_site	3.000000	0.000000	0.000000
4.001496	__rnase_site_ext	4.000000	0.000000	0.000000
4.001496	p1	1.000000	0.000000	0.000000
4.001496	p3	1.000000	0.000000	0.000000
4.001496	proteinX	0.000000	2.000000	3.500000
4.001496	proteinY	0.000000	1.000000	1.000000
4.001496	proteinZ	0.000000	3.000000	1.666667
4.001496	rnapol	0.000000	0.000000	0.000000
4.999732	__proteinX_rbs	2.000000	0.000000	0.000000
4.999732	__proteinY_rbs	1.000000	0.000000	0.000000
4.999732	__proteinZ_rbs	2.000000	0.000000	0.000000
4.999732	__ribosome	84.000000	0.000000	0.000000
4.999732	__rnase_site	2.000000	0.000000	0.000000
4.999732	__rnase_site_ext	4.000000	0.000000	0.000000
4.999732	p1	0.000000	0.000000	0.000000
4.999732	p3	1.000000	0.000000	0.000000
4.999732	proteinX	1.000000	2.000000	3.000000
4.999732	proteinY	0.000000	2.000000	1.000000
4.999732	proteinZ	0.000000	3.000000	2.666667
4.999732	rnapol	0.000000	0.000000	0.000000
5.999265	__proteinX_rbs	2.000000	0.000000	0.000000
5.999265	__proteinY_rbs	1.000000	0.000000	0.000000
5.999265	__proteinZ_rbs	2.000000	0.000000	0.000000
5.999265	__ribosome	81.000000	0.000000	0.000000
5.999265	__rnase_site	3.000000	0.000000	0.000000
5.999265	__rnase_site_ext	5.000000	0.000000	0.000000
5.999265	p1	1.000000	0.000000	0.000000
5.999265	p3	1.000000	0.000000	0.000000
5.999265	proteinX	3.000000	3.000000	2.666667
5.999265	proteinY	0.000000	2.000000	1.500000
5.999265	proteinZ	1.000000	3.000000	2.666667
5.999265	rnapol	0.000000	0.000000	0.000000
6.999129	__proteinX_rbs	2.000000	0.000000	0.000000
6.999129	__proteinY_rbs	1.000000	0.000000	0.000000
6.999129	__proteinZ_rbs	3.000000	0.000000	0.000000
6.999129	__ribosome	79.000000	0.000000	0.000000
6.999129	__rnase_site	3.000000	0.000000	0.000000
6.999129	__rnase_site_ext	6.000000	0.000000	0.000000
6.999129	p1	1.000000	0.000000	0.000000
6.999129	p3	1.000000	0.000000	0.000000
6.999129	proteinX	6.000000	3.000000	2.333333
6.999129	proteinY	0.000000	2.000000	2.000000
6.999129	proteinZ	1.000000	3.000000	3.333333
6.999129	rnapol	0.000000	0.000000	0.000000
8.000641	__proteinX_rbs	4.000000	0.000000	0.000000
8.000641	__proteinY_rbs	2.000000	0.000000	0.000000
8.000641	__proteinZ_rbs	2.000000	0.000000	0.000000
8.000641	__ribosome	78.000000	0.000000	0.000000
8.000641	__rnase_site	3.000000	0.000000	0.000000
8.000641	__rnase_site_ext	7.000000	0.000000	0.000000
8.000641	p1	1.000000	0.000000	0.000000
8.000641	p3	0.000000	0.000000	0.000000
8.000641	proteinX	7.000000	5.000000	1.800000
8.000641	proteinY	0.000000	2.000000	2.500000
