time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.001527	__proteinX_rbs	0.0	0.0	0.0
1.001527	__proteinY_rbs	0.0	0.0	0.0
1.001527	__proteinZ_rbs	0.0	0.0	0.0
1.001527	__ribosome	98.0	0.0	0.0
1.001527	__rnase_site	0.0	0.0	0.0
1.001527	__rnase_site_ext	1.0	0.0	0.0
1.001527	p1	1.0	0.0	0.0
1.001527	proteinX	0.0	2.0	1.0
1.001527	rnapol	1.0	0.0	0.0
2.008572	__proteinX_rbs	2.0	0.0	0.0
2.008572	__proteinY_rbs	0.0	0.0	0.0
2.008572	__proteinZ_rbs	0.0	0.0	0.0
2.008572	__ribosome	96.0	0.0	0.0
2.008572	__rnase_site	0.0	0.0	0.0
2.008572	__rnase_site_ext	2.0	0.0	0.0
2.008572	p1	1.0	0.0	0.0
2.008572	proteinX	0.0	4.0	1.0
2.008572	rnapol	0.0	0.0	0.0
3.0014790000000002	__proteinX_rbs	1.0	0.0	0.0
3.0014790000000002	__proteinY_rbs	1.0	0.0	0.0
3.0014790000000002	__proteinZ_rbs	0.0	0.0	0.0
3.0014790000000002	__ribosome	92.0	0.0	0.0
3.0014790000000002	__rnase_site	1.0	0.0	0.0
3.0014790000000002	__rnase_site_ext	2.0	0.0	0.0
3.0014790000000002	p1	1.0	0.0	0.0
3.0014790000000002	proteinX	0.0	4.0	2.0
3.0014790000000002	proteinY	0.0	1.0	0.0
3.0014790000000002	rnapol	0.0	0.0	0.0
4.00401	__proteinX_rbs	4.0	0.0	0.0
4.00401	__proteinY_rbs	1.0	0.0	0.0
4.00401	__proteinZ_rbs	0.0	0.0	0.0
