Iteration	Sum_of_Squares	Accepted
1	187530.39999999997	yes
2	187530.39999999997	yes
3	187530.39999999997	yes
4	187530.39999999997	yes
5	187530.39999999997	yes
6	187530.39999999997	yes
7	227223.99999999997	no
8	187530.39999999997	yes
9	187530.39999999997	yes
10	219778.2	no
11	219778.2	no
12	219778.2	no
13	187530.39999999997	yes
14	249372.20000000004	no
15	187530.39999999997	yes
16	219778.2	no
17	44138.0	yes
18	34816.8	yes
19	34816.8	yes
20	34816.8	yes
21	34816.8	yes
22	80207.4	no
23	80207.4	no
24	182003.80000000002	no
25	182003.80000000002	no
26	182003.80000000002	no
27	80207.4	no
28	80207.4	no
29	80207.4	no
30	80207.4	no
31	39972.0	no
32	39972.0	no
33	81103.80000000002	no
34	65307.79999999999	no
35	324383.00000000006	no
36	464690.6000000001	no
37	441818.4	no
38	204197.19999999992	no
39	204197.19999999992	no
40	144994.00000000003	no
41	158195.2	no
42	155210.6	no
43	155210.6	no
44	152064.39999999997	no
45	152064.39999999997	no
46	152064.39999999997	no
47	152064.39999999997	no
48	249963.19999999995	no
49	212813.8	no
50	508697.2	no
51	401162.6	no
52	363208.0	no
53	363208.0	no
54	473586.6	no
55	317433.8	no
56	473586.6	no
57	473586.6	no
58	501303.8	no
59	505990.0	no
60	384954.4	no
61	384954.4	no
62	537085.0	no
63	537085.0	no
64	537085.0	no
65	537085.0	no
66	537085.0	no
67	537085.0	no
68	472066.2	no
69	537085.0	no
70	502616.4	no
71	502616.4	no
72	502616.4	no
73	502616.4	no
74	577584.8	no
75	475544.0	no
76	532079.0	no
77	532079.0	no
78	488424.79999999993	no
79	450570.60000000003	no
80	580823.6	no
81	580823.6	no
82	580823.6	no
83	268913.2	no
84	346290.39999999997	no
85	346290.39999999997	no
86	344561.6	no
87	275065.20000000007	no
88	282777.8	no
89	282777.8	no
90	285919.19999999995	no
91	285919.19999999995	no
92	285919.19999999995	no
93	285919.19999999995	no
94	285919.19999999995	no
95	285919.19999999995	no
96	285919.19999999995	no
97	285919.19999999995	no
98	285919.19999999995	no
99	285919.19999999995	no
100	184548.6	no
101	176294.99999999997	no
102	218808.8	no
103	247014.40000000005	no
104	248288.59999999998	no
105	232781.40000000002	no
106	456525.80000000005	no
107	545289.6000000001	no
108	545289.6000000001	no
109	545289.6000000001	no
110	545289.6000000001	no
111	441661.79999999993	no
112	490546.19999999984	no
113	434503.60000000003	no
114	472411.39999999985	no
115	470395.8	no
116	350999.80000000005	no
117	350999.80000000005	no
118	385442.2	no
119	358722.39999999997	no
120	226530.80000000002	no
121	262355.8	no
122	254845.4	no
123	245633.39999999994	no
124	245633.39999999994	no
125	188713.8	no
126	262276.8	no
127	262276.8	no
128	290741.8	no
129	290741.8	no
130	290741.8	no
131	395270.00000000006	no
132	395270.00000000006	no
133	427815.80000000005	no
134	427815.80000000005	no
135	427815.80000000005	no
136	370999.5999999999	no
137	295957.39999999997	no
138	295957.39999999997	no
139	245600.19999999995	no
140	245600.19999999995	no
141	232255.80000000002	no
142	251386.59999999998	no
143	259654.0	no
144	259654.0	no
145	232255.80000000002	no
146	232255.80000000002	no
147	232255.80000000002	no
148	175878.2	no
149	428947.0	no
150	561453.3999999999	no
151	300517.0	no
152	369334.19999999995	no
153	502514.2	no
154	486596.0	no
155	486596.0	no
156	400718.0	no
157	400718.0	no
158	400718.0	no
159	426690.6	no
160	493660.4	no
161	535475.5999999999	no
162	391712.19999999995	no
163	391712.19999999995	no
164	447980.4	no
165	406436.5999999999	no
166	412695.4	no
167	463852.6	no
168	463852.6	no
169	463852.6	no
170	632150.8	no
171	205253.19999999998	no
172	192928.79999999996	no
173	192928.79999999996	no
174	170805.40000000002	no
175	170086.39999999997	no
176	170086.39999999997	no
177	172130.0	no
178	213217.40000000002	no
179	360891.2	no
180	360891.2	no
181	261087.80000000002	no
182	261087.80000000002	no
183	348604.0	no
184	391206.2	no
185	565876.0	no
186	463717.0	no
187	463717.0	no
188	534364.0	no
189	324767.19999999995	no
190	324767.19999999995	no
191	315002.00000000006	no
192	275159.60000000003	no
193	261191.4	no
194	296928.6	no
195	299171.4	no
196	289482.8	no
197	287595.8	no
198	287595.8	no
199	298249.6	no
200	266387.4	no
201	272013.4000000001	no
202	168150.39999999997	no
203	147007.79999999996	no
204	76907.4	no
205	69390.4	no
206	105581.2	no
207	110744.20000000003	no
208	145078.80000000002	no
209	128298.0	no
210	147930.2	no
211	130343.59999999998	no
212	129378.80000000003	no
213	202309.40000000002	no
214	155604.2	no
215	202309.40000000002	no
216	187977.00000000006	no
217	186983.80000000002	no
218	186983.80000000002	no
219	153727.0	no
220	278191.00000000006	no
221	538640.7999999998	no
222	483390.6	no
223	505166.6	no
224	511707.3999999999	no
225	567433.2	no
226	576090.8	no
227	551817.6	no
228	550987.6	no
229	409663.3999999999	no
230	409663.3999999999	no
231	434248.80000000016	no
232	251091.19999999998	no
233	327575.0	no
