time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000005	__proteinX_rbs	1.000000	0.000000	0.000000
1.000005	__proteinY_rbs	0.000000	0.000000	0.000000
1.000005	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000005	__ribosome	98.000000	0.000000	0.000000
1.000005	__rnase_site	0.000000	0.000000	0.000000
1.000005	__rnase_site_ext	3.000000	0.000000	0.000000
1.000005	p1	1.000000	0.000000	0.000000
1.000005	p2	1.000000	0.000000	0.000000
1.000005	proteinX	0.000000	2.000000	0.500000
1.000005	proteinY	0.000000	1.000000	1.000000
1.000005	rnapol	0.000000	0.000000	0.000000
1.999677	__proteinX_rbs	1.000000	0.000000	0.000000
1.999677	__proteinY_rbs	2.000000	0.000000	0.000000
1.999677	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999677	__ribosome	96.000000	0.000000	0.000000
1.999677	__rnase_site	0.000000	0.000000	0.000000
1.999677	__rnase_site_ext	3.000000	0.000000	0.000000
1.999677	p1	1.000000	0.000000	0.000000
1.999677	p2	1.000000	0.000000	0.000000
1.999677	proteinX	0.000000	2.000000	1.000000
1.999677	proteinY	0.000000	2.000000	1.000000
1.999677	rnapol	0.000000	0.000000	0.000000
2.999857	__proteinX_rbs	1.000000	0.000000	0.000000
2.999857	__proteinY_rbs	0.000000	0.000000	0.000000
2.999857	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999857	__ribosome	91.000000	0.000000	0.000000
2.999857	__rnase_site	0.000000	0.000000	0.000000
2.999857	__rnase_site_ext	4.000000	0.000000	0.000000
2.999857	p1	1.000000	0.000000	0.000000
2.999857	p2	1.000000	0.000000	0.000000
2.999857	proteinX	0.000000	2.000000	1.500000
2.999857	proteinY	0.000000	2.000000	3.000000
2.999857	rnapol	0.000000	0.000000	0.000000
3.999767	__proteinX_rbs	1.000000	0.000000	0.000000
3.999767	__proteinY_rbs	1.000000	0.000000	0.000000
3.999767	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999767	__ribosome	87.000000	0.000000	0.000000
3.999767	__rnase_site	0.000000	0.000000	0.000000
3.999767	__rnase_site_ext	3.000000	0.000000	0.000000
3.999767	p1	1.000000	0.000000	0.000000
3.999767	p2	0.000000	0.000000	0.000000
3.999767	proteinX	0.000000	2.000000	2.500000
3.999767	proteinY	0.000000	2.000000	4.000000
3.999767	rnapol	0.000000	0.000000	0.000000
5.000423	__proteinX_rbs	1.000000	0.000000	0.000000
5.000423	__proteinY_rbs	1.000000	0.000000	0.000000
5.000423	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000423	__ribosome	84.000000	0.000000	0.000000
5.000423	__rnase_site	0.000000	0.000000	0.000000
5.000423	__rnase_site_ext	4.000000	0.000000	0.000000
5.000423	p1	1.000000	0.000000	0.000000
5.000423	p2	1.000000	0.000000	0.000000
5.000423	proteinX	1.000000	2.000000	2.500000
5.000423	proteinY	1.000000	4.000000	2.500000
5.000423	proteinZ	0.000000	1.000000	1.000000
5.000423	rnapol	0.000000	0.000000	0.000000
5.999311	__proteinX_rbs	2.000000	0.000000	0.000000
5.999311	__proteinY_rbs	2.000000	0.000000	0.000000
5.999311	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999311	__ribosome	82.000000	0.000000	0.000000
5.999311	__rnase_site	0.000000	0.000000	0.000000
5.999311	__rnase_site_ext	4.000000	0.000000	0.000000
5.999311	p1	1.000000	0.000000	0.000000
5.999311	p2	1.000000	0.000000	0.000000
5.999311	proteinX	3.000000	2.000000	1.500000
5.999311	proteinY	2.000000	4.000000	3.000000
5.999311	proteinZ	0.000000	2.000000	1.500000
5.999311	rnapol	0.000000	0.000000	0.000000
6.999639	__proteinX_rbs	1.000000	0.000000	0.000000
6.999639	__proteinY_rbs	2.000000	0.000000	0.000000
6.999639	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999639	__ribosome	79.000000	0.000000	0.000000
6.999639	__rnase_site	0.000000	0.000000	0.000000
6.999639	__rnase_site_ext	3.000000	0.000000	0.000000
6.999639	p1	1.000000	0.000000	0.000000
6.999639	p2	1.000000	0.000000	0.000000
6.999639	proteinX	4.000000	2.000000	2.500000
6.999639	proteinY	5.000000	4.000000	3.000000
6.999639	proteinZ	0.000000	2.000000	2.000000
6.999639	rnapol	0.000000	0.000000	0.000000
7.999502	__proteinX_rbs	2.000000	0.000000	0.000000
7.999502	__proteinY_rbs	3.000000	0.000000	0.000000
7.999502	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999502	__ribosome	78.000000	0.000000	0.000000
7.999502	__rnase_site	0.000000	0.000000	0.000000
7.999502	__rnase_site_ext	4.000000	0.000000	0.000000
7.999502	p1	1.000000	0.000000	0.000000
7.999502	p2	1.000000	0.000000	0.000000
7.999502	proteinX	6.000000	2.000000	2.000000
7.999502	proteinY	8.000000	4.000000	3.000000
7.999502	proteinZ	0.000000	2.000000	3.000000
7.999502	rnapol	1.000000	0.000000	0.000000
