time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.006997	__proteinX_rbs	0.000000	0.000000	0.000000
1.006997	__proteinY_rbs	0.000000	0.000000	0.000000
1.006997	__proteinZ_rbs	0.000000	0.000000	0.000000
1.006997	__ribosome	98.000000	0.000000	0.000000
1.006997	__rnase_site	0.000000	0.000000	0.000000
1.006997	__rnase_site_ext	1.000000	0.000000	0.000000
1.006997	p1	0.000000	0.000000	0.000000
1.006997	proteinX	0.000000	2.000000	1.000000
1.006997	rnapol	0.000000	0.000000	0.000000
1.999868	__proteinX_rbs	2.000000	0.000000	0.000000
1.999868	__proteinY_rbs	0.000000	0.000000	0.000000
1.999868	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999868	__ribosome	96.000000	0.000000	0.000000
1.999868	__rnase_site	0.000000	0.000000	0.000000
1.999868	__rnase_site_ext	2.000000	0.000000	0.000000
1.999868	p1	1.000000	0.000000	0.000000
1.999868	proteinX	0.000000	4.000000	1.000000
1.999868	rnapol	0.000000	0.000000	0.000000
3.003565	__proteinX_rbs	1.000000	0.000000	0.000000
3.003565	__proteinY_rbs	0.000000	0.000000	0.000000
3.003565	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003565	__ribosome	91.000000	0.000000	0.000000
3.003565	__rnase_site	0.000000	0.000000	0.000000
3.003565	__rnase_site_ext	2.000000	0.000000	0.000000
3.003565	p1	1.000000	0.000000	0.000000
3.003565	proteinX	0.000000	4.000000	2.250000
3.003565	rnapol	0.000000	0.000000	0.000000
3.999876	__proteinX_rbs	3.000000	0.000000	0.000000
3.999876	__proteinY_rbs	1.000000	0.000000	0.000000
3.999876	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999876	__ribosome	89.000000	0.000000	0.000000
3.999876	__rnase_site	0.000000	0.000000	0.000000
3.999876	__rnase_site_ext	3.000000	0.000000	0.000000
3.999876	p1	1.000000	0.000000	0.000000
3.999876	proteinX	0.000000	4.000000	2.750000
3.999876	proteinY	0.000000	1.000000	0.000000
3.999876	rnapol	0.000000	0.000000	0.000000
5.006753	__proteinX_rbs	1.000000	0.000000	0.000000
5.006753	__proteinY_rbs	1.000000	0.000000	0.000000
5.006753	__proteinZ_rbs	0.000000	0.000000	0.000000
5.006753	__ribosome	84.000000	0.000000	0.000000
5.006753	__rnase_site	0.000000	0.000000	0.000000
5.006753	__rnase_site_ext	3.000000	0.000000	0.000000
5.006753	p1	1.000000	0.000000	0.000000
5.006753	proteinX	1.000000	4.000000	3.500000
5.006753	proteinY	0.000000	2.000000	1.000000
5.006753	rnapol	0.000000	0.000000	0.000000
6.001360	__proteinX_rbs	1.000000	0.000000	0.000000
6.001360	__proteinY_rbs	0.000000	0.000000	0.000000
6.001360	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001360	__ribosome	80.000000	0.000000	0.000000
6.001360	__rnase_site	0.000000	0.000000	0.000000
6.001360	__rnase_site_ext	2.000000	0.000000	0.000000
6.001360	p1	1.000000	0.000000	0.000000
6.001360	proteinX	3.000000	4.000000	4.000000
6.001360	proteinY	0.000000	2.000000	2.000000
6.001360	rnapol	0.000000	0.000000	0.000000
7.002303	__proteinX_rbs	3.000000	0.000000	0.000000
7.002303	__proteinY_rbs	2.000000	0.000000	0.000000
7.002303	__proteinZ_rbs	1.000000	0.000000	0.000000
7.002303	__ribosome	79.000000	0.000000	0.000000
7.002303	__rnase_site	0.000000	0.000000	0.000000
7.002303	__rnase_site_ext	3.000000	0.000000	0.000000
7.002303	p1	1.000000	0.000000	0.000000
7.002303	proteinX	7.000000	4.000000	3.250000
7.002303	proteinY	0.000000	4.000000	2.000000
7.002303	proteinZ	0.000000	1.000000	0.000000
7.002303	rnapol	0.000000	0.000000	0.000000
7.999380	__proteinX_rbs	3.000000	0.000000	0.000000
7.999380	__proteinY_rbs	2.000000	0.000000	0.000000
7.999380	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999380	__ribosome	74.000000	0.000000	0.000000
7.999380	__rnase_site	0.000000	0.000000	0.000000
7.999380	__rnase_site_ext	4.000000	0.000000	0.000000
7.999380	p1	1.000000	0.000000	0.000000
7.999380	proteinX	10.000000	4.000000	3.250000
7.999380	proteinY	0.000000	4.000000	2.750000
7.999380	proteinZ	0.000000	1.000000	2.000000
7.999380	rnapol	0.000000	0.000000	0.000000
8.999521	__proteinX_rbs	3.000000	0.000000	0.000000
8.999521	__proteinY_rbs	2.000000	0.000000	0.000000
8.999521	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999521	__ribosome	70.000000	0.000000	0.000000
8.999521	__rnase_site	0.000000	0.000000	0.000000
8.999521	__rnase_site_ext	3.000000	0.000000	0.000000
8.999521	p1	1.000000	0.000000	0.000000
8.999521	proteinX	13.000000	4.000000	3.250000
8.999521	proteinY	1.000000	4.000000	3.500000
8.999521	proteinZ	0.000000	2.000000	1.500000
8.999521	rnapol	0.000000	0.000000	0.000000
9.999270	__proteinX_rbs	3.000000	0.000000	0.000000
