time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002188	__proteinX_rbs	0.000000	0.000000	0.000000
1.002188	__proteinY_rbs	0.000000	0.000000	0.000000
1.002188	__proteinZ_rbs	0.000000	0.000000	0.000000
1.002188	__ribosome	98.000000	0.000000	0.000000
1.002188	__rnase_site	0.000000	0.000000	0.000000
1.002188	__rnase_site_ext	1.000000	0.000000	0.000000
1.002188	p1	0.000000	0.000000	0.000000
1.002188	proteinX	0.000000	2.000000	1.000000
1.002188	rnapol	0.000000	0.000000	0.000000
1.999842	__proteinX_rbs	2.000000	0.000000	0.000000
1.999842	__proteinY_rbs	0.000000	0.000000	0.000000
1.999842	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999842	__ribosome	96.000000	0.000000	0.000000
1.999842	__rnase_site	2.000000	0.000000	0.000000
1.999842	__rnase_site_ext	2.000000	0.000000	0.000000
1.999842	p1	1.000000	0.000000	0.000000
1.999842	proteinX	0.000000	4.000000	1.000000
1.999842	rnapol	0.000000	0.000000	0.000000
3.007884	__proteinX_rbs	3.000000	0.000000	0.000000
3.007884	__proteinY_rbs	0.000000	0.000000	0.000000
3.007884	__proteinZ_rbs	0.000000	0.000000	0.000000
3.007884	__ribosome	94.000000	0.000000	0.000000
3.007884	__rnase_site	5.000000	0.000000	0.000000
3.007884	__rnase_site_ext	5.000000	0.000000	0.000000
3.007884	p1	1.000000	0.000000	0.000000
3.007884	proteinX	0.000000	5.000000	1.200000
3.007884	rnapol	0.000000	0.000000	0.000000
4.001877	__proteinX_rbs	4.000000	0.000000	0.000000
4.001877	__proteinY_rbs	0.000000	0.000000	0.000000
4.001877	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001877	__ribosome	91.000000	0.000000	0.000000
4.001877	__rnase_site	5.000000	0.000000	0.000000
4.001877	__rnase_site_ext	5.000000	0.000000	0.000000
4.001877	p1	1.000000	0.000000	0.000000
4.001877	proteinX	1.000000	5.000000	1.800000
4.001877	rnapol	0.000000	0.000000	0.000000
4.999433	__proteinX_rbs	2.000000	0.000000	0.000000
4.999433	__proteinY_rbs	1.000000	0.000000	0.000000
4.999433	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999433	__ribosome	85.000000	0.000000	0.000000
4.999433	__rnase_site	3.000000	0.000000	0.000000
4.999433	__rnase_site_ext	3.000000	0.000000	0.000000
4.999433	p1	0.000000	0.000000	0.000000
4.999433	proteinX	3.000000	6.000000	2.333333
4.999433	proteinY	0.000000	1.000000	1.000000
4.999433	rnapol	0.000000	0.000000	0.000000
5.999185	__proteinX_rbs	3.000000	0.000000	0.000000
5.999185	__proteinY_rbs	1.000000	0.000000	0.000000
5.999185	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999185	__ribosome	83.000000	0.000000	0.000000
5.999185	__rnase_site	4.000000	0.000000	0.000000
5.999185	__rnase_site_ext	6.000000	0.000000	0.000000
5.999185	p1	1.000000	0.000000	0.000000
5.999185	proteinX	6.000000	6.000000	2.500000
5.999185	proteinY	0.000000	1.000000	2.000000
5.999185	rnapol	0.000000	0.000000	0.000000
7.001354	__proteinX_rbs	5.000000	0.000000	0.000000
7.001354	__proteinY_rbs	1.000000	0.000000	0.000000
7.001354	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001354	__ribosome	82.000000	0.000000	0.000000
7.001354	__rnase_site	5.000000	0.000000	0.000000
7.001354	__rnase_site_ext	6.000000	0.000000	0.000000
7.001354	p1	1.000000	0.000000	0.000000
7.001354	proteinX	10.000000	6.000000	2.500000
7.001354	proteinY	0.000000	1.000000	3.000000
7.001354	rnapol	0.000000	0.000000	0.000000
7.999725	__proteinX_rbs	3.000000	0.000000	0.000000
7.999725	__proteinY_rbs	0.000000	0.000000	0.000000
7.999725	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999725	__ribosome	80.000000	0.000000	0.000000
7.999725	__rnase_site	4.000000	0.000000	0.000000
7.999725	__rnase_site_ext	6.000000	0.000000	0.000000
7.999725	p1	1.000000	0.000000	0.000000
7.999725	proteinX	16.000000	7.000000	2.000000
7.999725	proteinY	0.000000	2.000000	3.000000
7.999725	rnapol	0.000000	0.000000	0.000000
8.999701	__proteinX_rbs	4.000000	0.000000	0.000000
8.999701	__proteinY_rbs	2.000000	0.000000	0.000000
8.999701	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999701	__ribosome	78.000000	0.000000	0.000000
8.999701	__rnase_site	4.000000	0.000000	0.000000
8.999701	__rnase_site_ext	5.000000	0.000000	0.000000
8.999701	p1	1.000000	0.000000	0.000000
8.999701	proteinX	20.000000	8.000000	2.250000
8.999701	proteinY	2.000000	2.000000	2.000000
8.999701	rnapol	0.000000	0.000000	0.000000
10.000061	__proteinX_rbs	4.000000	0.000000	0.000000
10.000061	__proteinY_rbs	1.000000	0.000000	0.000000
10.000061	__proteinZ_rbs	0.000000	0.000000	0.000000
10.000061	__ribosome	71.000000	0.000000	0.000000
