time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001751	__proteinX_rbs	0.000000	0.000000	0.000000
1.001751	__proteinY_rbs	0.000000	0.000000	0.000000
1.001751	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001751	__ribosome	98.000000	0.000000	0.000000
1.001751	__rnase_site	0.000000	0.000000	0.000000
1.001751	__rnase_site_ext	1.000000	0.000000	0.000000
1.001751	p1	0.000000	0.000000	0.000000
1.001751	p3	1.000000	0.000000	0.000000
1.001751	proteinX	0.000000	2.000000	1.000000
1.001751	rnapol	0.000000	0.000000	0.000000
1.999509	__proteinX_rbs	2.000000	0.000000	0.000000
1.999509	__proteinY_rbs	0.000000	0.000000	0.000000
1.999509	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999509	__ribosome	96.000000	0.000000	0.000000
1.999509	__rnase_site	0.000000	0.000000	0.000000
1.999509	__rnase_site_ext	2.000000	0.000000	0.000000
1.999509	p1	1.000000	0.000000	0.000000
1.999509	p3	1.000000	0.000000	0.000000
1.999509	proteinX	0.000000	4.000000	1.000000
1.999509	rnapol	0.000000	0.000000	0.000000
2.999235	__proteinX_rbs	0.000000	0.000000	0.000000
2.999235	__proteinY_rbs	0.000000	0.000000	0.000000
2.999235	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999235	__ribosome	91.000000	0.000000	0.000000
2.999235	__rnase_site	0.000000	0.000000	0.000000
2.999235	__rnase_site_ext	1.000000	0.000000	0.000000
2.999235	p1	0.000000	0.000000	0.000000
2.999235	p3	1.000000	0.000000	0.000000
2.999235	proteinX	0.000000	4.000000	2.250000
2.999235	rnapol	0.000000	0.000000	0.000000
3.999788	__proteinX_rbs	2.000000	0.000000	0.000000
3.999788	__proteinY_rbs	0.000000	0.000000	0.000000
3.999788	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999788	__ribosome	87.000000	0.000000	0.000000
3.999788	__rnase_site	0.000000	0.000000	0.000000
3.999788	__rnase_site_ext	3.000000	0.000000	0.000000
3.999788	p1	1.000000	0.000000	0.000000
3.999788	p3	1.000000	0.000000	0.000000
3.999788	proteinX	1.000000	5.000000	2.600000
3.999788	rnapol	0.000000	0.000000	0.000000
5.000978	__proteinX_rbs	4.000000	0.000000	0.000000
5.000978	__proteinY_rbs	0.000000	0.000000	0.000000
5.000978	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000978	__ribosome	84.000000	0.000000	0.000000
5.000978	__rnase_site	0.000000	0.000000	0.000000
5.000978	__rnase_site_ext	4.000000	0.000000	0.000000
5.000978	p1	1.000000	0.000000	0.000000
5.000978	p3	1.000000	0.000000	0.000000
5.000978	proteinX	2.000000	5.000000	3.000000
5.000978	proteinY	0.000000	1.000000	1.000000
5.000978	rnapol	0.000000	0.000000	0.000000
6.001201	__proteinX_rbs	4.000000	0.000000	0.000000
6.001201	__proteinY_rbs	1.000000	0.000000	0.000000
6.001201	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001201	__ribosome	81.000000	0.000000	0.000000
6.001201	__rnase_site	0.000000	0.000000	0.000000
6.001201	__rnase_site_ext	5.000000	0.000000	0.000000
6.001201	p1	1.000000	0.000000	0.000000
6.001201	p3	1.000000	0.000000	0.000000
6.001201	proteinX	4.000000	7.000000	2.571429
6.001201	proteinY	0.000000	1.000000	1.000000
6.001201	rnapol	0.000000	0.000000	0.000000
7.000334	__proteinX_rbs	1.000000	0.000000	0.000000
7.000334	__proteinY_rbs	1.000000	0.000000	0.000000
7.000334	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000334	__ribosome	79.000000	0.000000	0.000000
7.000334	__rnase_site	0.000000	0.000000	0.000000
7.000334	__rnase_site_ext	3.000000	0.000000	0.000000
7.000334	p1	1.000000	0.000000	0.000000
7.000334	p3	1.000000	0.000000	0.000000
7.000334	proteinX	12.000000	8.000000	2.375000
7.000334	proteinY	0.000000	1.000000	2.000000
7.000334	rnapol	0.000000	0.000000	0.000000
8.000128	__proteinX_rbs	3.000000	0.000000	0.000000
8.000128	__proteinY_rbs	1.000000	0.000000	0.000000
8.000128	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000128	__ribosome	76.000000	0.000000	0.000000
8.000128	__rnase_site	0.000000	0.000000	0.000000
8.000128	__rnase_site_ext	6.000000	0.000000	0.000000
8.000128	p1	0.000000	0.000000	0.000000
8.000128	p3	1.000000	0.000000	0.000000
8.000128	proteinX	17.000000	8.000000	2.625000
8.000128	proteinY	0.000000	1.000000	3.000000
8.000128	rnapol	0.000000	0.000000	0.000000
8.999904	__proteinX_rbs	4.000000	0.000000	0.000000
8.999904	__proteinY_rbs	0.000000	0.000000	0.000000
8.999904	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999904	__ribosome	72.000000	0.000000	0.000000
8.999904	__rnase_site	0.000000	0.000000	0.000000
8.999904	__rnase_site_ext	6.000000	0.000000	0.000000
8.999904	p1	1.000000	0.000000	0.000000
