time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.001827	__proteinX_rbs	0.0	0.0	0.0
1.001827	__proteinY_rbs	0.0	0.0	0.0
1.001827	__proteinZ_rbs	0.0	0.0	0.0
1.001827	__ribosome	98.0	0.0	0.0
1.001827	__rnase_site	0.0	0.0	0.0
1.001827	__rnase_site_ext	1.0	0.0	0.0
1.001827	p1	0.0	0.0	0.0
1.001827	p2	1.0	0.0	0.0
1.001827	proteinX	0.0	2.0	1.0
1.001827	rnapol	0.0	0.0	0.0
1.999585	__proteinX_rbs	2.0	0.0	0.0
1.999585	__proteinY_rbs	0.0	0.0	0.0
1.999585	__proteinZ_rbs	0.0	0.0	0.0
1.999585	__ribosome	96.0	0.0	0.0
1.999585	__rnase_site	0.0	0.0	0.0
1.999585	__rnase_site_ext	2.0	0.0	0.0
1.999585	p1	1.0	0.0	0.0
1.999585	p2	1.0	0.0	0.0
1.999585	proteinX	0.0	4.0	1.0
1.999585	rnapol	0.0	0.0	0.0
3.001207	__proteinX_rbs	4.0	0.0	0.0
3.001207	__proteinY_rbs	0.0	0.0	0.0
3.001207	__proteinZ_rbs	0.0	0.0	0.0
3.001207	__ribosome	94.0	0.0	0.0
3.001207	__rnase_site	0.0	0.0	0.0
3.001207	__rnase_site_ext	4.0	0.0	0.0
3.001207	p1	1.0	0.0	0.0
3.001207	p2	1.0	0.0	0.0
3.001207	proteinX	0.0	4.0	1.5
3.001207	rnapol	0.0	0.0	0.0
3.999315	__proteinX_rbs	1.0	0.0	0.0
3.999315	__proteinY_rbs	0.0	0.0	0.0
