time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.005542	__proteinX_rbs	0.000000	0.000000	0.000000
1.005542	__proteinY_rbs	0.000000	0.000000	0.000000
1.005542	__proteinZ_rbs	0.000000	0.000000	0.000000
1.005542	__ribosome	98.000000	0.000000	0.000000
1.005542	__rnase_site	0.000000	0.000000	0.000000
1.005542	__rnase_site_ext	1.000000	0.000000	0.000000
1.005542	p1	0.000000	0.000000	0.000000
1.005542	p2	1.000000	0.000000	0.000000
1.005542	proteinX	0.000000	2.000000	1.000000
1.005542	rnapol	0.000000	0.000000	0.000000
2.002795	__proteinX_rbs	2.000000	0.000000	0.000000
2.002795	__proteinY_rbs	0.000000	0.000000	0.000000
2.002795	__proteinZ_rbs	0.000000	0.000000	0.000000
2.002795	__ribosome	96.000000	0.000000	0.000000
2.002795	__rnase_site	2.000000	0.000000	0.000000
2.002795	__rnase_site_ext	2.000000	0.000000	0.000000
2.002795	p1	1.000000	0.000000	0.000000
2.002795	p2	1.000000	0.000000	0.000000
2.002795	proteinX	0.000000	4.000000	1.000000
2.002795	rnapol	0.000000	0.000000	0.000000
3.001339	__proteinX_rbs	2.000000	0.000000	0.000000
3.001339	__proteinY_rbs	0.000000	0.000000	0.000000
3.001339	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001339	__ribosome	92.000000	0.000000	0.000000
3.001339	__rnase_site	3.000000	0.000000	0.000000
3.001339	__rnase_site_ext	3.000000	0.000000	0.000000
3.001339	p1	0.000000	0.000000	0.000000
3.001339	p2	1.000000	0.000000	0.000000
3.001339	proteinX	0.000000	4.000000	2.000000
3.001339	rnapol	0.000000	0.000000	0.000000
3.999783	__proteinX_rbs	2.000000	0.000000	0.000000
3.999783	__proteinY_rbs	0.000000	0.000000	0.000000
3.999783	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999783	__ribosome	87.000000	0.000000	0.000000
3.999783	__rnase_site	2.000000	0.000000	0.000000
3.999783	__rnase_site_ext	3.000000	0.000000	0.000000
3.999783	p1	1.000000	0.000000	0.000000
3.999783	p2	0.000000	0.000000	0.000000
3.999783	proteinX	1.000000	5.000000	2.600000
3.999783	rnapol	1.000000	0.000000	0.000000
4.999503	__proteinX_rbs	2.000000	0.000000	0.000000
4.999503	__proteinY_rbs	0.000000	0.000000	0.000000
4.999503	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999503	__ribosome	83.000000	0.000000	0.000000
4.999503	__rnase_site	2.000000	0.000000	0.000000
4.999503	__rnase_site_ext	4.000000	0.000000	0.000000
4.999503	p1	1.000000	0.000000	0.000000
4.999503	p2	1.000000	0.000000	0.000000
4.999503	proteinX	2.000000	5.000000	3.400000
4.999503	rnapol	0.000000	0.000000	0.000000
6.000235	__proteinX_rbs	3.000000	0.000000	0.000000
6.000235	__proteinY_rbs	0.000000	0.000000	0.000000
6.000235	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000235	__ribosome	82.000000	0.000000	0.000000
6.000235	__rnase_site	5.000000	0.000000	0.000000
6.000235	__rnase_site_ext	5.000000	0.000000	0.000000
6.000235	p1	1.000000	0.000000	0.000000
6.000235	p2	1.000000	0.000000	0.000000
6.000235	proteinX	6.000000	7.000000	2.571429
6.000235	rnapol	0.000000	0.000000	0.000000
6.999308	__proteinX_rbs	2.000000	0.000000	0.000000
6.999308	__proteinY_rbs	0.000000	0.000000	0.000000
6.999308	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999308	__ribosome	80.000000	0.000000	0.000000
6.999308	__rnase_site	3.000000	0.000000	0.000000
6.999308	__rnase_site_ext	3.000000	0.000000	0.000000
6.999308	p1	0.000000	0.000000	0.000000
6.999308	p2	0.000000	0.000000	0.000000
6.999308	proteinX	11.000000	6.000000	3.333333
6.999308	rnapol	0.000000	0.000000	0.000000
8.001590	__proteinX_rbs	4.000000	0.000000	0.000000
8.001590	__proteinY_rbs	0.000000	0.000000	0.000000
8.001590	__proteinZ_rbs	0.000000	0.000000	0.000000
8.001590	__ribosome	79.000000	0.000000	0.000000
8.001590	__rnase_site	5.000000	0.000000	0.000000
8.001590	__rnase_site_ext	5.000000	0.000000	0.000000
8.001590	p1	0.000000	0.000000	0.000000
8.001590	p2	0.000000	0.000000	0.000000
8.001590	proteinX	15.000000	7.000000	3.000000
8.001590	rnapol	0.000000	0.000000	0.000000
8.999265	__proteinX_rbs	5.000000	0.000000	0.000000
8.999265	__proteinY_rbs	0.000000	0.000000	0.000000
8.999265	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999265	__ribosome	81.000000	0.000000	0.000000
8.999265	__rnase_site	6.000000	0.000000	0.000000
8.999265	__rnase_site_ext	6.000000	0.000000	0.000000
8.999265	p1	1.000000	0.000000	0.000000
8.999265	p2	0.000000	0.000000	0.000000
8.999265	proteinX	22.000000	7.000000	2.714286
8.999265	rnapol	0.000000	0.000000	0.000000
9.999505	__proteinX_rbs	4.000000	0.000000	0.000000
