time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.000752	__proteinX_rbs	0.0	0.0	0.0
1.000752	__proteinY_rbs	0.0	0.0	0.0
1.000752	__proteinZ_rbs	0.0	0.0	0.0
1.000752	__ribosome	98.0	0.0	0.0
1.000752	__rnase_site	0.0	0.0	0.0
1.000752	__rnase_site_ext	1.0	0.0	0.0
1.000752	p1	1.0	0.0	0.0
1.000752	proteinX	0.0	2.0	1.0
1.000752	rnapol	1.0	0.0	0.0
2.004284	__proteinX_rbs	2.0	0.0	0.0
2.004284	__proteinY_rbs	0.0	0.0	0.0
2.004284	__proteinZ_rbs	0.0	0.0	0.0
2.004284	__ribosome	96.0	0.0	0.0
2.004284	__rnase_site	0.0	0.0	0.0
2.004284	__rnase_site_ext	2.0	0.0	0.0
2.004284	p1	1.0	0.0	0.0
2.004284	proteinX	0.0	4.0	1.0
2.004284	rnapol	0.0	0.0	0.0
3.0011189999999996	__proteinX_rbs	1.0	0.0	0.0
3.0011189999999996	__proteinY_rbs	0.0	0.0	0.0
3.0011189999999996	__proteinZ_rbs	0.0	0.0	0.0
3.0011189999999996	__ribosome	92.0	0.0	0.0
3.0011189999999996	__rnase_site	0.0	0.0	0.0
3.0011189999999996	__rnase_site_ext	2.0	0.0	0.0
3.0011189999999996	p1	1.0	0.0	0.0
3.0011189999999996	proteinX	0.0	4.0	2.0
3.0011189999999996	rnapol	0.0	0.0	0.0
4.000026999999999	__proteinX_rbs	4.0	0.0	0.0
4.000026999999999	__proteinY_rbs	1.0	0.0	0.0
4.000026999999999	__proteinZ_rbs	0.0	0.0	0.0
