time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999931	__proteinX_rbs	0.000000	0.000000	0.000000
0.999931	__proteinY_rbs	0.000000	0.000000	0.000000
0.999931	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999931	__ribosome	98.000000	0.000000	0.000000
0.999931	__rnase_site	0.000000	0.000000	0.000000
0.999931	__rnase_site_ext	1.000000	0.000000	0.000000
0.999931	p1	0.000000	0.000000	0.000000
0.999931	p3	1.000000	0.000000	0.000000
0.999931	proteinX	0.000000	2.000000	1.000000
0.999931	rnapol	0.000000	0.000000	0.000000
2.005092	__proteinX_rbs	2.000000	0.000000	0.000000
2.005092	__proteinY_rbs	0.000000	0.000000	0.000000
2.005092	__proteinZ_rbs	0.000000	0.000000	0.000000
2.005092	__ribosome	96.000000	0.000000	0.000000
2.005092	__rnase_site	0.000000	0.000000	0.000000
2.005092	__rnase_site_ext	2.000000	0.000000	0.000000
2.005092	p1	1.000000	0.000000	0.000000
2.005092	p3	1.000000	0.000000	0.000000
2.005092	proteinX	0.000000	4.000000	1.000000
2.005092	rnapol	0.000000	0.000000	0.000000
3.001631	__proteinX_rbs	1.000000	0.000000	0.000000
3.001631	__proteinY_rbs	0.000000	0.000000	0.000000
3.001631	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001631	__ribosome	92.000000	0.000000	0.000000
3.001631	__rnase_site	1.000000	0.000000	0.000000
3.001631	__rnase_site_ext	3.000000	0.000000	0.000000
3.001631	p1	1.000000	0.000000	0.000000
3.001631	p3	1.000000	0.000000	0.000000
3.001631	proteinX	0.000000	4.000000	2.000000
3.001631	rnapol	0.000000	0.000000	0.000000
4.003676	__proteinX_rbs	2.000000	0.000000	0.000000
4.003676	__proteinY_rbs	1.000000	0.000000	0.000000
4.003676	__proteinZ_rbs	0.000000	0.000000	0.000000
4.003676	__ribosome	88.000000	0.000000	0.000000
4.003676	__rnase_site	2.000000	0.000000	0.000000
4.003676	__rnase_site_ext	2.000000	0.000000	0.000000
4.003676	p1	1.000000	0.000000	0.000000
4.003676	p3	1.000000	0.000000	0.000000
4.003676	proteinX	1.000000	4.000000	3.000000
4.003676	proteinY	0.000000	1.000000	0.000000
4.003676	rnapol	0.000000	0.000000	0.000000
5.000998	__proteinX_rbs	2.000000	0.000000	0.000000
5.000998	__proteinY_rbs	1.000000	0.000000	0.000000
5.000998	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000998	__ribosome	83.000000	0.000000	0.000000
5.000998	__rnase_site	3.000000	0.000000	0.000000
5.000998	__rnase_site_ext	3.000000	0.000000	0.000000
5.000998	p1	1.000000	0.000000	0.000000
5.000998	p3	1.000000	0.000000	0.000000
5.000998	proteinX	2.000000	5.000000	3.000000
5.000998	proteinY	0.000000	2.000000	1.000000
5.000998	rnapol	0.000000	0.000000	0.000000
5.999066	__proteinX_rbs	3.000000	0.000000	0.000000
5.999066	__proteinY_rbs	2.000000	0.000000	0.000000
5.999066	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999066	__ribosome	81.000000	0.000000	0.000000
5.999066	__rnase_site	4.000000	0.000000	0.000000
5.999066	__rnase_site_ext	3.000000	0.000000	0.000000
5.999066	p1	1.000000	0.000000	0.000000
5.999066	p3	1.000000	0.000000	0.000000
5.999066	proteinX	6.000000	6.000000	2.666667
5.999066	proteinY	0.000000	2.000000	1.500000
5.999066	rnapol	0.000000	0.000000	0.000000
7.001617	__proteinX_rbs	3.000000	0.000000	0.000000
7.001617	__proteinY_rbs	2.000000	0.000000	0.000000
7.001617	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001617	__ribosome	80.000000	0.000000	0.000000
7.001617	__rnase_site	4.000000	0.000000	0.000000
7.001617	__rnase_site_ext	5.000000	0.000000	0.000000
7.001617	p1	1.000000	0.000000	0.000000
7.001617	p3	0.000000	0.000000	0.000000
7.001617	proteinX	11.000000	6.000000	2.500000
7.001617	proteinY	0.000000	2.000000	2.500000
7.001617	rnapol	0.000000	0.000000	0.000000
8.002522	__proteinX_rbs	2.000000	0.000000	0.000000
8.002522	__proteinY_rbs	0.000000	0.000000	0.000000
8.002522	__proteinZ_rbs	1.000000	0.000000	0.000000
8.002522	__ribosome	78.000000	0.000000	0.000000
8.002522	__rnase_site	5.000000	0.000000	0.000000
8.002522	__rnase_site_ext	2.000000	0.000000	0.000000
8.002522	p1	1.000000	0.000000	0.000000
8.002522	p3	1.000000	0.000000	0.000000
8.002522	proteinX	16.000000	5.000000	3.000000
8.002522	proteinY	1.000000	2.000000	3.500000
8.002522	proteinZ	0.000000	1.000000	0.000000
8.002522	rnapol	0.000000	0.000000	0.000000
8.999022	__proteinX_rbs	2.000000	0.000000	0.000000
8.999022	__proteinY_rbs	2.000000	0.000000	0.000000
8.999022	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999022	__ribosome	75.000000	0.000000	0.000000
8.999022	__rnase_site	6.000000	0.000000	0.000000
