time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999787	__proteinX_rbs	0.000000	0.000000	0.000000
0.999787	__proteinY_rbs	0.000000	0.000000	0.000000
0.999787	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999787	__ribosome	98.000000	0.000000	0.000000
0.999787	__rnase_site	1.000000	0.000000	0.000000
0.999787	__rnase_site_ext	1.000000	0.000000	0.000000
0.999787	p1	0.000000	0.000000	0.000000
0.999787	p3	1.000000	0.000000	0.000000
0.999787	proteinX	0.000000	2.000000	1.000000
0.999787	rnapol	0.000000	0.000000	0.000000
2.004819	__proteinX_rbs	2.000000	0.000000	0.000000
2.004819	__proteinY_rbs	0.000000	0.000000	0.000000
2.004819	__proteinZ_rbs	0.000000	0.000000	0.000000
2.004819	__ribosome	96.000000	0.000000	0.000000
2.004819	__rnase_site	2.000000	0.000000	0.000000
2.004819	__rnase_site_ext	2.000000	0.000000	0.000000
2.004819	p1	1.000000	0.000000	0.000000
2.004819	p3	1.000000	0.000000	0.000000
2.004819	proteinX	0.000000	4.000000	1.000000
2.004819	rnapol	0.000000	0.000000	0.000000
2.999072	__proteinX_rbs	2.000000	0.000000	0.000000
2.999072	__proteinY_rbs	0.000000	0.000000	0.000000
2.999072	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999072	__ribosome	92.000000	0.000000	0.000000
2.999072	__rnase_site	3.000000	0.000000	0.000000
2.999072	__rnase_site_ext	3.000000	0.000000	0.000000
2.999072	p1	1.000000	0.000000	0.000000
2.999072	p3	1.000000	0.000000	0.000000
2.999072	proteinX	0.000000	4.000000	2.000000
2.999072	rnapol	0.000000	0.000000	0.000000
3.999968	__proteinX_rbs	3.000000	0.000000	0.000000
3.999968	__proteinY_rbs	1.000000	0.000000	0.000000
3.999968	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999968	__ribosome	87.000000	0.000000	0.000000
3.999968	__rnase_site	3.000000	0.000000	0.000000
3.999968	__rnase_site_ext	3.000000	0.000000	0.000000
3.999968	p1	1.000000	0.000000	0.000000
3.999968	p3	1.000000	0.000000	0.000000
3.999968	proteinX	0.000000	4.000000	3.000000
3.999968	proteinY	0.000000	1.000000	1.000000
3.999968	rnapol	0.000000	0.000000	0.000000
5.001144	__proteinX_rbs	4.000000	0.000000	0.000000
5.001144	__proteinY_rbs	0.000000	0.000000	0.000000
5.001144	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001144	__ribosome	84.000000	0.000000	0.000000
5.001144	__rnase_site	4.000000	0.000000	0.000000
5.001144	__rnase_site_ext	4.000000	0.000000	0.000000
5.001144	p1	1.000000	0.000000	0.000000
5.001144	p3	1.000000	0.000000	0.000000
5.001144	proteinX	2.000000	5.000000	2.800000
5.001144	proteinY	0.000000	1.000000	2.000000
5.001144	rnapol	0.000000	0.000000	0.000000
6.000025	__proteinX_rbs	2.000000	0.000000	0.000000
6.000025	__proteinY_rbs	0.000000	0.000000	0.000000
6.000025	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000025	__ribosome	80.000000	0.000000	0.000000
6.000025	__rnase_site	5.000000	0.000000	0.000000
6.000025	__rnase_site_ext	5.000000	0.000000	0.000000
6.000025	p1	1.000000	0.000000	0.000000
6.000025	p3	1.000000	0.000000	0.000000
6.000025	proteinX	6.000000	7.000000	2.428571
6.000025	proteinY	0.000000	1.000000	3.000000
6.000025	rnapol	0.000000	0.000000	0.000000
6.999330	__proteinX_rbs	4.000000	0.000000	0.000000
6.999330	__proteinY_rbs	1.000000	0.000000	0.000000
6.999330	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999330	__ribosome	77.000000	0.000000	0.000000
6.999330	__rnase_site	6.000000	0.000000	0.000000
6.999330	__rnase_site_ext	6.000000	0.000000	0.000000
6.999330	p1	1.000000	0.000000	0.000000
6.999330	p3	0.000000	0.000000	0.000000
6.999330	proteinX	10.000000	7.000000	2.857143
6.999330	proteinY	0.000000	1.000000	3.000000
6.999330	rnapol	0.000000	0.000000	0.000000
7.999840	__proteinX_rbs	6.000000	0.000000	0.000000
7.999840	__proteinY_rbs	0.000000	0.000000	0.000000
7.999840	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999840	__ribosome	76.000000	0.000000	0.000000
7.999840	__rnase_site	6.000000	0.000000	0.000000
7.999840	__rnase_site_ext	6.000000	0.000000	0.000000
7.999840	p1	1.000000	0.000000	0.000000
7.999840	p3	1.000000	0.000000	0.000000
7.999840	proteinX	16.000000	8.000000	2.250000
7.999840	proteinY	0.000000	1.000000	5.000000
7.999840	proteinZ	0.000000	1.000000	1.000000
7.999840	rnapol	0.000000	0.000000	0.000000
9.000556	__proteinX_rbs	4.000000	0.000000	0.000000
9.000556	__proteinY_rbs	1.000000	0.000000	0.000000
9.000556	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000556	__ribosome	73.000000	0.000000	0.000000
9.000556	__rnase_site	6.000000	0.000000	0.000000
