time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.006693	__proteinX_rbs	0.000000	0.000000	0.000000
1.006693	__proteinY_rbs	0.000000	0.000000	0.000000
1.006693	__proteinZ_rbs	0.000000	0.000000	0.000000
1.006693	__ribosome	98.000000	0.000000	0.000000
1.006693	__rnase_site	1.000000	0.000000	0.000000
1.006693	__rnase_site_ext	1.000000	0.000000	0.000000
1.006693	p1	0.000000	0.000000	0.000000
1.006693	p2	1.000000	0.000000	0.000000
1.006693	p3	1.000000	0.000000	0.000000
1.006693	proteinX	0.000000	2.000000	1.000000
1.006693	rnapol	0.000000	0.000000	0.000000
1.999732	__proteinX_rbs	2.000000	0.000000	0.000000
1.999732	__proteinY_rbs	0.000000	0.000000	0.000000
1.999732	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999732	__ribosome	96.000000	0.000000	0.000000
1.999732	__rnase_site	2.000000	0.000000	0.000000
1.999732	__rnase_site_ext	2.000000	0.000000	0.000000
1.999732	p1	1.000000	0.000000	0.000000
1.999732	p2	1.000000	0.000000	0.000000
1.999732	p3	1.000000	0.000000	0.000000
1.999732	proteinX	0.000000	4.000000	1.000000
1.999732	rnapol	0.000000	0.000000	0.000000
3.000259	__proteinX_rbs	2.000000	0.000000	0.000000
3.000259	__proteinY_rbs	0.000000	0.000000	0.000000
3.000259	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000259	__ribosome	93.000000	0.000000	0.000000
3.000259	__rnase_site	6.000000	0.000000	0.000000
3.000259	__rnase_site_ext	5.000000	0.000000	0.000000
3.000259	p1	1.000000	0.000000	0.000000
3.000259	p2	1.000000	0.000000	0.000000
3.000259	p3	1.000000	0.000000	0.000000
3.000259	proteinX	0.000000	4.000000	1.750000
3.000259	rnapol	0.000000	0.000000	0.000000
3.999833	__proteinX_rbs	3.000000	0.000000	0.000000
3.999833	__proteinY_rbs	0.000000	0.000000	0.000000
3.999833	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999833	__ribosome	89.000000	0.000000	0.000000
3.999833	__rnase_site	7.000000	0.000000	0.000000
3.999833	__rnase_site_ext	5.000000	0.000000	0.000000
3.999833	p1	0.000000	0.000000	0.000000
3.999833	p2	1.000000	0.000000	0.000000
3.999833	p3	1.000000	0.000000	0.000000
3.999833	proteinX	1.000000	5.000000	2.200000
3.999833	rnapol	0.000000	0.000000	0.000000
5.001140	__proteinX_rbs	5.000000	0.000000	0.000000
5.001140	__proteinY_rbs	0.000000	0.000000	0.000000
5.001140	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001140	__ribosome	87.000000	0.000000	0.000000
5.001140	__rnase_site	10.000000	0.000000	0.000000
5.001140	__rnase_site_ext	6.000000	0.000000	0.000000
5.001140	p1	1.000000	0.000000	0.000000
5.001140	p2	0.000000	0.000000	0.000000
5.001140	p3	1.000000	0.000000	0.000000
5.001140	proteinX	3.000000	7.000000	1.857143
5.001140	rnapol	0.000000	0.000000	0.000000
6.000049	__proteinX_rbs	5.000000	0.000000	0.000000
6.000049	__proteinY_rbs	0.000000	0.000000	0.000000
6.000049	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000049	__ribosome	82.000000	0.000000	0.000000
6.000049	__rnase_site	10.000000	0.000000	0.000000
6.000049	__rnase_site_ext	5.000000	0.000000	0.000000
6.000049	p1	1.000000	0.000000	0.000000
6.000049	p2	0.000000	0.000000	0.000000
6.000049	p3	1.000000	0.000000	0.000000
6.000049	proteinX	6.000000	8.000000	2.250000
6.000049	rnapol	0.000000	0.000000	0.000000
6.999158	__proteinX_rbs	5.000000	0.000000	0.000000
6.999158	__proteinY_rbs	0.000000	0.000000	0.000000
6.999158	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999158	__ribosome	78.000000	0.000000	0.000000
6.999158	__rnase_site	13.000000	0.000000	0.000000
6.999158	__rnase_site_ext	7.000000	0.000000	0.000000
6.999158	p1	0.000000	0.000000	0.000000
6.999158	p2	1.000000	0.000000	0.000000
6.999158	p3	1.000000	0.000000	0.000000
6.999158	proteinX	11.000000	9.000000	2.444444
6.999158	rnapol	0.000000	0.000000	0.000000
7.999523	__proteinX_rbs	6.000000	0.000000	0.000000
7.999523	__proteinY_rbs	0.000000	0.000000	0.000000
7.999523	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999523	__ribosome	75.000000	0.000000	0.000000
7.999523	__rnase_site	14.000000	0.000000	0.000000
7.999523	__rnase_site_ext	7.000000	0.000000	0.000000
7.999523	p1	1.000000	0.000000	0.000000
7.999523	p2	0.000000	0.000000	0.000000
7.999523	p3	1.000000	0.000000	0.000000
7.999523	proteinX	15.000000	10.000000	2.500000
7.999523	rnapol	0.000000	0.000000	0.000000
9.000419	__proteinX_rbs	7.000000	0.000000	0.000000
9.000419	__proteinY_rbs	0.000000	0.000000	0.000000
9.000419	__proteinZ_rbs	0.000000	0.000000	0.000000
