time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002950	__proteinX_rbs	0.000000	0.000000	0.000000
1.002950	__proteinY_rbs	0.000000	0.000000	0.000000
1.002950	__proteinZ_rbs	0.000000	0.000000	0.000000
1.002950	__ribosome	98.000000	0.000000	0.000000
1.002950	__rnase_site	0.000000	0.000000	0.000000
1.002950	__rnase_site_ext	1.000000	0.000000	0.000000
1.002950	p1	0.000000	0.000000	0.000000
1.002950	p3	1.000000	0.000000	0.000000
1.002950	proteinX	0.000000	2.000000	1.000000
1.002950	rnapol	0.000000	0.000000	0.000000
2.000867	__proteinX_rbs	2.000000	0.000000	0.000000
2.000867	__proteinY_rbs	0.000000	0.000000	0.000000
2.000867	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000867	__ribosome	96.000000	0.000000	0.000000
2.000867	__rnase_site	2.000000	0.000000	0.000000
2.000867	__rnase_site_ext	2.000000	0.000000	0.000000
2.000867	p1	1.000000	0.000000	0.000000
2.000867	p3	1.000000	0.000000	0.000000
2.000867	proteinX	0.000000	4.000000	1.000000
2.000867	rnapol	0.000000	0.000000	0.000000
2.999200	__proteinX_rbs	3.000000	0.000000	0.000000
2.999200	__proteinY_rbs	0.000000	0.000000	0.000000
2.999200	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999200	__ribosome	92.000000	0.000000	0.000000
2.999200	__rnase_site	3.000000	0.000000	0.000000
2.999200	__rnase_site_ext	3.000000	0.000000	0.000000
2.999200	p1	1.000000	0.000000	0.000000
2.999200	p3	1.000000	0.000000	0.000000
2.999200	proteinX	0.000000	5.000000	1.600000
2.999200	rnapol	0.000000	0.000000	0.000000
4.005044	__proteinX_rbs	4.000000	0.000000	0.000000
4.005044	__proteinY_rbs	0.000000	0.000000	0.000000
4.005044	__proteinZ_rbs	0.000000	0.000000	0.000000
4.005044	__ribosome	88.000000	0.000000	0.000000
4.005044	__rnase_site	4.000000	0.000000	0.000000
4.005044	__rnase_site_ext	4.000000	0.000000	0.000000
4.005044	p1	1.000000	0.000000	0.000000
4.005044	p3	1.000000	0.000000	0.000000
4.005044	proteinX	1.000000	6.000000	2.000000
4.005044	rnapol	1.000000	0.000000	0.000000
4.999657	__proteinX_rbs	6.000000	0.000000	0.000000
4.999657	__proteinY_rbs	0.000000	0.000000	0.000000
4.999657	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999657	__ribosome	85.000000	0.000000	0.000000
4.999657	__rnase_site	6.000000	0.000000	0.000000
4.999657	__rnase_site_ext	7.000000	0.000000	0.000000
4.999657	p1	1.000000	0.000000	0.000000
4.999657	p3	1.000000	0.000000	0.000000
4.999657	proteinX	3.000000	8.000000	1.875000
4.999657	rnapol	0.000000	0.000000	0.000000
6.000779	__proteinX_rbs	5.000000	0.000000	0.000000
6.000779	__proteinY_rbs	0.000000	0.000000	0.000000
6.000779	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000779	__ribosome	79.000000	0.000000	0.000000
6.000779	__rnase_site	7.000000	0.000000	0.000000
6.000779	__rnase_site_ext	7.000000	0.000000	0.000000
6.000779	p1	1.000000	0.000000	0.000000
6.000779	p3	1.000000	0.000000	0.000000
6.000779	proteinX	6.000000	9.000000	2.333333
6.000779	rnapol	0.000000	0.000000	0.000000
7.000954	__proteinX_rbs	4.000000	0.000000	0.000000
7.000954	__proteinY_rbs	0.000000	0.000000	0.000000
7.000954	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000954	__ribosome	75.000000	0.000000	0.000000
7.000954	__rnase_site	5.000000	0.000000	0.000000
7.000954	__rnase_site_ext	6.000000	0.000000	0.000000
7.000954	p1	0.000000	0.000000	0.000000
7.000954	p3	1.000000	0.000000	0.000000
7.000954	proteinX	11.000000	10.000000	2.500000
7.000954	rnapol	0.000000	0.000000	0.000000
8.001687	__proteinX_rbs	8.000000	0.000000	0.000000
8.001687	__proteinY_rbs	0.000000	0.000000	0.000000
8.001687	__proteinZ_rbs	0.000000	0.000000	0.000000
8.001687	__ribosome	75.000000	0.000000	0.000000
8.001687	__rnase_site	10.000000	0.000000	0.000000
8.001687	__rnase_site_ext	10.000000	0.000000	0.000000
8.001687	p1	0.000000	0.000000	0.000000
8.001687	p3	1.000000	0.000000	0.000000
8.001687	proteinX	17.000000	11.000000	2.272727
8.001687	rnapol	0.000000	0.000000	0.000000
8.999238	__proteinX_rbs	8.000000	0.000000	0.000000
8.999238	__proteinY_rbs	0.000000	0.000000	0.000000
8.999238	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999238	__ribosome	75.000000	0.000000	0.000000
8.999238	__rnase_site	9.000000	0.000000	0.000000
8.999238	__rnase_site_ext	9.000000	0.000000	0.000000
8.999238	p1	1.000000	0.000000	0.000000
8.999238	p3	1.000000	0.000000	0.000000
8.999238	proteinX	26.000000	12.000000	2.083333
8.999238	rnapol	1.000000	0.000000	0.000000
9.999642	__proteinX_rbs	8.000000	0.000000	0.000000
