time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.005025	__proteinX_rbs	0.000000	0.000000	0.000000
1.005025	__proteinY_rbs	0.000000	0.000000	0.000000
1.005025	__proteinZ_rbs	0.000000	0.000000	0.000000
1.005025	__ribosome	98.000000	0.000000	0.000000
1.005025	__rnase_site	0.000000	0.000000	0.000000
1.005025	__rnase_site_ext	1.000000	0.000000	0.000000
1.005025	p1	0.000000	0.000000	0.000000
1.005025	p2	1.000000	0.000000	0.000000
1.005025	proteinX	0.000000	2.000000	1.000000
1.005025	rnapol	0.000000	0.000000	0.000000
2.000771	__proteinX_rbs	2.000000	0.000000	0.000000
2.000771	__proteinY_rbs	0.000000	0.000000	0.000000
2.000771	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000771	__ribosome	96.000000	0.000000	0.000000
2.000771	__rnase_site	2.000000	0.000000	0.000000
2.000771	__rnase_site_ext	2.000000	0.000000	0.000000
2.000771	p1	1.000000	0.000000	0.000000
2.000771	p2	1.000000	0.000000	0.000000
2.000771	proteinX	0.000000	4.000000	1.000000
2.000771	rnapol	0.000000	0.000000	0.000000
3.003141	__proteinX_rbs	3.000000	0.000000	0.000000
3.003141	__proteinY_rbs	0.000000	0.000000	0.000000
3.003141	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003141	__ribosome	94.000000	0.000000	0.000000
3.003141	__rnase_site	4.000000	0.000000	0.000000
3.003141	__rnase_site_ext	4.000000	0.000000	0.000000
3.003141	p1	1.000000	0.000000	0.000000
3.003141	p2	1.000000	0.000000	0.000000
3.003141	proteinX	0.000000	4.000000	1.500000
3.003141	rnapol	0.000000	0.000000	0.000000
4.003475	__proteinX_rbs	0.000000	0.000000	0.000000
4.003475	__proteinY_rbs	0.000000	0.000000	0.000000
4.003475	__proteinZ_rbs	0.000000	0.000000	0.000000
4.003475	__ribosome	90.000000	0.000000	0.000000
4.003475	__rnase_site	2.000000	0.000000	0.000000
4.003475	__rnase_site_ext	2.000000	0.000000	0.000000
4.003475	p1	0.000000	0.000000	0.000000
4.003475	p2	0.000000	0.000000	0.000000
4.003475	proteinX	0.000000	3.000000	3.000000
4.003475	proteinY	0.000000	1.000000	1.000000
4.003475	rnapol	0.000000	0.000000	0.000000
4.999610	__proteinX_rbs	2.000000	0.000000	0.000000
4.999610	__proteinY_rbs	0.000000	0.000000	0.000000
4.999610	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999610	__ribosome	88.000000	0.000000	0.000000
4.999610	__rnase_site	3.000000	0.000000	0.000000
4.999610	__rnase_site_ext	3.000000	0.000000	0.000000
4.999610	p1	1.000000	0.000000	0.000000
4.999610	p2	1.000000	0.000000	0.000000
4.999610	proteinX	3.000000	4.000000	2.500000
4.999610	proteinY	0.000000	1.000000	2.000000
4.999610	rnapol	0.000000	0.000000	0.000000
6.000357	__proteinX_rbs	3.000000	0.000000	0.000000
6.000357	__proteinY_rbs	0.000000	0.000000	0.000000
6.000357	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000357	__ribosome	85.000000	0.000000	0.000000
6.000357	__rnase_site	3.000000	0.000000	0.000000
6.000357	__rnase_site_ext	3.000000	0.000000	0.000000
6.000357	p1	1.000000	0.000000	0.000000
6.000357	p2	1.000000	0.000000	0.000000
6.000357	proteinX	4.000000	4.000000	2.750000
6.000357	proteinY	0.000000	2.000000	2.000000
6.000357	rnapol	0.000000	0.000000	0.000000
7.002428	__proteinX_rbs	2.000000	0.000000	0.000000
7.002428	__proteinY_rbs	2.000000	0.000000	0.000000
7.002428	__proteinZ_rbs	1.000000	0.000000	0.000000
7.002428	__ribosome	81.000000	0.000000	0.000000
7.002428	__rnase_site	4.000000	0.000000	0.000000
7.002428	__rnase_site_ext	3.000000	0.000000	0.000000
7.002428	p1	1.000000	0.000000	0.000000
7.002428	p2	1.000000	0.000000	0.000000
7.002428	proteinX	7.000000	4.000000	3.250000
7.002428	proteinY	0.000000	2.000000	3.000000
7.002428	proteinZ	0.000000	1.000000	0.000000
7.002428	rnapol	0.000000	0.000000	0.000000
7.999359	__proteinX_rbs	3.000000	0.000000	0.000000
7.999359	__proteinY_rbs	1.000000	0.000000	0.000000
7.999359	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999359	__ribosome	79.000000	0.000000	0.000000
7.999359	__rnase_site	4.000000	0.000000	0.000000
7.999359	__rnase_site_ext	3.000000	0.000000	0.000000
7.999359	p1	1.000000	0.000000	0.000000
7.999359	p2	1.000000	0.000000	0.000000
7.999359	proteinX	12.000000	4.000000	3.000000
7.999359	proteinY	0.000000	3.000000	2.666667
7.999359	proteinZ	0.000000	1.000000	1.000000
7.999359	rnapol	0.000000	0.000000	0.000000
8.999734	__proteinX_rbs	1.000000	0.000000	0.000000
8.999734	__proteinY_rbs	4.000000	0.000000	0.000000
8.999734	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999734	__ribosome	76.000000	0.000000	0.000000
