time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.000504	__proteinX_rbs	0.000000	0.000000	0.000000
1.000504	__proteinY_rbs	0.000000	0.000000	0.000000
1.000504	__proteinZ_rbs	0.000000	0.000000	0.000000
1.000504	__ribosome	98.000000	0.000000	0.000000
1.000504	__rnase_site	0.000000	0.000000	0.000000
1.000504	__rnase_site_ext	1.000000	0.000000	0.000000
1.000504	p1	0.000000	0.000000	0.000000
1.000504	proteinX	0.000000	2.000000	1.000000
1.000504	rnapol	0.000000	0.000000	0.000000
2.000552	__proteinX_rbs	2.000000	0.000000	0.000000
2.000552	__proteinY_rbs	0.000000	0.000000	0.000000
2.000552	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000552	__ribosome	96.000000	0.000000	0.000000
2.000552	__rnase_site	0.000000	0.000000	0.000000
2.000552	__rnase_site_ext	2.000000	0.000000	0.000000
2.000552	p1	1.000000	0.000000	0.000000
2.000552	proteinX	0.000000	4.000000	1.000000
2.000552	rnapol	0.000000	0.000000	0.000000
3.013344	__proteinX_rbs	1.000000	0.000000	0.000000
3.013344	__proteinY_rbs	0.000000	0.000000	0.000000
3.013344	__proteinZ_rbs	0.000000	0.000000	0.000000
3.013344	__ribosome	91.000000	0.000000	0.000000
3.013344	__rnase_site	1.000000	0.000000	0.000000
3.013344	__rnase_site_ext	3.000000	0.000000	0.000000
3.013344	p1	1.000000	0.000000	0.000000
3.013344	proteinX	0.000000	4.000000	2.000000
3.013344	proteinY	0.000000	1.000000	1.000000
3.013344	rnapol	0.000000	0.000000	0.000000
4.002699	__proteinX_rbs	4.000000	0.000000	0.000000
4.002699	__proteinY_rbs	1.000000	0.000000	0.000000
4.002699	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002699	__ribosome	91.000000	0.000000	0.000000
4.002699	__rnase_site	2.000000	0.000000	0.000000
4.002699	__rnase_site_ext	4.000000	0.000000	0.000000
4.002699	p1	1.000000	0.000000	0.000000
4.002699	proteinX	1.000000	4.000000	2.000000
4.002699	proteinY	0.000000	1.000000	1.000000
4.002699	rnapol	0.000000	0.000000	0.000000
5.005668	__proteinX_rbs	3.000000	0.000000	0.000000
5.005668	__proteinY_rbs	3.000000	0.000000	0.000000
5.005668	__proteinZ_rbs	0.000000	0.000000	0.000000
5.005668	__ribosome	86.000000	0.000000	0.000000
5.005668	__rnase_site	3.000000	0.000000	0.000000
5.005668	__rnase_site_ext	3.000000	0.000000	0.000000
5.005668	p1	1.000000	0.000000	0.000000
5.005668	proteinX	2.000000	4.000000	3.000000
5.005668	proteinY	0.000000	3.000000	0.666667
5.005668	rnapol	0.000000	0.000000	0.000000
6.000121	__proteinX_rbs	2.000000	0.000000	0.000000
6.000121	__proteinY_rbs	2.000000	0.000000	0.000000
6.000121	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000121	__ribosome	82.000000	0.000000	0.000000
6.000121	__rnase_site	4.000000	0.000000	0.000000
6.000121	__rnase_site_ext	2.000000	0.000000	0.000000
6.000121	p1	1.000000	0.000000	0.000000
6.000121	proteinX	5.000000	4.000000	3.250000
6.000121	proteinY	0.000000	4.000000	1.250000
6.000121	rnapol	0.000000	0.000000	0.000000
6.999211	__proteinX_rbs	3.000000	0.000000	0.000000
6.999211	__proteinY_rbs	1.000000	0.000000	0.000000
6.999211	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999211	__ribosome	79.000000	0.000000	0.000000
6.999211	__rnase_site	4.000000	0.000000	0.000000
6.999211	__rnase_site_ext	3.000000	0.000000	0.000000
6.999211	p1	1.000000	0.000000	0.000000
6.999211	proteinX	9.000000	5.000000	2.600000
6.999211	proteinY	1.000000	4.000000	2.000000
6.999211	rnapol	0.000000	0.000000	0.000000
8.000532	__proteinX_rbs	2.000000	0.000000	0.000000
8.000532	__proteinY_rbs	2.000000	0.000000	0.000000
8.000532	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000532	__ribosome	76.000000	0.000000	0.000000
8.000532	__rnase_site	4.000000	0.000000	0.000000
8.000532	__rnase_site_ext	5.000000	0.000000	0.000000
8.000532	p1	1.000000	0.000000	0.000000
8.000532	proteinX	14.000000	6.000000	2.000000
8.000532	proteinY	1.000000	4.000000	3.000000
8.000532	rnapol	0.000000	0.000000	0.000000
9.000409	__proteinX_rbs	4.000000	0.000000	0.000000
9.000409	__proteinY_rbs	3.000000	0.000000	0.000000
9.000409	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000409	__ribosome	71.000000	0.000000	0.000000
9.000409	__rnase_site	4.000000	0.000000	0.000000
9.000409	__rnase_site_ext	6.000000	0.000000	0.000000
9.000409	p1	0.000000	0.000000	0.000000
9.000409	proteinX	16.000000	7.000000	2.142857
9.000409	proteinY	2.000000	4.000000	3.500000
9.000409	rnapol	0.000000	0.000000	0.000000
10.000046	__proteinX_rbs	6.000000	0.000000	0.000000
10.000046	__proteinY_rbs	3.000000	0.000000	0.000000
