time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001450	__proteinX_rbs	0.000000	0.000000	0.000000
1.001450	__proteinY_rbs	0.000000	0.000000	0.000000
1.001450	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001450	__ribosome	98.000000	0.000000	0.000000
1.001450	__rnase_site	0.000000	0.000000	0.000000
1.001450	__rnase_site_ext	1.000000	0.000000	0.000000
1.001450	p1	0.000000	0.000000	0.000000
1.001450	proteinX	0.000000	2.000000	1.000000
1.001450	rnapol	0.000000	0.000000	0.000000
2.003790	__proteinX_rbs	2.000000	0.000000	0.000000
2.003790	__proteinY_rbs	0.000000	0.000000	0.000000
2.003790	__proteinZ_rbs	0.000000	0.000000	0.000000
2.003790	__ribosome	96.000000	0.000000	0.000000
2.003790	__rnase_site	0.000000	0.000000	0.000000
2.003790	__rnase_site_ext	2.000000	0.000000	0.000000
2.003790	p1	1.000000	0.000000	0.000000
2.003790	proteinX	0.000000	4.000000	1.000000
2.003790	rnapol	0.000000	0.000000	0.000000
3.002165	__proteinX_rbs	1.000000	0.000000	0.000000
3.002165	__proteinY_rbs	0.000000	0.000000	0.000000
3.002165	__proteinZ_rbs	0.000000	0.000000	0.000000
3.002165	__ribosome	91.000000	0.000000	0.000000
3.002165	__rnase_site	0.000000	0.000000	0.000000
3.002165	__rnase_site_ext	3.000000	0.000000	0.000000
3.002165	p1	1.000000	0.000000	0.000000
3.002165	proteinX	0.000000	4.000000	2.000000
3.002165	proteinY	0.000000	1.000000	1.000000
3.002165	rnapol	0.000000	0.000000	0.000000
4.000070	__proteinX_rbs	4.000000	0.000000	0.000000
4.000070	__proteinY_rbs	1.000000	0.000000	0.000000
4.000070	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000070	__ribosome	91.000000	0.000000	0.000000
4.000070	__rnase_site	0.000000	0.000000	0.000000
4.000070	__rnase_site_ext	4.000000	0.000000	0.000000
4.000070	p1	1.000000	0.000000	0.000000
4.000070	proteinX	1.000000	4.000000	2.000000
4.000070	proteinY	0.000000	1.000000	1.000000
4.000070	rnapol	0.000000	0.000000	0.000000
5.008990	__proteinX_rbs	3.000000	0.000000	0.000000
5.008990	__proteinY_rbs	3.000000	0.000000	0.000000
5.008990	__proteinZ_rbs	0.000000	0.000000	0.000000
5.008990	__ribosome	86.000000	0.000000	0.000000
5.008990	__rnase_site	0.000000	0.000000	0.000000
5.008990	__rnase_site_ext	3.000000	0.000000	0.000000
5.008990	p1	1.000000	0.000000	0.000000
5.008990	proteinX	2.000000	4.000000	3.000000
5.008990	proteinY	0.000000	3.000000	0.666667
5.008990	rnapol	0.000000	0.000000	0.000000
6.000224	__proteinX_rbs	2.000000	0.000000	0.000000
6.000224	__proteinY_rbs	2.000000	0.000000	0.000000
6.000224	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000224	__ribosome	82.000000	0.000000	0.000000
6.000224	__rnase_site	0.000000	0.000000	0.000000
6.000224	__rnase_site_ext	2.000000	0.000000	0.000000
6.000224	p1	1.000000	0.000000	0.000000
6.000224	proteinX	5.000000	4.000000	3.250000
6.000224	proteinY	0.000000	4.000000	1.250000
6.000224	rnapol	0.000000	0.000000	0.000000
7.001608	__proteinX_rbs	3.000000	0.000000	0.000000
7.001608	__proteinY_rbs	2.000000	0.000000	0.000000
7.001608	__proteinZ_rbs	1.000000	0.000000	0.000000
7.001608	__ribosome	81.000000	0.000000	0.000000
7.001608	__rnase_site	0.000000	0.000000	0.000000
7.001608	__rnase_site_ext	3.000000	0.000000	0.000000
7.001608	p1	1.000000	0.000000	0.000000
7.001608	proteinX	10.000000	4.000000	2.500000
7.001608	proteinY	0.000000	4.000000	2.250000
7.001608	proteinZ	0.000000	1.000000	0.000000
7.001608	rnapol	0.000000	0.000000	0.000000
8.001584	__proteinX_rbs	3.000000	0.000000	0.000000
8.001584	__proteinY_rbs	2.000000	0.000000	0.000000
8.001584	__proteinZ_rbs	1.000000	0.000000	0.000000
8.001584	__ribosome	77.000000	0.000000	0.000000
8.001584	__rnase_site	0.000000	0.000000	0.000000
8.001584	__rnase_site_ext	3.000000	0.000000	0.000000
8.001584	p1	1.000000	0.000000	0.000000
8.001584	proteinX	14.000000	4.000000	2.000000
8.001584	proteinY	1.000000	4.000000	3.500000
8.001584	proteinZ	0.000000	1.000000	1.000000
8.001584	rnapol	0.000000	0.000000	0.000000
8.999417	__proteinX_rbs	1.000000	0.000000	0.000000
8.999417	__proteinY_rbs	2.000000	0.000000	0.000000
8.999417	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999417	__ribosome	71.000000	0.000000	0.000000
8.999417	__rnase_site	0.000000	0.000000	0.000000
8.999417	__rnase_site_ext	1.000000	0.000000	0.000000
8.999417	p1	1.000000	0.000000	0.000000
8.999417	proteinX	17.000000	4.000000	2.250000
8.999417	proteinY	2.000000	4.000000	4.000000
8.999417	proteinZ	0.000000	3.000000	1.333333
8.999417	rnapol	0.000000	0.000000	0.000000
