time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999659	__proteinX_rbs	0.000000	0.000000	0.000000
0.999659	__proteinY_rbs	0.000000	0.000000	0.000000
0.999659	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999659	__ribosome	98.000000	0.000000	0.000000
0.999659	__rnase_site	0.000000	0.000000	0.000000
0.999659	__rnase_site_ext	1.000000	0.000000	0.000000
0.999659	p1	0.000000	0.000000	0.000000
0.999659	p2	1.000000	0.000000	0.000000
0.999659	proteinX	0.000000	2.000000	1.000000
0.999659	rnapol	0.000000	0.000000	0.000000
2.000993	__proteinX_rbs	2.000000	0.000000	0.000000
2.000993	__proteinY_rbs	0.000000	0.000000	0.000000
2.000993	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000993	__ribosome	96.000000	0.000000	0.000000
2.000993	__rnase_site	0.000000	0.000000	0.000000
2.000993	__rnase_site_ext	2.000000	0.000000	0.000000
2.000993	p1	1.000000	0.000000	0.000000
2.000993	p2	1.000000	0.000000	0.000000
2.000993	proteinX	0.000000	4.000000	1.000000
2.000993	rnapol	0.000000	0.000000	0.000000
2.999419	__proteinX_rbs	2.000000	0.000000	0.000000
2.999419	__proteinY_rbs	0.000000	0.000000	0.000000
2.999419	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999419	__ribosome	93.000000	0.000000	0.000000
2.999419	__rnase_site	0.000000	0.000000	0.000000
2.999419	__rnase_site_ext	5.000000	0.000000	0.000000
2.999419	p1	1.000000	0.000000	0.000000
2.999419	p2	1.000000	0.000000	0.000000
2.999419	proteinX	0.000000	4.000000	1.750000
2.999419	rnapol	0.000000	0.000000	0.000000
3.999370	__proteinX_rbs	3.000000	0.000000	0.000000
3.999370	__proteinY_rbs	0.000000	0.000000	0.000000
3.999370	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999370	__ribosome	89.000000	0.000000	0.000000
3.999370	__rnase_site	0.000000	0.000000	0.000000
3.999370	__rnase_site_ext	5.000000	0.000000	0.000000
3.999370	p1	1.000000	0.000000	0.000000
3.999370	p2	1.000000	0.000000	0.000000
3.999370	proteinX	1.000000	5.000000	2.200000
3.999370	rnapol	0.000000	0.000000	0.000000
4.999931	__proteinX_rbs	3.000000	0.000000	0.000000
4.999931	__proteinY_rbs	0.000000	0.000000	0.000000
4.999931	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999931	__ribosome	84.000000	0.000000	0.000000
4.999931	__rnase_site	0.000000	0.000000	0.000000
4.999931	__rnase_site_ext	4.000000	0.000000	0.000000
4.999931	p1	1.000000	0.000000	0.000000
4.999931	p2	0.000000	0.000000	0.000000
4.999931	proteinX	2.000000	5.000000	3.000000
4.999931	proteinY	0.000000	1.000000	1.000000
4.999931	rnapol	0.000000	0.000000	0.000000
6.000813	__proteinX_rbs	2.000000	0.000000	0.000000
6.000813	__proteinY_rbs	1.000000	0.000000	0.000000
6.000813	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000813	__ribosome	81.000000	0.000000	0.000000
6.000813	__rnase_site	0.000000	0.000000	0.000000
6.000813	__rnase_site_ext	3.000000	0.000000	0.000000
6.000813	p1	1.000000	0.000000	0.000000
6.000813	p2	0.000000	0.000000	0.000000
6.000813	proteinX	6.000000	7.000000	2.571429
6.000813	proteinY	0.000000	1.000000	1.000000
6.000813	rnapol	0.000000	0.000000	0.000000
6.999075	__proteinX_rbs	4.000000	0.000000	0.000000
6.999075	__proteinY_rbs	2.000000	0.000000	0.000000
6.999075	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999075	__ribosome	80.000000	0.000000	0.000000
6.999075	__rnase_site	0.000000	0.000000	0.000000
6.999075	__rnase_site_ext	4.000000	0.000000	0.000000
6.999075	p1	1.000000	0.000000	0.000000
6.999075	p2	1.000000	0.000000	0.000000
6.999075	proteinX	12.000000	7.000000	2.571429
6.999075	proteinY	0.000000	2.000000	1.000000
6.999075	rnapol	0.000000	0.000000	0.000000
7.999041	__proteinX_rbs	4.000000	0.000000	0.000000
7.999041	__proteinY_rbs	1.000000	0.000000	0.000000
7.999041	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999041	__ribosome	77.000000	0.000000	0.000000
7.999041	__rnase_site	0.000000	0.000000	0.000000
7.999041	__rnase_site_ext	6.000000	0.000000	0.000000
7.999041	p1	1.000000	0.000000	0.000000
7.999041	p2	0.000000	0.000000	0.000000
7.999041	proteinX	15.000000	7.000000	2.714286
7.999041	proteinY	0.000000	2.000000	2.000000
7.999041	rnapol	0.000000	0.000000	0.000000
8.999250	__proteinX_rbs	4.000000	0.000000	0.000000
8.999250	__proteinY_rbs	1.000000	0.000000	0.000000
8.999250	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999250	__ribosome	72.000000	0.000000	0.000000
8.999250	__rnase_site	0.000000	0.000000	0.000000
8.999250	__rnase_site_ext	4.000000	0.000000	0.000000
8.999250	p1	1.000000	0.000000	0.000000
