time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.006968	__proteinX_rbs	0.000000	0.000000	0.000000
1.006968	__proteinY_rbs	0.000000	0.000000	0.000000
1.006968	__proteinZ_rbs	0.000000	0.000000	0.000000
1.006968	__ribosome	98.000000	0.000000	0.000000
1.006968	__rnase_site	0.000000	0.000000	0.000000
1.006968	__rnase_site_ext	1.000000	0.000000	0.000000
1.006968	p1	0.000000	0.000000	0.000000
1.006968	proteinX	0.000000	2.000000	1.000000
1.006968	rnapol	0.000000	0.000000	0.000000
2.000019	__proteinX_rbs	2.000000	0.000000	0.000000
2.000019	__proteinY_rbs	0.000000	0.000000	0.000000
2.000019	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000019	__ribosome	96.000000	0.000000	0.000000
2.000019	__rnase_site	2.000000	0.000000	0.000000
2.000019	__rnase_site_ext	2.000000	0.000000	0.000000
2.000019	p1	1.000000	0.000000	0.000000
2.000019	proteinX	0.000000	4.000000	1.000000
2.000019	rnapol	0.000000	0.000000	0.000000
3.000806	__proteinX_rbs	3.000000	0.000000	0.000000
3.000806	__proteinY_rbs	0.000000	0.000000	0.000000
3.000806	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000806	__ribosome	94.000000	0.000000	0.000000
3.000806	__rnase_site	4.000000	0.000000	0.000000
3.000806	__rnase_site_ext	4.000000	0.000000	0.000000
3.000806	p1	1.000000	0.000000	0.000000
3.000806	proteinX	0.000000	4.000000	1.500000
3.000806	rnapol	0.000000	0.000000	0.000000
3.999675	__proteinX_rbs	1.000000	0.000000	0.000000
3.999675	__proteinY_rbs	0.000000	0.000000	0.000000
3.999675	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999675	__ribosome	90.000000	0.000000	0.000000
3.999675	__rnase_site	2.000000	0.000000	0.000000
3.999675	__rnase_site_ext	2.000000	0.000000	0.000000
3.999675	p1	1.000000	0.000000	0.000000
3.999675	proteinX	0.000000	3.000000	3.000000
3.999675	proteinY	0.000000	1.000000	1.000000
3.999675	rnapol	0.000000	0.000000	0.000000
4.999565	__proteinX_rbs	1.000000	0.000000	0.000000
4.999565	__proteinY_rbs	1.000000	0.000000	0.000000
4.999565	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999565	__ribosome	90.000000	0.000000	0.000000
4.999565	__rnase_site	3.000000	0.000000	0.000000
4.999565	__rnase_site_ext	3.000000	0.000000	0.000000
4.999565	p1	1.000000	0.000000	0.000000
4.999565	proteinX	3.000000	3.000000	2.666667
4.999565	proteinY	0.000000	2.000000	1.000000
4.999565	rnapol	0.000000	0.000000	0.000000
6.000648	__proteinX_rbs	2.000000	0.000000	0.000000
6.000648	__proteinY_rbs	0.000000	0.000000	0.000000
6.000648	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000648	__ribosome	85.000000	0.000000	0.000000
6.000648	__rnase_site	3.000000	0.000000	0.000000
6.000648	__rnase_site_ext	3.000000	0.000000	0.000000
6.000648	p1	1.000000	0.000000	0.000000
6.000648	proteinX	5.000000	4.000000	2.500000
6.000648	proteinY	0.000000	3.000000	1.666667
6.000648	rnapol	0.000000	0.000000	0.000000
7.002894	__proteinX_rbs	3.000000	0.000000	0.000000
7.002894	__proteinY_rbs	2.000000	0.000000	0.000000
7.002894	__proteinZ_rbs	0.000000	0.000000	0.000000
7.002894	__ribosome	82.000000	0.000000	0.000000
7.002894	__rnase_site	3.000000	0.000000	0.000000
7.002894	__rnase_site_ext	4.000000	0.000000	0.000000
7.002894	p1	1.000000	0.000000	0.000000
7.002894	proteinX	8.000000	4.000000	2.500000
7.002894	proteinY	0.000000	3.000000	2.666667
7.002894	rnapol	0.000000	0.000000	0.000000
7.999027	__proteinX_rbs	3.000000	0.000000	0.000000
7.999027	__proteinY_rbs	3.000000	0.000000	0.000000
7.999027	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999027	__ribosome	78.000000	0.000000	0.000000
7.999027	__rnase_site	4.000000	0.000000	0.000000
7.999027	__rnase_site_ext	5.000000	0.000000	0.000000
7.999027	p1	1.000000	0.000000	0.000000
7.999027	proteinX	10.000000	5.000000	2.400000
7.999027	proteinY	0.000000	3.000000	3.333333
7.999027	rnapol	0.000000	0.000000	0.000000
9.002234	__proteinX_rbs	2.000000	0.000000	0.000000
9.002234	__proteinY_rbs	2.000000	0.000000	0.000000
9.002234	__proteinZ_rbs	1.000000	0.000000	0.000000
9.002234	__ribosome	75.000000	0.000000	0.000000
9.002234	__rnase_site	4.000000	0.000000	0.000000
9.002234	__rnase_site_ext	3.000000	0.000000	0.000000
9.002234	p1	0.000000	0.000000	0.000000
9.002234	proteinX	15.000000	5.000000	2.600000
9.002234	proteinY	1.000000	3.000000	4.000000
9.002234	proteinZ	0.000000	1.000000	0.000000
9.002234	rnapol	0.000000	0.000000	0.000000
10.001275	__proteinX_rbs	4.000000	0.000000	0.000000
10.001275	__proteinY_rbs	2.000000	0.000000	0.000000
