time	species	transcript
1	proteinX	0.4
1	proteinY	0.3
1	proteinZ	0.2
2	proteinX	0.8
2	proteinY	0.6
2	proteinZ	0.4
3	proteinX	1.2000000000000002
3	proteinY	0.8999999999999999
3	proteinZ	0.6000000000000001
4	proteinX	1.6
4	proteinY	1.2
4	proteinZ	0.8
5	proteinX	2.0
5	proteinY	1.5
5	proteinZ	1.0
6	proteinX	2.4000000000000004
6	proteinY	1.7999999999999998
6	proteinZ	1.2000000000000002
7	proteinX	2.8000000000000003
7	proteinY	2.1
7	proteinZ	1.4000000000000001
8	proteinX	3.2
8	proteinY	2.4
8	proteinZ	1.6
9	proteinX	3.6
9	proteinY	2.6999999999999997
9	proteinZ	1.8
10	proteinX	4.0
10	proteinY	3.0
10	proteinZ	2.0
11	proteinX	4.4
11	proteinY	3.3
11	proteinZ	2.2
12	proteinX	4.800000000000001
12	proteinY	3.5999999999999996
12	proteinZ	2.4000000000000004
13	proteinX	5.2
13	proteinY	3.9
13	proteinZ	2.6
14	proteinX	5.6000000000000005
14	proteinY	4.2
14	proteinZ	2.8000000000000003
15	proteinX	6.0
15	proteinY	4.5
15	proteinZ	3.0
16	proteinX	6.4
16	proteinY	4.8
16	proteinZ	3.2
17	proteinX	6.800000000000001
17	proteinY	5.1
17	proteinZ	3.4000000000000004
18	proteinX	7.2
18	proteinY	5.3999999999999995
18	proteinZ	3.6
19	proteinX	7.6000000000000005
19	proteinY	5.7
19	proteinZ	3.8000000000000003
20	proteinX	8.0
20	proteinY	6.0
20	proteinZ	4.0
21	proteinX	8.4
21	proteinY	6.3
21	proteinZ	4.2
22	proteinX	8.8
22	proteinY	6.6
22	proteinZ	4.4
23	proteinX	9.200000000000001
23	proteinY	6.8999999999999995
23	proteinZ	4.6000000000000005
24	proteinX	9.600000000000001
24	proteinY	7.199999999999999
24	proteinZ	4.800000000000001
25	proteinX	10.0
25	proteinY	7.5
25	proteinZ	5.0
26	proteinX	10.4
26	proteinY	7.8
26	proteinZ	5.2
27	proteinX	10.8
27	proteinY	8.1
27	proteinZ	5.4
28	proteinX	11.200000000000001
28	proteinY	8.4
28	proteinZ	5.6000000000000005
29	proteinX	11.600000000000001
29	proteinY	8.7
29	proteinZ	5.800000000000001
30	proteinX	12.0
30	proteinY	9.0
30	proteinZ	6.0
31	proteinX	12.4
31	proteinY	9.299999999999999
31	proteinZ	6.2
32	proteinX	12.8
32	proteinY	9.6
32	proteinZ	6.4
33	proteinX	13.200000000000001
33	proteinY	9.9
33	proteinZ	6.6000000000000005
34	proteinX	13.600000000000001
34	proteinY	10.2
34	proteinZ	6.800000000000001
35	proteinX	14.0
35	proteinY	10.5
35	proteinZ	7.0
36	proteinX	14.4
36	proteinY	10.799999999999999
36	proteinZ	7.2
37	proteinX	14.8
37	proteinY	11.1
37	proteinZ	7.4
38	proteinX	15.200000000000001
38	proteinY	11.4
38	proteinZ	7.6000000000000005
39	proteinX	15.600000000000001
39	proteinY	11.7
39	proteinZ	7.800000000000001
40	proteinX	16.0
40	proteinY	12.0
40	proteinZ	8.0
41	proteinX	16.400000000000002
41	proteinY	12.299999999999999
41	proteinZ	8.200000000000001
42	proteinX	16.8
42	proteinY	12.6
42	proteinZ	8.4
43	proteinX	17.2
43	proteinY	12.9
43	proteinZ	8.6
44	proteinX	17.6
44	proteinY	13.2
44	proteinZ	8.8
45	proteinX	18.0
45	proteinY	13.5
45	proteinZ	9.0
46	proteinX	18.400000000000002
46	proteinY	13.799999999999999
46	proteinZ	9.200000000000001
47	proteinX	18.8
47	proteinY	14.1
47	proteinZ	9.4
48	proteinX	19.200000000000003
48	proteinY	14.399999999999999
48	proteinZ	9.600000000000001
49	proteinX	19.6
49	proteinY	14.7
49	proteinZ	9.8
50	proteinX	20.0
50	proteinY	15.0
50	proteinZ	10.0
51	proteinX	20.400000000000002
51	proteinY	15.299999999999999
51	proteinZ	10.200000000000001
52	proteinX	20.8
52	proteinY	15.6
52	proteinZ	10.4
53	proteinX	21.200000000000003
53	proteinY	15.899999999999999
53	proteinZ	10.600000000000001
54	proteinX	21.6
54	proteinY	16.2
54	proteinZ	10.8
55	proteinX	22.0
55	proteinY	16.5
55	proteinZ	11.0
56	proteinX	22.400000000000002
56	proteinY	16.8
56	proteinZ	11.200000000000001
57	proteinX	22.8
57	proteinY	17.099999999999998
57	proteinZ	11.4
58	proteinX	23.200000000000003
58	proteinY	17.4
58	proteinZ	11.600000000000001
59	proteinX	23.6
59	proteinY	17.7
59	proteinZ	11.8
60	proteinX	24.0
60	proteinY	18.0
60	proteinZ	12.0
61	proteinX	24.400000000000002
61	proteinY	18.3
61	proteinZ	12.200000000000001
62	proteinX	24.8
62	proteinY	18.599999999999998
62	proteinZ	12.4
63	proteinX	25.200000000000003
63	proteinY	18.9
63	proteinZ	12.600000000000001
64	proteinX	25.6
64	proteinY	19.2
64	proteinZ	12.8
65	proteinX	26.0
65	proteinY	19.5
65	proteinZ	13.0
66	proteinX	26.400000000000002
66	proteinY	19.8
66	proteinZ	13.200000000000001
67	proteinX	26.8
67	proteinY	20.099999999999998
67	proteinZ	13.4
68	proteinX	27.200000000000003
68	proteinY	20.4
68	proteinZ	13.600000000000001
69	proteinX	27.6
69	proteinY	20.7
69	proteinZ	13.8
70	proteinX	28.0
70	proteinY	21.0
70	proteinZ	14.0
71	proteinX	28.400000000000002
71	proteinY	21.3
71	proteinZ	14.200000000000001
72	proteinX	28.8
72	proteinY	21.599999999999998
72	proteinZ	14.4
73	proteinX	29.200000000000003
73	proteinY	21.9
73	proteinZ	14.600000000000001
74	proteinX	29.6
74	proteinY	22.2
74	proteinZ	14.8
75	proteinX	30.0
75	proteinY	22.5
75	proteinZ	15.0
76	proteinX	30.400000000000002
76	proteinY	22.8
76	proteinZ	15.200000000000001
77	proteinX	30.8
77	proteinY	23.099999999999998
77	proteinZ	15.4
78	proteinX	31.200000000000003
78	proteinY	23.4
78	proteinZ	15.600000000000001
79	proteinX	31.6
79	proteinY	23.7
79	proteinZ	15.8
80	proteinX	32.0
80	proteinY	24.0
80	proteinZ	16.0
81	proteinX	32.4
81	proteinY	24.3
81	proteinZ	16.2
82	proteinX	32.800000000000004
82	proteinY	24.599999999999998
82	proteinZ	16.400000000000002
83	proteinX	33.2
83	proteinY	24.9
83	proteinZ	16.6
84	proteinX	33.6
84	proteinY	25.2
84	proteinZ	16.8
85	proteinX	34.0
85	proteinY	25.5
85	proteinZ	17.0
86	proteinX	34.4
86	proteinY	25.8
86	proteinZ	17.2
87	proteinX	34.800000000000004
87	proteinY	26.099999999999998
87	proteinZ	17.400000000000002
88	proteinX	35.2
88	proteinY	26.4
88	proteinZ	17.6
89	proteinX	35.6
89	proteinY	26.7
89	proteinZ	17.8
90	proteinX	36.0
90	proteinY	27.0
90	proteinZ	18.0
91	proteinX	36.4
91	proteinY	27.3
91	proteinZ	18.2
92	proteinX	36.800000000000004
92	proteinY	27.599999999999998
92	proteinZ	18.400000000000002
93	proteinX	37.2
93	proteinY	27.9
93	proteinZ	18.6
94	proteinX	37.6
94	proteinY	28.2
94	proteinZ	18.8
95	proteinX	38.0
95	proteinY	28.5
95	proteinZ	19.0
96	proteinX	38.400000000000006
96	proteinY	28.799999999999997
96	proteinZ	19.200000000000003
97	proteinX	38.800000000000004
97	proteinY	29.099999999999998
97	proteinZ	19.400000000000002
98	proteinX	39.2
98	proteinY	29.4
98	proteinZ	19.6
99	proteinX	39.6
99	proteinY	29.7
99	proteinZ	19.8
100	proteinX	40.0
100	proteinY	30.0
100	proteinZ	20.0
101	proteinX	40.400000000000006
101	proteinY	30.299999999999997
101	proteinZ	20.200000000000003
102	proteinX	40.800000000000004
102	proteinY	30.599999999999998
102	proteinZ	20.400000000000002
103	proteinX	41.2
103	proteinY	30.9
103	proteinZ	20.6
104	proteinX	41.6
104	proteinY	31.2
104	proteinZ	20.8
105	proteinX	42.0
105	proteinY	31.5
105	proteinZ	21.0
106	proteinX	42.400000000000006
106	proteinY	31.799999999999997
106	proteinZ	21.200000000000003
107	proteinX	42.800000000000004
107	proteinY	32.1
107	proteinZ	21.400000000000002
108	proteinX	43.2
108	proteinY	32.4
108	proteinZ	21.6
109	proteinX	43.6
109	proteinY	32.699999999999996
109	proteinZ	21.8
110	proteinX	44.0
110	proteinY	33.0
110	proteinZ	22.0
111	proteinX	44.400000000000006
111	proteinY	33.3
111	proteinZ	22.200000000000003
112	proteinX	44.800000000000004
112	proteinY	33.6
112	proteinZ	22.400000000000002
113	proteinX	45.2
113	proteinY	33.9
113	proteinZ	22.6
114	proteinX	45.6
114	proteinY	34.199999999999996
114	proteinZ	22.8
115	proteinX	46.0
115	proteinY	34.5
115	proteinZ	23.0
116	proteinX	46.400000000000006
116	proteinY	34.8
116	proteinZ	23.200000000000003
117	proteinX	46.800000000000004
117	proteinY	35.1
117	proteinZ	23.400000000000002
118	proteinX	47.2
118	proteinY	35.4
118	proteinZ	23.6
119	proteinX	47.6
119	proteinY	35.699999999999996
119	proteinZ	23.8
120	proteinX	48.0
120	proteinY	36.0
120	proteinZ	24.0
121	proteinX	48.400000000000006
121	proteinY	36.3
121	proteinZ	24.200000000000003
122	proteinX	48.800000000000004
122	proteinY	36.6
122	proteinZ	24.400000000000002
123	proteinX	49.2
123	proteinY	36.9
123	proteinZ	24.6
124	proteinX	49.6
124	proteinY	37.199999999999996
124	proteinZ	24.8
125	proteinX	50.0
125	proteinY	37.5
125	proteinZ	25.0
126	proteinX	50.400000000000006
126	proteinY	37.8
126	proteinZ	25.200000000000003
127	proteinX	50.800000000000004
127	proteinY	38.1
127	proteinZ	25.400000000000002
128	proteinX	51.2
128	proteinY	38.4
128	proteinZ	25.6
129	proteinX	51.6
129	proteinY	38.699999999999996
129	proteinZ	25.8
130	proteinX	52.0
130	proteinY	39.0
130	proteinZ	26.0
131	proteinX	52.400000000000006
131	proteinY	39.3
131	proteinZ	26.200000000000003
132	proteinX	52.800000000000004
132	proteinY	39.6
132	proteinZ	26.400000000000002
133	proteinX	53.2
133	proteinY	39.9
133	proteinZ	26.6
134	proteinX	53.6
134	proteinY	40.199999999999996
134	proteinZ	26.8
135	proteinX	54.0
135	proteinY	40.5
135	proteinZ	27.0
136	proteinX	54.400000000000006
136	proteinY	40.8
136	proteinZ	27.200000000000003
137	proteinX	54.800000000000004
137	proteinY	41.1
137	proteinZ	27.400000000000002
138	proteinX	55.2
138	proteinY	41.4
138	proteinZ	27.6
139	proteinX	55.6
139	proteinY	41.699999999999996
139	proteinZ	27.8
140	proteinX	56.0
140	proteinY	42.0
140	proteinZ	28.0
141	proteinX	56.400000000000006
141	proteinY	42.3
141	proteinZ	28.200000000000003
142	proteinX	56.800000000000004
142	proteinY	42.6
142	proteinZ	28.400000000000002
143	proteinX	57.2
143	proteinY	42.9
143	proteinZ	28.6
144	proteinX	57.6
144	proteinY	43.199999999999996
144	proteinZ	28.8
145	proteinX	58.0
145	proteinY	43.5
145	proteinZ	29.0
146	proteinX	58.400000000000006
146	proteinY	43.8
146	proteinZ	29.200000000000003
147	proteinX	58.800000000000004
147	proteinY	44.1
147	proteinZ	29.400000000000002
148	proteinX	59.2
148	proteinY	44.4
148	proteinZ	29.6
149	proteinX	59.6
149	proteinY	44.699999999999996
149	proteinZ	29.8
150	proteinX	60.0
150	proteinY	45.0
150	proteinZ	30.0
151	proteinX	60.0
151	proteinY	45.0
151	proteinZ	30.0
152	proteinX	60.0
152	proteinY	45.0
152	proteinZ	30.0
153	proteinX	60.0
153	proteinY	45.0
153	proteinZ	30.0
154	proteinX	60.0
154	proteinY	45.0
154	proteinZ	30.0
155	proteinX	60.0
155	proteinY	45.0
155	proteinZ	30.0
156	proteinX	60.0
156	proteinY	45.0
156	proteinZ	30.0
157	proteinX	60.0
157	proteinY	45.0
157	proteinZ	30.0
158	proteinX	60.0
158	proteinY	45.0
158	proteinZ	30.0
159	proteinX	60.0
159	proteinY	45.0
159	proteinZ	30.0
160	proteinX	60.0
160	proteinY	45.0
160	proteinZ	30.0
161	proteinX	60.0
161	proteinY	45.0
