time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004923	__proteinX_rbs	0.000000	0.000000	0.000000
1.004923	__proteinY_rbs	0.000000	0.000000	0.000000
1.004923	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004923	__ribosome	98.000000	0.000000	0.000000
1.004923	__rnase_site	0.000000	0.000000	0.000000
1.004923	__rnase_site_ext	1.000000	0.000000	0.000000
1.004923	p1	0.000000	0.000000	0.000000
1.004923	p2	1.000000	0.000000	0.000000
1.004923	proteinX	0.000000	2.000000	1.000000
1.004923	rnapol	0.000000	0.000000	0.000000
2.002293	__proteinX_rbs	2.000000	0.000000	0.000000
2.002293	__proteinY_rbs	0.000000	0.000000	0.000000
2.002293	__proteinZ_rbs	0.000000	0.000000	0.000000
2.002293	__ribosome	96.000000	0.000000	0.000000
2.002293	__rnase_site	0.000000	0.000000	0.000000
2.002293	__rnase_site_ext	2.000000	0.000000	0.000000
2.002293	p1	1.000000	0.000000	0.000000
2.002293	p2	1.000000	0.000000	0.000000
2.002293	proteinX	0.000000	4.000000	1.000000
2.002293	rnapol	0.000000	0.000000	0.000000
3.002178	__proteinX_rbs	1.000000	0.000000	0.000000
3.002178	__proteinY_rbs	0.000000	0.000000	0.000000
3.002178	__proteinZ_rbs	0.000000	0.000000	0.000000
3.002178	__ribosome	92.000000	0.000000	0.000000
3.002178	__rnase_site	0.000000	0.000000	0.000000
3.002178	__rnase_site_ext	1.000000	0.000000	0.000000
3.002178	p1	1.000000	0.000000	0.000000
3.002178	p2	0.000000	0.000000	0.000000
3.002178	proteinX	0.000000	3.000000	2.666667
3.002178	rnapol	0.000000	0.000000	0.000000
4.000181	__proteinX_rbs	2.000000	0.000000	0.000000
4.000181	__proteinY_rbs	1.000000	0.000000	0.000000
4.000181	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000181	__ribosome	91.000000	0.000000	0.000000
4.000181	__rnase_site	0.000000	0.000000	0.000000
4.000181	__rnase_site_ext	3.000000	0.000000	0.000000
4.000181	p1	1.000000	0.000000	0.000000
4.000181	p2	1.000000	0.000000	0.000000
4.000181	proteinX	1.000000	3.000000	3.000000
4.000181	proteinY	0.000000	1.000000	0.000000
4.000181	rnapol	0.000000	0.000000	0.000000
4.999335	__proteinX_rbs	1.000000	0.000000	0.000000
4.999335	__proteinY_rbs	2.000000	0.000000	0.000000
4.999335	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999335	__ribosome	86.000000	0.000000	0.000000
4.999335	__rnase_site	0.000000	0.000000	0.000000
4.999335	__rnase_site_ext	2.000000	0.000000	0.000000
4.999335	p1	1.000000	0.000000	0.000000
4.999335	p2	1.000000	0.000000	0.000000
4.999335	proteinX	2.000000	3.000000	4.000000
4.999335	proteinY	0.000000	3.000000	0.666667
4.999335	rnapol	0.000000	0.000000	0.000000
6.000941	__proteinX_rbs	4.000000	0.000000	0.000000
6.000941	__proteinY_rbs	2.000000	0.000000	0.000000
6.000941	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000941	__ribosome	86.000000	0.000000	0.000000
6.000941	__rnase_site	0.000000	0.000000	0.000000
6.000941	__rnase_site_ext	4.000000	0.000000	0.000000
6.000941	p1	1.000000	0.000000	0.000000
6.000941	p2	1.000000	0.000000	0.000000
6.000941	proteinX	5.000000	4.000000	2.500000
6.000941	proteinY	0.000000	3.000000	1.333333
6.000941	rnapol	0.000000	0.000000	0.000000
7.000898	__proteinX_rbs	2.000000	0.000000	0.000000
7.000898	__proteinY_rbs	3.000000	0.000000	0.000000
7.000898	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000898	__ribosome	83.000000	0.000000	0.000000
7.000898	__rnase_site	0.000000	0.000000	0.000000
7.000898	__rnase_site_ext	2.000000	0.000000	0.000000
7.000898	p1	0.000000	0.000000	0.000000
7.000898	p2	1.000000	0.000000	0.000000
7.000898	proteinX	9.000000	4.000000	2.750000
7.000898	proteinY	0.000000	3.000000	2.000000
7.000898	rnapol	0.000000	0.000000	0.000000
8.001027	__proteinX_rbs	6.000000	0.000000	0.000000
8.001027	__proteinY_rbs	2.000000	0.000000	0.000000
8.001027	__proteinZ_rbs	0.000000	0.000000	0.000000
8.001027	__ribosome	82.000000	0.000000	0.000000
8.001027	__rnase_site	0.000000	0.000000	0.000000
8.001027	__rnase_site_ext	6.000000	0.000000	0.000000
8.001027	p1	1.000000	0.000000	0.000000
8.001027	p2	0.000000	0.000000	0.000000
8.001027	proteinX	14.000000	6.000000	1.333333
8.001027	proteinY	0.000000	3.000000	3.333333
8.001027	rnapol	0.000000	0.000000	0.000000
9.000082	__proteinX_rbs	3.000000	0.000000	0.000000
9.000082	__proteinY_rbs	1.000000	0.000000	0.000000
9.000082	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000082	__ribosome	73.000000	0.000000	0.000000
9.000082	__rnase_site	0.000000	0.000000	0.000000
9.000082	__rnase_site_ext	6.000000	0.000000	0.000000
