time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.005019	__proteinX_rbs	0.0	0.0	0.0
1.005019	__proteinY_rbs	0.0	0.0	0.0
1.005019	__proteinZ_rbs	0.0	0.0	0.0
1.005019	__ribosome	98.0	0.0	0.0
1.005019	__rnase_site	0.0	0.0	0.0
1.005019	__rnase_site_ext	1.0	0.0	0.0
1.005019	p1	0.0	0.0	0.0
1.005019	proteinX	0.0	2.0	1.0
1.005019	rnapol	0.0	0.0	0.0
2.0023880000000003	__proteinX_rbs	2.0	0.0	0.0
2.0023880000000003	__proteinY_rbs	0.0	0.0	0.0
2.0023880000000003	__proteinZ_rbs	0.0	0.0	0.0
2.0023880000000003	__ribosome	96.0	0.0	0.0
2.0023880000000003	__rnase_site	0.0	0.0	0.0
2.0023880000000003	__rnase_site_ext	2.0	0.0	0.0
2.0023880000000003	p1	1.0	0.0	0.0
2.0023880000000003	proteinX	0.0	4.0	1.0
2.0023880000000003	rnapol	0.0	0.0	0.0
3.000471	__proteinX_rbs	4.0	0.0	0.0
3.000471	__proteinY_rbs	0.0	0.0	0.0
3.000471	__proteinZ_rbs	0.0	0.0	0.0
3.000471	__ribosome	94.0	0.0	0.0
3.000471	__rnase_site	0.0	0.0	0.0
3.000471	__rnase_site_ext	4.0	0.0	0.0
3.000471	p1	1.0	0.0	0.0
3.000471	proteinX	0.0	4.0	1.5
3.000471	rnapol	0.0	0.0	0.0
4.000451	__proteinX_rbs	1.0	0.0	0.0
4.000451	__proteinY_rbs	0.0	0.0	0.0
4.000451	__proteinZ_rbs	0.0	0.0	0.0
4.000451	__ribosome	90.0	0.0	0.0
