time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.003858	__proteinX_rbs	0.0	0.0	0.0
1.003858	__proteinY_rbs	0.0	0.0	0.0
1.003858	__proteinZ_rbs	0.0	0.0	0.0
1.003858	__ribosome	98.0	0.0	0.0
1.003858	__rnase_site	0.0	0.0	0.0
1.003858	__rnase_site_ext	1.0	0.0	0.0
1.003858	p1	0.0	0.0	0.0
1.003858	p2	1.0	0.0	0.0
1.003858	proteinX	0.0	2.0	1.0
1.003858	rnapol	0.0	0.0	0.0
2.001227	__proteinX_rbs	2.0	0.0	0.0
2.001227	__proteinY_rbs	0.0	0.0	0.0
2.001227	__proteinZ_rbs	0.0	0.0	0.0
2.001227	__ribosome	96.0	0.0	0.0
2.001227	__rnase_site	0.0	0.0	0.0
2.001227	__rnase_site_ext	2.0	0.0	0.0
2.001227	p1	1.0	0.0	0.0
2.001227	p2	1.0	0.0	0.0
2.001227	proteinX	0.0	4.0	1.0
2.001227	rnapol	0.0	0.0	0.0
2.999068	__proteinX_rbs	2.0	0.0	0.0
2.999068	__proteinY_rbs	0.0	0.0	0.0
2.999068	__proteinZ_rbs	0.0	0.0	0.0
2.999068	__ribosome	92.0	0.0	0.0
2.999068	__rnase_site	0.0	0.0	0.0
2.999068	__rnase_site_ext	3.0	0.0	0.0
2.999068	p1	0.0	0.0	0.0
2.999068	p2	1.0	0.0	0.0
2.999068	proteinX	0.0	4.0	2.0
2.999068	rnapol	0.0	0.0	0.0
4.000062000000001	__proteinX_rbs	2.0	0.0	0.0
4.000062000000001	__proteinY_rbs	0.0	0.0	0.0
