time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004881	__proteinX_rbs	0.000000	0.000000	0.000000
1.004881	__proteinY_rbs	0.000000	0.000000	0.000000
1.004881	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004881	__ribosome	98.000000	0.000000	0.000000
1.004881	__rnase_site	0.000000	0.000000	0.000000
1.004881	__rnase_site_ext	1.000000	0.000000	0.000000
1.004881	p1	0.000000	0.000000	0.000000
1.004881	p2	1.000000	0.000000	0.000000
1.004881	proteinX	0.000000	2.000000	1.000000
1.004881	rnapol	0.000000	0.000000	0.000000
2.000646	__proteinX_rbs	2.000000	0.000000	0.000000
2.000646	__proteinY_rbs	0.000000	0.000000	0.000000
2.000646	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000646	__ribosome	96.000000	0.000000	0.000000
2.000646	__rnase_site	2.000000	0.000000	0.000000
2.000646	__rnase_site_ext	2.000000	0.000000	0.000000
2.000646	p1	1.000000	0.000000	0.000000
2.000646	p2	1.000000	0.000000	0.000000
2.000646	proteinX	0.000000	4.000000	1.000000
2.000646	rnapol	0.000000	0.000000	0.000000
3.003080	__proteinX_rbs	4.000000	0.000000	0.000000
3.003080	__proteinY_rbs	0.000000	0.000000	0.000000
3.003080	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003080	__ribosome	94.000000	0.000000	0.000000
3.003080	__rnase_site	4.000000	0.000000	0.000000
3.003080	__rnase_site_ext	4.000000	0.000000	0.000000
3.003080	p1	0.000000	0.000000	0.000000
3.003080	p2	1.000000	0.000000	0.000000
3.003080	proteinX	0.000000	4.000000	1.500000
3.003080	rnapol	0.000000	0.000000	0.000000
4.000970	__proteinX_rbs	5.000000	0.000000	0.000000
4.000970	__proteinY_rbs	0.000000	0.000000	0.000000
4.000970	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000970	__ribosome	89.000000	0.000000	0.000000
4.000970	__rnase_site	5.000000	0.000000	0.000000
4.000970	__rnase_site_ext	5.000000	0.000000	0.000000
4.000970	p1	1.000000	0.000000	0.000000
4.000970	p2	1.000000	0.000000	0.000000
4.000970	proteinX	0.000000	5.000000	2.200000
4.000970	rnapol	0.000000	0.000000	0.000000
5.001263	__proteinX_rbs	3.000000	0.000000	0.000000
5.001263	__proteinY_rbs	1.000000	0.000000	0.000000
5.001263	__proteinZ_rbs	0.000000	0.000000	0.000000
5.001263	__ribosome	85.000000	0.000000	0.000000
5.001263	__rnase_site	4.000000	0.000000	0.000000
5.001263	__rnase_site_ext	4.000000	0.000000	0.000000
5.001263	p1	1.000000	0.000000	0.000000
5.001263	p2	0.000000	0.000000	0.000000
5.001263	proteinX	2.000000	5.000000	2.800000
5.001263	proteinY	0.000000	1.000000	1.000000
5.001263	rnapol	0.000000	0.000000	0.000000
6.002181	__proteinX_rbs	2.000000	0.000000	0.000000
6.002181	__proteinY_rbs	2.000000	0.000000	0.000000
6.002181	__proteinZ_rbs	0.000000	0.000000	0.000000
6.002181	__ribosome	82.000000	0.000000	0.000000
6.002181	__rnase_site	2.000000	0.000000	0.000000
6.002181	__rnase_site_ext	2.000000	0.000000	0.000000
6.002181	p1	1.000000	0.000000	0.000000
6.002181	p2	1.000000	0.000000	0.000000
6.002181	proteinX	6.000000	5.000000	2.800000
6.002181	proteinY	0.000000	3.000000	1.333333
6.002181	rnapol	0.000000	0.000000	0.000000
6.999584	__proteinX_rbs	2.000000	0.000000	0.000000
6.999584	__proteinY_rbs	1.000000	0.000000	0.000000
6.999584	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999584	__ribosome	78.000000	0.000000	0.000000
6.999584	__rnase_site	2.000000	0.000000	0.000000
6.999584	__rnase_site_ext	3.000000	0.000000	0.000000
6.999584	p1	1.000000	0.000000	0.000000
6.999584	p2	1.000000	0.000000	0.000000
6.999584	proteinX	9.000000	5.000000	3.000000
6.999584	proteinY	0.000000	3.000000	2.333333
6.999584	rnapol	0.000000	0.000000	0.000000
7.999200	__proteinX_rbs	4.000000	0.000000	0.000000
7.999200	__proteinY_rbs	4.000000	0.000000	0.000000
7.999200	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999200	__ribosome	79.000000	0.000000	0.000000
7.999200	__rnase_site	4.000000	0.000000	0.000000
7.999200	__rnase_site_ext	4.000000	0.000000	0.000000
7.999200	p1	1.000000	0.000000	0.000000
7.999200	p2	1.000000	0.000000	0.000000
7.999200	proteinX	15.000000	6.000000	2.000000
7.999200	proteinY	0.000000	4.000000	2.250000
7.999200	rnapol	0.000000	0.000000	0.000000
9.000298	__proteinX_rbs	3.000000	0.000000	0.000000
9.000298	__proteinY_rbs	2.000000	0.000000	0.000000
9.000298	__proteinZ_rbs	0.000000	0.000000	0.000000
9.000298	__ribosome	73.000000	0.000000	0.000000
9.000298	__rnase_site	3.000000	0.000000	0.000000
9.000298	__rnase_site_ext	3.000000	0.000000	0.000000
9.000298	p1	1.000000	0.000000	0.000000
