time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999308	__proteinX_rbs	1.000000	0.000000	0.000000
0.999308	__proteinY_rbs	2.000000	0.000000	0.000000
0.999308	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999308	__ribosome	98.000000	0.000000	0.000000
0.999308	__rnase_site	1.000000	0.000000	0.000000
0.999308	__rnase_site_ext	3.000000	0.000000	0.000000
0.999308	p1	1.000000	0.000000	0.000000
0.999308	p2	1.000000	0.000000	0.000000
0.999308	proteinX	0.000000	2.000000	1.000000
0.999308	proteinY	0.000000	2.000000	0.000000
0.999308	rnapol	0.000000	0.000000	0.000000
2.000849	__proteinX_rbs	1.000000	0.000000	0.000000
2.000849	__proteinY_rbs	1.000000	0.000000	0.000000
2.000849	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000849	__ribosome	95.000000	0.000000	0.000000
2.000849	__rnase_site	2.000000	0.000000	0.000000
2.000849	__rnase_site_ext	3.000000	0.000000	0.000000
2.000849	p1	1.000000	0.000000	0.000000
2.000849	p2	1.000000	0.000000	0.000000
2.000849	proteinX	0.000000	2.000000	2.000000
2.000849	proteinY	0.000000	2.000000	0.500000
2.000849	rnapol	0.000000	0.000000	0.000000
2.999428	__proteinX_rbs	1.000000	0.000000	0.000000
2.999428	__proteinY_rbs	1.000000	0.000000	0.000000
2.999428	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999428	__ribosome	91.000000	0.000000	0.000000
2.999428	__rnase_site	1.000000	0.000000	0.000000
2.999428	__rnase_site_ext	2.000000	0.000000	0.000000
2.999428	p1	1.000000	0.000000	0.000000
2.999428	p2	1.000000	0.000000	0.000000
2.999428	proteinX	0.000000	2.000000	3.500000
2.999428	proteinY	0.000000	2.000000	1.000000
2.999428	rnapol	0.000000	0.000000	0.000000
3.999814	__proteinX_rbs	0.000000	0.000000	0.000000
3.999814	__proteinY_rbs	3.000000	0.000000	0.000000
3.999814	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999814	__ribosome	88.000000	0.000000	0.000000
3.999814	__rnase_site	0.000000	0.000000	0.000000
3.999814	__rnase_site_ext	2.000000	0.000000	0.000000
3.999814	p1	1.000000	0.000000	0.000000
3.999814	p2	0.000000	0.000000	0.000000
3.999814	proteinX	1.000000	2.000000	4.000000
3.999814	proteinY	0.000000	3.000000	1.000000
3.999814	proteinZ	0.000000	1.000000	1.000000
3.999814	rnapol	0.000000	0.000000	0.000000
5.002595	__proteinX_rbs	2.000000	0.000000	0.000000
5.002595	__proteinY_rbs	3.000000	0.000000	0.000000
5.002595	__proteinZ_rbs	1.000000	0.000000	0.000000
5.002595	__ribosome	85.000000	0.000000	0.000000
5.002595	__rnase_site	2.000000	0.000000	0.000000
5.002595	__rnase_site_ext	3.000000	0.000000	0.000000
5.002595	p1	1.000000	0.000000	0.000000
5.002595	p2	1.000000	0.000000	0.000000
5.002595	proteinX	3.000000	2.000000	3.500000
5.002595	proteinY	0.000000	4.000000	1.500000
5.002595	proteinZ	0.000000	2.000000	1.000000
5.002595	rnapol	0.000000	0.000000	0.000000
5.999330	__proteinX_rbs	1.000000	0.000000	0.000000
5.999330	__proteinY_rbs	1.000000	0.000000	0.000000
5.999330	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999330	__ribosome	81.000000	0.000000	0.000000
5.999330	__rnase_site	2.000000	0.000000	0.000000
5.999330	__rnase_site_ext	3.000000	0.000000	0.000000
5.999330	p1	1.000000	0.000000	0.000000
5.999330	p2	1.000000	0.000000	0.000000
5.999330	proteinX	6.000000	2.000000	3.000000
5.999330	proteinY	1.000000	4.000000	2.250000
5.999330	proteinZ	0.000000	2.000000	2.000000
5.999330	rnapol	0.000000	0.000000	0.000000
6.999509	__proteinX_rbs	1.000000	0.000000	0.000000
6.999509	__proteinY_rbs	1.000000	0.000000	0.000000
6.999509	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999509	__ribosome	73.000000	0.000000	0.000000
6.999509	__rnase_site	1.000000	0.000000	0.000000
6.999509	__rnase_site_ext	3.000000	0.000000	0.000000
6.999509	p1	0.000000	0.000000	0.000000
6.999509	p2	1.000000	0.000000	0.000000
6.999509	proteinX	7.000000	2.000000	3.500000
6.999509	proteinY	1.000000	4.000000	3.250000
6.999509	proteinZ	0.000000	2.000000	3.500000
6.999509	rnapol	0.000000	0.000000	0.000000
7.999845	__proteinX_rbs	3.000000	0.000000	0.000000
7.999845	__proteinY_rbs	2.000000	0.000000	0.000000
7.999845	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999845	__ribosome	71.000000	0.000000	0.000000
7.999845	__rnase_site	3.000000	0.000000	0.000000
7.999845	__rnase_site_ext	4.000000	0.000000	0.000000
7.999845	p1	1.000000	0.000000	0.000000
7.999845	p2	1.000000	0.000000	0.000000
7.999845	proteinX	10.000000	3.000000	2.000000
7.999845	proteinY	3.000000	4.000000	3.500000
