start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	14378725940.949972	14378661893.638529	0.0
0	0	255801.8789149178	245414.99814826407	0.0
281	290	2131833.705305465	2148052.847310957	0.0
12	22	0.0	0.0	0.0
133	143	0.0	0.0	0.0
0	0	0.0	0.0	0.0
144	145	0.9918876068205369	0.9918876068205369	0.0
295	296	0.5293686025746029	0.5293686025746029	0.0
449	450	0.48094743879239715	0.48094743879239715	0.0
0	0	0.0	0.0	4.022403041657137e-22
0	0	0.0	0.0	7.215938988386007e-22
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
