time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p3	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
1.000453	__proteinX_rbs	0.0	0.0	0.0
1.000453	__proteinY_rbs	0.0	0.0	0.0
1.000453	__proteinZ_rbs	0.0	0.0	0.0
1.000453	__ribosome	98.0	0.0	0.0
1.000453	__rnase_site	0.0	0.0	0.0
1.000453	__rnase_site_ext	1.0	0.0	0.0
1.000453	p1	0.0	0.0	0.0
1.000453	p3	1.0	0.0	0.0
1.000453	proteinX	0.0	2.0	1.0
1.000453	rnapol	0.0	0.0	0.0
1.9992869999999998	__proteinX_rbs	2.0	0.0	0.0
1.9992869999999998	__proteinY_rbs	0.0	0.0	0.0
1.9992869999999998	__proteinZ_rbs	0.0	0.0	0.0
1.9992869999999998	__ribosome	96.0	0.0	0.0
1.9992869999999998	__rnase_site	0.0	0.0	0.0
1.9992869999999998	__rnase_site_ext	2.0	0.0	0.0
1.9992869999999998	p1	1.0	0.0	0.0
1.9992869999999998	p3	1.0	0.0	0.0
1.9992869999999998	proteinX	0.0	4.0	1.0
1.9992869999999998	rnapol	0.0	0.0	0.0
3.00009	__proteinX_rbs	2.0	0.0	0.0
3.00009	__proteinY_rbs	0.0	0.0	0.0
3.00009	__proteinZ_rbs	0.0	0.0	0.0
3.00009	__ribosome	92.0	0.0	0.0
3.00009	__rnase_site	0.0	0.0	0.0
3.00009	__rnase_site_ext	4.0	0.0	0.0
3.00009	p1	1.0	0.0	0.0
3.00009	p3	1.0	0.0	0.0
3.00009	proteinX	0.0	5.0	1.6
3.00009	rnapol	0.0	0.0	0.0
4.000794	__proteinX_rbs	3.0	0.0	0.0
