time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.008676	__proteinX_rbs	0.000000	0.000000	0.000000
1.008676	__proteinY_rbs	0.000000	0.000000	0.000000
1.008676	__proteinZ_rbs	0.000000	0.000000	0.000000
1.008676	__ribosome	98.000000	0.000000	0.000000
1.008676	__rnase_site	0.000000	0.000000	0.000000
1.008676	__rnase_site_ext	1.000000	0.000000	0.000000
1.008676	p1	0.000000	0.000000	0.000000
1.008676	p2	1.000000	0.000000	0.000000
1.008676	proteinX	0.000000	2.000000	1.000000
1.008676	rnapol	0.000000	0.000000	0.000000
1.999007	__proteinX_rbs	2.000000	0.000000	0.000000
1.999007	__proteinY_rbs	0.000000	0.000000	0.000000
1.999007	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999007	__ribosome	96.000000	0.000000	0.000000
1.999007	__rnase_site	0.000000	0.000000	0.000000
1.999007	__rnase_site_ext	2.000000	0.000000	0.000000
1.999007	p1	1.000000	0.000000	0.000000
1.999007	p2	1.000000	0.000000	0.000000
1.999007	proteinX	0.000000	4.000000	1.000000
1.999007	rnapol	0.000000	0.000000	0.000000
3.000259	__proteinX_rbs	4.000000	0.000000	0.000000
3.000259	__proteinY_rbs	0.000000	0.000000	0.000000
3.000259	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000259	__ribosome	94.000000	0.000000	0.000000
3.000259	__rnase_site	0.000000	0.000000	0.000000
3.000259	__rnase_site_ext	4.000000	0.000000	0.000000
3.000259	p1	1.000000	0.000000	0.000000
3.000259	p2	1.000000	0.000000	0.000000
3.000259	proteinX	0.000000	4.000000	1.500000
3.000259	rnapol	0.000000	0.000000	0.000000
4.002664	__proteinX_rbs	4.000000	0.000000	0.000000
4.002664	__proteinY_rbs	0.000000	0.000000	0.000000
4.002664	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002664	__ribosome	89.000000	0.000000	0.000000
4.002664	__rnase_site	0.000000	0.000000	0.000000
4.002664	__rnase_site_ext	5.000000	0.000000	0.000000
4.002664	p1	1.000000	0.000000	0.000000
4.002664	p2	1.000000	0.000000	0.000000
4.002664	proteinX	0.000000	5.000000	2.200000
4.002664	rnapol	0.000000	0.000000	0.000000
4.999787	__proteinX_rbs	4.000000	0.000000	0.000000
4.999787	__proteinY_rbs	0.000000	0.000000	0.000000
4.999787	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999787	__ribosome	85.000000	0.000000	0.000000
4.999787	__rnase_site	1.000000	0.000000	0.000000
4.999787	__rnase_site_ext	5.000000	0.000000	0.000000
4.999787	p1	0.000000	0.000000	0.000000
4.999787	p2	1.000000	0.000000	0.000000
4.999787	proteinX	2.000000	5.000000	2.800000
4.999787	proteinY	0.000000	1.000000	1.000000
4.999787	rnapol	0.000000	0.000000	0.000000
5.999937	__proteinX_rbs	4.000000	0.000000	0.000000
5.999937	__proteinY_rbs	0.000000	0.000000	0.000000
5.999937	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999937	__ribosome	82.000000	0.000000	0.000000
5.999937	__rnase_site	0.000000	0.000000	0.000000
5.999937	__rnase_site_ext	5.000000	0.000000	0.000000
5.999937	p1	1.000000	0.000000	0.000000
5.999937	p2	1.000000	0.000000	0.000000
5.999937	proteinX	5.000000	7.000000	2.285714
5.999937	proteinY	0.000000	1.000000	2.000000
5.999937	rnapol	0.000000	0.000000	0.000000
6.999161	__proteinX_rbs	5.000000	0.000000	0.000000
6.999161	__proteinY_rbs	1.000000	0.000000	0.000000
6.999161	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999161	__ribosome	77.000000	0.000000	0.000000
6.999161	__rnase_site	2.000000	0.000000	0.000000
6.999161	__rnase_site_ext	5.000000	0.000000	0.000000
6.999161	p1	1.000000	0.000000	0.000000
6.999161	p2	1.000000	0.000000	0.000000
6.999161	proteinX	9.000000	7.000000	2.571429
6.999161	proteinY	0.000000	2.000000	2.500000
6.999161	rnapol	0.000000	0.000000	0.000000
8.000808	__proteinX_rbs	4.000000	0.000000	0.000000
8.000808	__proteinY_rbs	2.000000	0.000000	0.000000
8.000808	__proteinZ_rbs	1.000000	0.000000	0.000000
8.000808	__ribosome	76.000000	0.000000	0.000000
8.000808	__rnase_site	3.000000	0.000000	0.000000
8.000808	__rnase_site_ext	6.000000	0.000000	0.000000
8.000808	p1	1.000000	0.000000	0.000000
8.000808	p2	1.000000	0.000000	0.000000
8.000808	proteinX	16.000000	7.000000	2.428571
8.000808	proteinY	0.000000	2.000000	3.500000
8.000808	proteinZ	0.000000	1.000000	0.000000
8.000808	rnapol	0.000000	0.000000	0.000000
9.000534	__proteinX_rbs	5.000000	0.000000	0.000000
9.000534	__proteinY_rbs	2.000000	0.000000	0.000000
9.000534	__proteinZ_rbs	1.000000	0.000000	0.000000
9.000534	__ribosome	74.000000	0.000000	0.000000
9.000534	__rnase_site	3.000000	0.000000	0.000000
9.000534	__rnase_site_ext	6.000000	0.000000	0.000000
