time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999267	__proteinX_rbs	0.000000	0.000000	0.000000
0.999267	__proteinY_rbs	0.000000	0.000000	0.000000
0.999267	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999267	__ribosome	98.000000	0.000000	0.000000
0.999267	__rnase_site	0.000000	0.000000	0.000000
0.999267	__rnase_site_ext	1.000000	0.000000	0.000000
0.999267	p1	1.000000	0.000000	0.000000
0.999267	p3	1.000000	0.000000	0.000000
0.999267	proteinX	0.000000	2.000000	1.000000
0.999267	rnapol	1.000000	0.000000	0.000000
1.999043	__proteinX_rbs	2.000000	0.000000	0.000000
1.999043	__proteinY_rbs	0.000000	0.000000	0.000000
1.999043	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999043	__ribosome	96.000000	0.000000	0.000000
1.999043	__rnase_site	0.000000	0.000000	0.000000
1.999043	__rnase_site_ext	2.000000	0.000000	0.000000
1.999043	p1	1.000000	0.000000	0.000000
1.999043	p3	1.000000	0.000000	0.000000
1.999043	proteinX	0.000000	4.000000	1.000000
1.999043	rnapol	0.000000	0.000000	0.000000
2.999414	__proteinX_rbs	1.000000	0.000000	0.000000
2.999414	__proteinY_rbs	0.000000	0.000000	0.000000
2.999414	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999414	__ribosome	91.000000	0.000000	0.000000
2.999414	__rnase_site	0.000000	0.000000	0.000000
2.999414	__rnase_site_ext	3.000000	0.000000	0.000000
2.999414	p1	1.000000	0.000000	0.000000
2.999414	p3	1.000000	0.000000	0.000000
2.999414	proteinX	0.000000	4.000000	2.000000
2.999414	proteinY	0.000000	1.000000	1.000000
2.999414	rnapol	0.000000	0.000000	0.000000
4.003147	__proteinX_rbs	4.000000	0.000000	0.000000
4.003147	__proteinY_rbs	1.000000	0.000000	0.000000
4.003147	__proteinZ_rbs	0.000000	0.000000	0.000000
4.003147	__ribosome	92.000000	0.000000	0.000000
4.003147	__rnase_site	0.000000	0.000000	0.000000
4.003147	__rnase_site_ext	4.000000	0.000000	0.000000
4.003147	p1	1.000000	0.000000	0.000000
4.003147	p3	1.000000	0.000000	0.000000
4.003147	proteinX	2.000000	4.000000	1.750000
4.003147	proteinY	0.000000	1.000000	1.000000
4.003147	rnapol	0.000000	0.000000	0.000000
5.000891	__proteinX_rbs	3.000000	0.000000	0.000000
5.000891	__proteinY_rbs	2.000000	0.000000	0.000000
5.000891	__proteinZ_rbs	0.000000	0.000000	0.000000
5.000891	__ribosome	86.000000	0.000000	0.000000
5.000891	__rnase_site	0.000000	0.000000	0.000000
5.000891	__rnase_site_ext	4.000000	0.000000	0.000000
5.000891	p1	1.000000	0.000000	0.000000
5.000891	p3	1.000000	0.000000	0.000000
5.000891	proteinX	2.000000	4.000000	2.750000
5.000891	proteinY	0.000000	2.000000	1.500000
5.000891	rnapol	0.000000	0.000000	0.000000
5.999112	__proteinX_rbs	0.000000	0.000000	0.000000
5.999112	__proteinY_rbs	3.000000	0.000000	0.000000
5.999112	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999112	__ribosome	83.000000	0.000000	0.000000
5.999112	__rnase_site	0.000000	0.000000	0.000000
5.999112	__rnase_site_ext	2.000000	0.000000	0.000000
5.999112	p1	1.000000	0.000000	0.000000
5.999112	p3	1.000000	0.000000	0.000000
5.999112	proteinX	5.000000	4.000000	3.000000
5.999112	proteinY	0.000000	4.000000	1.250000
5.999112	rnapol	0.000000	0.000000	0.000000
7.001378	__proteinX_rbs	3.000000	0.000000	0.000000
7.001378	__proteinY_rbs	3.000000	0.000000	0.000000
7.001378	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001378	__ribosome	81.000000	0.000000	0.000000
7.001378	__rnase_site	0.000000	0.000000	0.000000
7.001378	__rnase_site_ext	3.000000	0.000000	0.000000
7.001378	p1	1.000000	0.000000	0.000000
7.001378	p3	1.000000	0.000000	0.000000
7.001378	proteinX	9.000000	4.000000	2.750000
7.001378	proteinY	0.000000	4.000000	2.000000
7.001378	rnapol	0.000000	0.000000	0.000000
7.999452	__proteinX_rbs	3.000000	0.000000	0.000000
7.999452	__proteinY_rbs	2.000000	0.000000	0.000000
7.999452	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999452	__ribosome	77.000000	0.000000	0.000000
7.999452	__rnase_site	0.000000	0.000000	0.000000
7.999452	__rnase_site_ext	3.000000	0.000000	0.000000
7.999452	p1	1.000000	0.000000	0.000000
7.999452	p3	0.000000	0.000000	0.000000
7.999452	proteinX	13.000000	4.000000	2.500000
7.999452	proteinY	1.000000	4.000000	3.000000
7.999452	proteinZ	0.000000	1.000000	1.000000
7.999452	rnapol	0.000000	0.000000	0.000000
8.999345	__proteinX_rbs	2.000000	0.000000	0.000000
8.999345	__proteinY_rbs	3.000000	0.000000	0.000000
8.999345	__proteinZ_rbs	2.000000	0.000000	0.000000
8.999345	__ribosome	72.000000	0.000000	0.000000
