start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	3979771830.812616	3979807812.5194516	0.0
0	0	712948.9422418834	662522.5727046404	0.0
281	290	1242704.8730335834	1036941.2868391512	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
152	153	0.12360255793544528	0.12360255793544528	0.0
294	295	0.8974098636314185	0.8974098636314185	0.0
449	450	0.49177455626881417	0.49177455626881417	0.0
0	0	0.0	0.0	9.995460183179706e-07
0	0	0.0	0.0	2.31725132698155e-06
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
