time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999432	__proteinX_rbs	0.000000	0.000000	0.000000
0.999432	__proteinY_rbs	0.000000	0.000000	0.000000
0.999432	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999432	__ribosome	98.000000	0.000000	0.000000
0.999432	__rnase_site	1.000000	0.000000	0.000000
0.999432	__rnase_site_ext	1.000000	0.000000	0.000000
0.999432	p1	1.000000	0.000000	0.000000
0.999432	p2	1.000000	0.000000	0.000000
0.999432	proteinX	0.000000	2.000000	1.000000
0.999432	rnapol	1.000000	0.000000	0.000000
1.999243	__proteinX_rbs	2.000000	0.000000	0.000000
1.999243	__proteinY_rbs	0.000000	0.000000	0.000000
1.999243	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999243	__ribosome	96.000000	0.000000	0.000000
1.999243	__rnase_site	2.000000	0.000000	0.000000
1.999243	__rnase_site_ext	2.000000	0.000000	0.000000
1.999243	p1	1.000000	0.000000	0.000000
1.999243	p2	1.000000	0.000000	0.000000
1.999243	proteinX	0.000000	4.000000	1.000000
1.999243	rnapol	0.000000	0.000000	0.000000
3.000752	__proteinX_rbs	4.000000	0.000000	0.000000
3.000752	__proteinY_rbs	0.000000	0.000000	0.000000
3.000752	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000752	__ribosome	94.000000	0.000000	0.000000
3.000752	__rnase_site	4.000000	0.000000	0.000000
3.000752	__rnase_site_ext	4.000000	0.000000	0.000000
3.000752	p1	0.000000	0.000000	0.000000
3.000752	p2	1.000000	0.000000	0.000000
3.000752	proteinX	0.000000	4.000000	1.500000
3.000752	rnapol	0.000000	0.000000	0.000000
4.000254	__proteinX_rbs	3.000000	0.000000	0.000000
4.000254	__proteinY_rbs	0.000000	0.000000	0.000000
4.000254	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000254	__ribosome	88.000000	0.000000	0.000000
4.000254	__rnase_site	5.000000	0.000000	0.000000
4.000254	__rnase_site_ext	5.000000	0.000000	0.000000
4.000254	p1	1.000000	0.000000	0.000000
4.000254	p2	1.000000	0.000000	0.000000
4.000254	proteinX	0.000000	6.000000	2.000000
4.000254	rnapol	0.000000	0.000000	0.000000
4.999405	__proteinX_rbs	4.000000	0.000000	0.000000
4.999405	__proteinY_rbs	0.000000	0.000000	0.000000
4.999405	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999405	__ribosome	86.000000	0.000000	0.000000
4.999405	__rnase_site	5.000000	0.000000	0.000000
4.999405	__rnase_site_ext	5.000000	0.000000	0.000000
4.999405	p1	0.000000	0.000000	0.000000
4.999405	p2	1.000000	0.000000	0.000000
4.999405	proteinX	3.000000	7.000000	2.000000
4.999405	rnapol	0.000000	0.000000	0.000000
5.999524	__proteinX_rbs	3.000000	0.000000	0.000000
5.999524	__proteinY_rbs	0.000000	0.000000	0.000000
5.999524	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999524	__ribosome	80.000000	0.000000	0.000000
5.999524	__rnase_site	3.000000	0.000000	0.000000
5.999524	__rnase_site_ext	3.000000	0.000000	0.000000
5.999524	p1	1.000000	0.000000	0.000000
5.999524	p2	1.000000	0.000000	0.000000
5.999524	proteinX	6.000000	8.000000	2.500000
5.999524	rnapol	0.000000	0.000000	0.000000
6.999119	__proteinX_rbs	7.000000	0.000000	0.000000
6.999119	__proteinY_rbs	0.000000	0.000000	0.000000
6.999119	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999119	__ribosome	78.000000	0.000000	0.000000
6.999119	__rnase_site	8.000000	0.000000	0.000000
6.999119	__rnase_site_ext	8.000000	0.000000	0.000000
6.999119	p1	1.000000	0.000000	0.000000
6.999119	p2	1.000000	0.000000	0.000000
6.999119	proteinX	11.000000	10.000000	2.200000
6.999119	rnapol	0.000000	0.000000	0.000000
7.999231	__proteinX_rbs	6.000000	0.000000	0.000000
7.999231	__proteinY_rbs	0.000000	0.000000	0.000000
7.999231	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999231	__ribosome	74.000000	0.000000	0.000000
7.999231	__rnase_site	7.000000	0.000000	0.000000
7.999231	__rnase_site_ext	7.000000	0.000000	0.000000
7.999231	p1	1.000000	0.000000	0.000000
7.999231	p2	1.000000	0.000000	0.000000
7.999231	proteinX	15.000000	10.000000	2.600000
7.999231	rnapol	0.000000	0.000000	0.000000
8.999811	__proteinX_rbs	5.000000	0.000000	0.000000
8.999811	__proteinY_rbs	0.000000	0.000000	0.000000
8.999811	__proteinZ_rbs	0.000000	0.000000	0.000000
8.999811	__ribosome	73.000000	0.000000	0.000000
8.999811	__rnase_site	9.000000	0.000000	0.000000
8.999811	__rnase_site_ext	9.000000	0.000000	0.000000
8.999811	p1	1.000000	0.000000	0.000000
8.999811	p2	0.000000	0.000000	0.000000
8.999811	proteinX	24.000000	12.000000	2.250000
8.999811	rnapol	0.000000	0.000000	0.000000
9.999087	__proteinX_rbs	8.000000	0.000000	0.000000
