time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.999503	__proteinX_rbs	0.0	0.0	0.0
0.999503	__proteinY_rbs	0.0	0.0	0.0
0.999503	__proteinZ_rbs	0.0	0.0	0.0
0.999503	__ribosome	98.0	0.0	0.0
0.999503	__rnase_site	0.0	0.0	0.0
0.999503	__rnase_site_ext	1.0	0.0	0.0
0.999503	p1	1.0	0.0	0.0
0.999503	proteinX	0.0	2.0	1.0
0.999503	rnapol	1.0	0.0	0.0
1.999426	__proteinX_rbs	2.0	0.0	0.0
1.999426	__proteinY_rbs	0.0	0.0	0.0
1.999426	__proteinZ_rbs	0.0	0.0	0.0
1.999426	__ribosome	96.0	0.0	0.0
1.999426	__rnase_site	0.0	0.0	0.0
1.999426	__rnase_site_ext	2.0	0.0	0.0
1.999426	p1	1.0	0.0	0.0
1.999426	proteinX	0.0	4.0	1.0
1.999426	rnapol	0.0	0.0	0.0
3.011373	__proteinX_rbs	1.0	0.0	0.0
3.011373	__proteinY_rbs	0.0	0.0	0.0
3.011373	__proteinZ_rbs	0.0	0.0	0.0
3.011373	__ribosome	92.0	0.0	0.0
3.011373	__rnase_site	0.0	0.0	0.0
3.011373	__rnase_site_ext	1.0	0.0	0.0
3.011373	p1	1.0	0.0	0.0
3.011373	proteinX	0.0	3.0	2.666667
3.011373	rnapol	0.0	0.0	0.0
4.002895	__proteinX_rbs	1.0	0.0	0.0
4.002895	__proteinY_rbs	1.0	0.0	0.0
4.002895	__proteinZ_rbs	0.0	0.0	0.0
4.002895	__ribosome	91.0	0.0	0.0
4.002895	__rnase_site	0.0	0.0	0.0
