time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999356	__proteinX_rbs	0.000000	0.000000	0.000000
0.999356	__proteinY_rbs	0.000000	0.000000	0.000000
0.999356	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999356	__ribosome	98.000000	0.000000	0.000000
0.999356	__rnase_site	0.000000	0.000000	0.000000
0.999356	__rnase_site_ext	1.000000	0.000000	0.000000
0.999356	p1	0.000000	0.000000	0.000000
0.999356	proteinX	0.000000	2.000000	1.000000
0.999356	rnapol	0.000000	0.000000	0.000000
1.999430	__proteinX_rbs	2.000000	0.000000	0.000000
1.999430	__proteinY_rbs	0.000000	0.000000	0.000000
1.999430	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999430	__ribosome	96.000000	0.000000	0.000000
1.999430	__rnase_site	0.000000	0.000000	0.000000
1.999430	__rnase_site_ext	2.000000	0.000000	0.000000
1.999430	p1	1.000000	0.000000	0.000000
1.999430	proteinX	0.000000	4.000000	1.000000
1.999430	rnapol	0.000000	0.000000	0.000000
3.000198	__proteinX_rbs	1.000000	0.000000	0.000000
3.000198	__proteinY_rbs	1.000000	0.000000	0.000000
3.000198	__proteinZ_rbs	0.000000	0.000000	0.000000
3.000198	__ribosome	92.000000	0.000000	0.000000
3.000198	__rnase_site	0.000000	0.000000	0.000000
3.000198	__rnase_site_ext	2.000000	0.000000	0.000000
3.000198	p1	1.000000	0.000000	0.000000
3.000198	proteinX	0.000000	4.000000	2.000000
3.000198	proteinY	0.000000	1.000000	0.000000
3.000198	rnapol	0.000000	0.000000	0.000000
4.000913	__proteinX_rbs	4.000000	0.000000	0.000000
4.000913	__proteinY_rbs	1.000000	0.000000	0.000000
4.000913	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000913	__ribosome	91.000000	0.000000	0.000000
4.000913	__rnase_site	0.000000	0.000000	0.000000
4.000913	__rnase_site_ext	4.000000	0.000000	0.000000
4.000913	p1	1.000000	0.000000	0.000000
4.000913	proteinX	1.000000	4.000000	2.000000
4.000913	proteinY	0.000000	1.000000	1.000000
4.000913	rnapol	0.000000	0.000000	0.000000
4.999233	__proteinX_rbs	3.000000	0.000000	0.000000
4.999233	__proteinY_rbs	3.000000	0.000000	0.000000
4.999233	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999233	__ribosome	86.000000	0.000000	0.000000
4.999233	__rnase_site	0.000000	0.000000	0.000000
4.999233	__rnase_site_ext	3.000000	0.000000	0.000000
4.999233	p1	1.000000	0.000000	0.000000
4.999233	proteinX	2.000000	4.000000	3.000000
4.999233	proteinY	0.000000	3.000000	0.666667
4.999233	rnapol	0.000000	0.000000	0.000000
5.999975	__proteinX_rbs	2.000000	0.000000	0.000000
5.999975	__proteinY_rbs	2.000000	0.000000	0.000000
5.999975	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999975	__ribosome	82.000000	0.000000	0.000000
5.999975	__rnase_site	0.000000	0.000000	0.000000
5.999975	__rnase_site_ext	2.000000	0.000000	0.000000
5.999975	p1	1.000000	0.000000	0.000000
5.999975	proteinX	5.000000	4.000000	3.250000
5.999975	proteinY	0.000000	4.000000	1.250000
5.999975	rnapol	0.000000	0.000000	0.000000
6.999592	__proteinX_rbs	3.000000	0.000000	0.000000
6.999592	__proteinY_rbs	2.000000	0.000000	0.000000
6.999592	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999592	__ribosome	80.000000	0.000000	0.000000
6.999592	__rnase_site	0.000000	0.000000	0.000000
6.999592	__rnase_site_ext	3.000000	0.000000	0.000000
6.999592	p1	1.000000	0.000000	0.000000
6.999592	proteinX	9.000000	4.000000	2.750000
6.999592	proteinY	0.000000	4.000000	2.250000
6.999592	proteinZ	0.000000	1.000000	0.000000
6.999592	rnapol	0.000000	0.000000	0.000000
7.999610	__proteinX_rbs	2.000000	0.000000	0.000000
7.999610	__proteinY_rbs	2.000000	0.000000	0.000000
7.999610	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999610	__ribosome	77.000000	0.000000	0.000000
7.999610	__rnase_site	0.000000	0.000000	0.000000
7.999610	__rnase_site_ext	3.000000	0.000000	0.000000
7.999610	p1	1.000000	0.000000	0.000000
7.999610	proteinX	14.000000	4.000000	2.000000
7.999610	proteinY	1.000000	4.000000	3.500000
7.999610	proteinZ	0.000000	1.000000	1.000000
7.999610	rnapol	0.000000	0.000000	0.000000
9.001201	__proteinX_rbs	1.000000	0.000000	0.000000
9.001201	__proteinY_rbs	2.000000	0.000000	0.000000
9.001201	__proteinZ_rbs	1.000000	0.000000	0.000000
9.001201	__ribosome	71.000000	0.000000	0.000000
9.001201	__rnase_site	0.000000	0.000000	0.000000
9.001201	__rnase_site_ext	1.000000	0.000000	0.000000
9.001201	p1	1.000000	0.000000	0.000000
9.001201	proteinX	17.000000	4.000000	2.250000
9.001201	proteinY	2.000000	4.000000	4.000000
9.001201	proteinZ	0.000000	3.000000	1.333333
9.001201	rnapol	0.000000	0.000000	0.000000
