start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	9900475318.239443	9900517046.514294	0.0
122	131	1586710.1827108632	1884750.332880807	0.0
0	0	1817099.0675857784	1864582.6996560576	0.0
15	25	0.0	0.0	0.0
0	0	0.0	0.0	0.0
292	302	0.0	0.0	0.0
139	140	0.5306836705218487	0.5306836705218487	0.0
284	285	0.9777915324414965	0.9777915324414965	0.0
449	450	0.2612286198333392	0.2612286198333392	0.0
0	0	0.0	0.0	1.586158182533325e-15
0	0	0.0	0.0	2.1287582704913082e-16
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
